ID,NAME,POS,FPTS/G,FPTS,PPGOR
11056,Antonio Brown,WR,26.1,417.2,11.28
13320,Cam Newton,QB,25.9,415.08,5.2
13291,Julio Jones,WR,25.6,409.1,10.78
4314,Tom Brady,QB,23.4,374.7,2.7
11667,Brandon Marshall,WR,23.2,371.2,8.38
16245,Blake Bortles,QB,22.3,357.12,1.6
14536,Russell Wilson,QB,21.9,350.26,1.2
2428,Carson Palmer,QB,21.8,349.24,1.1
14986,DeAndre Hopkins,WR,21.8,349.1,6.98
7242,Drew Brees,QB,23.1,347.2,2.4
16389,Odell Beckham Jr.,WR,22.9,343.3,8.08
16524,Devonta Freeman,RB,22,330.4,9.480952381
14252,Kirk Cousins,QB,20.5,328.44,-0.2
4932,Eli Manning,QB,20.3,324.28,-0.4
8244,Philip Rivers,QB,20.2,323.48,-0.5
2593,Aaron Rodgers,QB,20.1,322.24,-0.6
16263,Allen Robinson II,WR,20.1,322,5.28
9038,Matthew Stafford,QB,19.7,314.78,-1
16311,Derek Carr,QB,19.1,305.28,-1.6
8283,Ryan Fitzpatrick,QB,19.1,305.2,-1.6
16762,Jameis Winston,QB,18.6,297.98,-2.1
5571,Larry Fitzgerald,WR,18.2,291.5,3.38
13799,Ryan Tannehill,QB,18.2,291.32,-2.5
12845,A.J. Green,WR,17.9,286.7,3.08
4807,Adrian Peterson,RB,17.8,284.7,5.280952381
16020,Jarvis Landry,WR,17.8,284.36,2.98
11197,Demaryius Thomas,WR,17.6,281.4,2.78
6739,Alex Smith,QB,17.6,281.24,-3.1
12831,Tyrod Taylor,QB,19.9,278.6,-0.8
13460,Doug Baldwin,WR,17.4,277.9,2.58
10974,Rob Gronkowski,TE,18,270.6,5.752380952
732,Matt Ryan,QB,16.9,269.94,-3.8
6029,Calvin Johnson,WR,16.8,268.4,1.98
3807,Ben Roethlisberger,QB,22.3,268.12,1.6
16568,Brandin Cooks,WR,16.6,265.6,1.78
12841,Andy Dalton,QB,20.4,265.2,-0.3
11182,Eric Decker,WR,17.1,256.7,2.28
8914,Jeremy Maclin,WR,16.9,253.2,2.08
15100,Jordan Reed,TE,18,252.2,5.752380952
