ID,AGE,ADP
11056,33,1.2
13291,32,2.8
16389,29,3.4
16847,30,3.4
16771,27,6.3
12845,33,6.4
14986,29,6.4
17923,26,8.3
16263,28,9.2
13791,30,9.8
4807,36,10.7
14967,29,12.3
11667,37,13
15076,29,13.8
10974,32,14.2
16597,28,15.7
11270,33,16.4
4556,36,17.3
16524,29,19.2
7969,35,19.4
16765,27,20.1
11932,33,22
14187,31,22.1
16568,28,23.3
15138,31,24
13337,32,25.5
16020,29,26.9
16003,28,28.3
14005,32,29.4
11197,34,29.7
14385,33,30.8
13227,31,31.5
15020,30,33.2
13320,32,34.5
15100,31,35.1
8355,35,35.1
15071,32,35.8
8914,33,37.3
16232,28,38.4
2593,38,38.7
16550,30,39.2
13124,33,40.3
17050,28,41
2699,36,43.1
11611,33,43.6
11182,34,44.9
16668,31,45.7
16867,30,47.1
1658,36,48.4
13460,33,48.8
16112,29,49.1
14587,30,49.8
14478,32,52.3
14536,33,53.2
16776,28,53.7
12317,36,53.7
13870,31,56.2
11792,35,57.4
14916,30,57.7
14008,32,58.3
5571,38,60.2
11256,34,60.4
7242,43,61.1
5451,34,62.8
7175,37,64
15974,29,64.2
15048,32,64.3
16253,30,65.5
16838,28,66.9
4314,44,68.5
7580,38,69.1
11063,34,70.6
3807,39,72
13997,33,72.7
16830,29,73.4
5820,38,73.8
8649,36,74.9
16640,31,78.3
16856,26,78.4
17959,28,78.5
9331,34,78.6
4577,36,79.6
3943,35,81.9
16815,28,82.1
2428,42,83.8
12239,33,84.1
17961,28,84.7
16245,29,86.1
16609,31,87.2
14856,31,88.2
9369,36,90.7
16056,29,90.9
12296,35,91.6
16775,29,91.7
16141,29,92.1
4932,41,93.3
16797,28,93.7
8244,40,96.8
16768,28,97.7
13027,33,98
16802,27,98.5
16906,28,99.2
15256,31,99.6
15126,30,99.8
7884,41,101.7
16311,30,103.5
49,,103.5
13887,32,104.2
12722,32,105.8
12800,33,105.9
16127,29,106.9
14918,31,108.4
14252,33,109.6
15215,31,109.8
1,,109.9
16909,28,111.3
17938,27,112.2
90,,114.1
12831,32,114.3
18058,27,115.1
6198,38,116.8
1181,35,117.3
9038,33,118.6
17960,28,118.7
16834,28,119.5
3519,39,119.9
14973,30,122.3
16762,28,123.4
5,,123.6
4358,42,124.6
15261,30,125.8
18061,28,126.2
12830,32,127.3
13,,130.1
12708,31,130.2
14269,33,130.2
17916,27,130.4
13987,31,131.2
12841,34,132.7
55,,133.4
13878,32,134.1
16763,28,136.3
8534,34,137
17986,27,137.6
13788,32,138.3
17970,29,140.9
2982,37,142.6
14828,34,142.6
11488,35,144.3
18055,28,144.8
82,,145.8
732,36,146.5
67,,147.8
16510,29,148.8
16790,29,148.9
12780,32,149.9
8283,39,151.1
722,39,151.2
15196,29,151.2
12594,36,152.1
21,,152.2
8529,35,153.2
12109,36,153.5
12506,35,154.9
16848,28,156.1
13799,33,157.4
12415,37,157.4
13693,32,157.7
16142,30,158.5
14688,32,158.8
32,,158.9
14257,31,159.3
16801,28,159.3
6828,36,159.4
12246,35,160.1
10333,34,160.6
7,,160.9
13109,33,162
14053,31,163.3
16644,30,163.4
83,,164.7
26,,165.4
12,,167.1
14996,30,169.6
1694,37,169.9
3258,49,170.5
6767,35,171
16191,30,172.4
15088,32,173
16301,30,173.4
8532,33,174
14871,29,175
17914,26,176
16470,29,177
14749,31,178
11712,41,179
13957,32,182
15102,31,183
16837,29,184
16787,28,185
16866,28,186
11463,35,187
14141,32,188
16781,28,189
7389,35,190
15241,31,191
13158,34,192
15141,32,193
16868,30,194
17480,29,195
17939,29,196
16326,30,197
17965,27,198
16886,30,199
10949,34,200
16831,29,201
15207,31,202
17964,29,203
16258,30,204
2262,35,205
2950,35,206
9906,36,207
14465,32,208
6739,37,209
18034,29,210
16308,29,211
17969,28,212
611,37,213
16915,28,214
15224,32,215
18067,27,216
8972,38,217
16934,29,218
8066,34,219
18039,26,220
6302,37,221
12847,35,223
16427,29,224
16567,29,225
16919,29,226
11220,33,227
16063,29,229
4640,36,230
16899,29,231
17048,29,232
14533,32,233
14046,30,234
16307,30,235
16189,30,236
14872,31,237
16480,30,238
17972,27,239
16305,29,240
14424,32,241
16728,32,242
11527,34,243
16553,30,244
4738,36,245
2429,40,246
18217,28,247
16276,30,248
17290,28,249
12982,32,250
18014,27,251
13162,32,252
16855,29,253
13117,34,254
15645,32,255
16694,29,256
3382,36,257
16278,29,258
17023,30,259
18041,28,260
12794,33,261
13163,33,262
16964,29,263
18158,27,264
8564,38,265
18070,28,266
13299,31,267
8771,34,268
16345,30,269
15971,30,270
14865,31,271
16456,29,272
13264,33,273
18003,27,274
14788,32,275
16993,27,276
16626,28,277
15118,29,278
7857,35,279
12551,35,280
15066,31,281
14978,30,282
13255,34,283
6211,36,284
15185,32,285
17269,30,286
18089,27,287
