Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val,Strategy,Elite Onesie,Capital
1,TE,Travis Kelce,KC,1,9,10.9,-1.9,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Ceedee Lamb,DAL,2,16,15.9,0.1,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Tee Higgins,CIN,3,33,30.6,2.4,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,QB,Patrick Mahomes,KC,4,40,36.4,3.6,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Marquise Brown,AZ,5,57,53.1,3.9,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Rashod Bateman,BAL,6,64,62,2,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Elijah Mitchell,SF,7,81,62.7,18.3,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Kadarius Toney,NYG,8,88,93.1,-5.1,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Skyy Moore,KC,9,105,100.7,4.3,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,James Cook,BUF,10,112,106.5,5.5,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Tyler Boyd,CIN,11,129,112.8,16.2,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Rachaad White,TB,12,136,134.6,1.4,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,QB,Daniel Jones,NYG,13,153,164.6,-11.6,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,TE,David Njoku,CLE,14,160,161.1,-1.1,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,WR,Wandale Robinson,NYG,15,177,172,5,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Khalil Herbert,CHI,16,184,156.6,27.4,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Eno Benjamin,AZ,17,201,201,0,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Dernest Johnson,CLE,18,208,208,0,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Samaje Perine,CIN,19,225,225,0,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Sony Michel,MIA,20,232,232,0,8/21/2022,70.4,Zero RB,Elite QB/TE,12
1,RB,Christian Mccaffrey,CAR,1,1,1.9,-0.9,8/24/2022,-20,Anchor RB,Elite TE,9
1,TE,Kyle Pitts,ATL,2,24,27.8,-3.8,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Tee Higgins,CIN,3,25,31.8,-6.8,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Jaylen Waddle,MIA,4,48,43.5,4.5,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Jerry Jeudy,DEN,5,49,49,0,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Elijah Moore,NYJ,6,72,76.9,-4.9,8/24/2022,-20,Anchor RB,Elite TE,9
1,QB,Russell Wilson,DEN,7,73,80.3,-7.3,8/24/2022,-20,Anchor RB,Elite TE,9
1,RB,Cordarrelle Patterson,ATL,8,96,97.9,-1.9,8/24/2022,-20,Anchor RB,Elite TE,9
1,RB,Damien Harris,NE,9,97,99.9,-2.9,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Chase Claypool,PIT,10,120,118.5,1.5,8/24/2022,-20,Anchor RB,Elite TE,9
1,RB,James Cook,BUF,11,121,106.5,14.5,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Jakobi Meyers,NE,12,144,149.3,-5.3,8/24/2022,-20,Anchor RB,Elite TE,9
1,TE,Hunter Henry,NE,13,145,151.7,-6.7,8/24/2022,-20,Anchor RB,Elite TE,9
1,QB,Mac Jones,NE,14,168,168,0,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Sammy Watkins,GB,15,169,169,0,8/24/2022,-20,Anchor RB,Elite TE,9
1,QB,Marcus Mariota,ATL,16,192,192,0,8/24/2022,-20,Anchor RB,Elite TE,9
1,RB,Eno Benjamin,AZ,17,193,193,0,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,Curtis Samuel,WAS,18,216,216,0,8/24/2022,-20,Anchor RB,Elite TE,9
1,WR,David Bell,CLE,19,217,217,0,8/24/2022,-20,Anchor RB,Elite TE,9
1,RB,Sony Michel,MIA,20,240,240,0,8/24/2022,-20,Anchor RB,Elite TE,9
2,RB,Christian Mccaffrey,CAR,1,3,1.9,1.1,8/24/2022,26.1,Anchor RB,Elite TE,9
2,WR,Tyreek Hill,MIA,2,22,22.4,-0.4,8/24/2022,26.1,Anchor RB,Elite TE,9
2,TE,Kyle Pitts,ATL,3,27,27.7,-0.7,8/24/2022,26.1,Anchor RB,Elite TE,9
2,WR,Jerry Jeudy,DEN,4,46,49,-3,8/24/2022,26.1,Anchor RB,Elite TE,9
2,WR,JuJu Smith-Schuster,KC,5,51,45,6,8/24/2022,26.1,Anchor RB,Elite TE,9
2,RB,Cam Akers,LAR,6,70,56.8,13.2,8/24/2022,26.1,Anchor RB,Elite TE,9
2,QB,Russell Wilson,DEN,7,75,80.8,-5.8,8/24/2022,26.1,Anchor RB,Elite TE,9
2,RB,Rashaad Penny,SEA,8,94,85.8,8.2,8/24/2022,26.1,Anchor RB,Elite TE,9
2,WR,Skyy Moore,KC,9,99,103.5,-4.5,8/24/2022,26.1,Anchor RB,Elite TE,9
2,WR,Tyler Boyd,CIN,10,118,111.1,6.9,8/24/2022,26.1,Anchor RB,Elite TE,9
2,QB,Tua Tagovailoa,MIA,11,123,125.6,-2.6,8/24/2022,26.1,Anchor RB,Elite TE,9
