ID,NAME,POS,FPTS/G,FPTS,PPGOR
16771,Todd Gurley II,RB,27.1,406.3,13.88809524
14536,Russell Wilson,QB,23.2,370.92,5.307692308
14967,Le'Veon Bell,RB,23.9,358.6,10.68809524
11056,Antonio Brown,WR,23.9,334.3,11.52931034
18878,Alvin Kamara,RB,20.5,327.4,7.288095238
14986,DeAndre Hopkins,WR,21.7,325.8,9.329310345
4314,Tom Brady,QB,20.3,324.88,2.407692308
13320,Cam Newton,QB,20.2,322.48,2.307692308
6739,Alex Smith,QB,21.1,316.18,3.207692308
18944,Kareem Hunt,RB,19.6,314.2,6.388095238
14252,Kirk Cousins,QB,19.4,310.62,1.507692308
9038,Matthew Stafford,QB,19.1,305.64,1.207692308
15076,Keenan Allen,WR,19.1,305.2,6.729310345
17920,Carson Wentz,QB,23.4,303.74,5.507692308
8244,Philip Rivers,QB,18.7,299.4,0.807692308
16776,Melvin Gordon III,RB,18.4,294.1,5.188095238
13337,Mark Ingram II,RB,18.3,293,5.088095238
3807,Ben Roethlisberger,QB,19.2,287.74,1.307692308
17922,Jared Goff,QB,18.7,280.26,0.807692308
18055,Dak Prescott,QB,17.5,279.66,-0.392307692
7242,Drew Brees,QB,17.5,279.56,-0.392307692
16245,Blake Bortles,QB,17.4,277.68,-0.492307692
11932,LeSean McCoy,RB,17.3,276.6,4.088095238
5571,Larry Fitzgerald,WR,17.2,274.44,4.829310345
17960,Michael Thomas,WR,16.5,264.5,4.129310345
13291,Julio Jones,WR,16.5,263.9,4.129310345
16020,Jarvis Landry,WR,16.4,262,4.029310345
18082,Tyreek Hill,WR,17.2,258.2,4.829310345
732,Matt Ryan,QB,15.9,255.1,-1.992307692
15534,Adam Thielen,WR,15.9,253.7,3.529310345
15694,Case Keenum,QB,16.8,251.88,-1.092307692
15048,Travis Kelce,TE,16.4,246.5,5.955555556
18803,Leonard Fournette,RB,18.9,245.2,5.688095238
16668,Carlos Hyde,RB,14.9,237.8,1.688095238
12845,A.J. Green,WR,14.9,237.8,2.529310345
16762,Jameis Winston,QB,18.3,237.66,0.407692308
10974,Rob Gronkowski,TE,16.9,236.4,6.455555556
11611,Golden Tate,WR,14.7,234.5,2.329310345
13870,Marvin Jones Jr.,WR,14.6,234.1,2.229310345
18877,Christian McCaffrey,RB,14.5,232.6,1.288095238
16763,Marcus Mariota,QB,15.5,232.48,-2.392307692
16311,Derek Carr,QB,15.4,231.44,-2.492307692
12841,Andy Dalton,QB,14.4,229.7,-3.492307692
13460,Doug Baldwin,WR,14.3,229.3,1.929310345
12831,Tyrod Taylor,QB,15.2,228.66,-2.692307692
5282,Josh McCown,QB,17.5,227.44,-0.392307692
16568,Brandin Cooks,WR,14.2,227.2,1.829310345
16470,Davante Adams,WR,16.1,225.5,3.729310345
18018,Jacoby Brissett,QB,13.9,221.92,-3.992307692
17923,Ezekiel Elliott,RB,21.9,219.2,8.688095238
16838,Duke Johnson,RB,13.6,218.1,0.388095238
18067,Jordan Howard,RB,13.5,215.7,0.288095238
4932,Eli Manning,QB,14.1,211.32,-3.792307692
11197,Demaryius Thomas,WR,13.1,209.9,0.729310345
12708,Dion Lewis,RB,13.1,209,-0.111904762
18187,Robby Anderson,WR,13.1,209,0.729310345
