ID,AGE,ADP
19766,24,1.4
18878,26,2.5
18877,25,3.2
17923,26,3.9
16470,29,6.4
14986,29,7
18983,26,7.1
16847,30,7.1
14967,29,8.8
13291,32,10.2
17960,28,10.4
19798,26,11.7
18883,25,12.9
18082,27,13.9
18872,26,14.6
16389,29,15.1
16771,27,16
15048,32,17.1
18858,25,18.4
18890,26,19.3
16597,28,20.2
11056,33,21.4
15534,31,22.9
18803,27,23.2
15076,29,25
16031,29,25.5
19119,27,26.5
19063,28,28.3
19822,24,28.5
19045,27,29.2
16524,29,30.4
16906,28,30.8
20882,24,31.3
20824,23,33.1
16765,27,33.1
14856,31,33.5
8355,35,36.1
19828,26,37.4
16568,28,39.1
13337,32,39.7
18880,25,39.9
16776,28,42
14871,29,42.2
16830,29,42.9
17959,28,43.8
18882,28,45.2
18998,25,46.5
18857,26,47.1
18977,28,47.1
16056,29,48.1
14005,32,49
17986,27,51.5
16838,28,51.7
14587,30,52.1
19802,27,53.5
18901,27,54.1
20128,27,55.6
2593,38,55.7
18912,27,57.3
16834,28,57.7
20933,24,59
18914,27,60.3
19562,26,61.7
18992,28,62.7
19790,26,63.2
17975,27,63.3
12845,33,63.8
16020,29,64.8
19844,24,67.2
732,36,69.2
19797,24,69.8
13791,30,70.4
8534,34,70.6
19003,26,71
14187,31,71.9
7242,43,73.9
17920,29,74.6
15239,31,75.1
18187,28,75.9
15071,32,76.4
16263,28,76.6
11063,34,80.6
17922,27,81.5
17916,27,81.6
18003,27,82.9
20912,24,83.3
18876,25,83.5
20941,24,83.9
19319,26,84.8
20964,24,86
14008,32,87.8
18928,25,88
14536,33,88.4
19815,25,89.9
11932,33,90.8
17961,28,92.2
38,,92.4
20798,24,93
13320,32,94.4
19799,25,95.3
17963,27,95.4
16003,28,96.1
19781,25,97.6
18269,28,98.7
19976,27,100.6
18944,26,100.8
19865,25,101.3
18067,27,103.7
16762,28,105.1
13870,31,105.3
32,,105.6
5571,38,106.5
3807,39,106.8
19823,25,108.1
52,,109.3
19854,26,109.8
18879,27,110.8
20889,24,110.9
19824,26,113.5
19867,25,113.8
4314,44,114.6
7175,37,115.4
8244,40,116.1
36,,117
16451,28,117.5
19996,25,119
3943,35,119.4
16232,28,119.8
20064,25,119.9
20802,24,120.7
11611,33,123.3
8,,126
20805,24,126.1
19800,26,126.2
18055,28,127.2
20868,23,127.3
16866,28,128.8
14252,33,130.7
18375,27,131.3
17048,29,131.4
20875,24,131.8
4807,36,133.1
67,,134
19864,27,134.4
16640,31,136.2
84,,137.4
20788,23,137.7
48,,137.9
18811,27,139.2
19803,26,142.1
12708,31,142.9
14697,34,144.3
19801,25,145.8
49,,145.8
19937,25,146.2
16041,30,147.5
1658,36,148.9
14688,32,149.7
20790,24,151.4
18957,25,151.4
19073,26,151.6
20932,26,151.8
20792,24,151.8
16668,31,151.9
5820,38,152.3
15965,30,152.4
19924,26,154.2
13275,32,154.9
16964,29,155.8
11488,35,156.6
15602,31,156.8
16855,29,157.1
19947,25,157.3
16311,30,157.4
2982,37,157.5
18478,27,157.6
17053,28,157.6
19626,27,157.9
19863,27,158
15100,31,158
19861,24,158.1
20753,24,158.1
26,,158.1
16510,29,158.5
16802,27,158.8
21,,159.1
19912,25,159.2
14916,30,159.3
14141,32,159.6
20820,25,159.6
28,,160.5
16887,28,160.6
13878,32,160.7
9038,33,160.8
15020,30,160.8
15102,31,161.3
11197,34,161.4
15196,29,161.5
19897,26,161.6
13227,31,161.7
21005,24,162.3
19916,26,162.5
90,,162.7
69,,162.8
18215,27,162.9
14865,31,163
14269,33,163.1
16775,29,163.8
21045,24,163.9
19812,24,164.2
13,,165.4
37,,165.5
18018,29,166.4
17290,28,166.9
19041,27,167.2
82,,167.5
20144,26,168.2
1694,37,169.2
34,,169.3
14,,169.7
1410,39,169.8
12,,170.1
15758,31,170.5
17215,30,170.7
93,,170.8
13109,33,172
15854,32,172.7
3258,49,172.8
549,37,173.8
55,,175
16063,29,176
2,,176
16308,29,177
64,,177
12109,36,178
75,,178
16694,29,179
16258,30,180
1,,181
20250,27,182
11,,182
18089,27,183
83,,183
97,,184
16837,29,185
95,,186
7,,187
20079,26,188
5,,188
21042,24,189
18690,28,190
19120,27,191
20873,26,192
16141,29,193
9906,36,194
18995,26,195
16781,28,196
16790,29,197
15509,32,198
16129,30,199
21037,25,200
18881,26,201
14917,31,202
19922,26,203
19816,25,204
17939,29,205
13887,32,206
14465,32,207
18926,26,208
17970,29,209
12841,34,210
16763,28,213
18030,28,214
20743,25,215
16787,28,216
13723,33,217
12800,33,218
19919,25,219
21056,25,220
20795,24,221
20582,27,222
20239,26,223
16189,30,224
611,37,225
18443,29,226
18996,27,227
19514,28,228
18103,29,229
16411,31,230
19318,26,231
16276,30,233
17289,29,234
18361,28,235
19043,26,237
17023,30,238
20817,26,239
20950,23,240
20924,26,241
19917,25,242
19207,28,243
