RK,ID,NAME,AGE,POS,POS RK,ADP
1,18877,Christian McCaffrey,25,RB,RB1,1.3
2,18872,Dalvin Cook,26,RB,RB2,2.5
3,18878,Alvin Kamara,26,RB,RB3,3.1
4,16470,Davante Adams,29,WR,WR1,4.5
5,17923,Ezekiel Elliott,26,RB,RB4,5.3
6,17959,Derrick Henry,28,RB,RB5,6.4
7,19562,Austin Ekeler,26,RB,RB6,6.5
8,15048,Travis Kelce,32,TE,TE1,6.9
9,19045,Aaron Jones,27,RB,RB7,9
10,18082,Tyreek Hill,27,WR,WR2,9.3
11,19798,Nick Chubb,26,RB,RB8,10.4
12,21768,Najee Harris,23,RB,RB9,11.6
13,19766,Saquon Barkley,24,RB,RB10,12.4
14,16906,Stefon Diggs,28,WR,WR3,13
15,21682,Jonathan Taylor,23,RB,RB11,13.2
16,21861,Antonio Gibson,23,RB,RB12,14.8
17,14986,DeAndre Hopkins,29,WR,WR4,16.7
18,19802,Calvin Ridley,27,WR,WR5,17.9
19,20875,DK Metcalf,24,WR,WR6,18.5
20,18858,Joe Mixon,25,RB,RB13,19.4
21,21769,Clyde Edwards-Helaire,22,RB,RB14,19.7
22,18890,Patrick Mahomes,26,QB,QB1,19.8
23,16964,Darren Waller,29,TE,TE2,21.6
24,21685,Justin Jefferson,23,WR,WR7,22.6
25,21042,A.J. Brown,24,WR,WR8,24.1
26,20882,David Montgomery,24,RB,RB15,25.4
27,15076,Keenan Allen,29,WR,WR9,25.9
28,21970,James Robinson,23,RB,RB16,27.1
29,19119,Chris Carson,27,RB,RB17,27.4
30,20873,Terry McLaurin,26,WR,WR10,28.6
31,19063,George Kittle,28,TE,TE3,30.4
32,21679,CeeDee Lamb,22,WR,WR11,30.9
33,19801,Josh Allen,25,QB,QB2,32.5
34,16263,Allen Robinson II,28,WR,WR12,33
35,20824,Josh Jacobs,23,RB,RB18,33.1
36,21684,D'Andre Swift,23,RB,RB19,34.8
37,14871,Robert Woods,29,WR,WR13,35.6
38,20933,Miles Sanders,24,RB,RB20,37.6
39,16597,Mike Evans,28,WR,WR14,38.2
40,20768,Myles Gaskin,24,RB,RB21,39.2
41,16765,Amari Cooper,27,WR,WR15,39.4
42,22508,Kyle Pitts,21,TE,TE4,40.1
43,20889,Kyler Murray,24,QB,QB3,41.7
44,16887,Mike Davis,28,RB,RB22,42.2
