ID,NAME,POS,PPG,PTS,PPGOR,
18882,Cooper Kupp,WR,27.8,472.5,13.60204082,
19801,Josh Allen,QB,26,441.58,6.1125,
21681,Justin Herbert,QB,24.9,423.76,5.0125,
4314,Tom Brady,QB,24.5,416.74,4.6125,
21682,Jonathan Taylor,RB,24,408.1,9.45,
18890,Patrick Mahomes,QB,23.2,393.66,3.3125,
9038,Matthew Stafford,QB,21.7,369.74,1.8125,
16470,Davante Adams,WR,23,368.3,8.802040816,
20932,Deebo Samuel,WR,22.2,355.96,8.002040816,
21685,Justin Jefferson,WR,20.7,352.4,6.502040816,
18055,Dak Prescott,QB,22,351.56,2.1125,
19562,Austin Ekeler,RB,21.9,349.8,7.35,
2593,Aaron Rodgers,QB,21.8,349.3,1.9125,
21693,Joe Burrow,QB,21.8,348.24,1.9125,
21831,Jalen Hurts,QB,21.9,329.16,2.0125,
14252,Kirk Cousins,QB,20.5,327.34,0.6125,
22564,Ja'Marr Chase,WR,18.9,320.6,4.702040816,
20889,Kyler Murray,QB,22.8,319.48,2.9125,
19803,Mark Andrews,TE,18.6,316.1,6.406666667,
21768,Najee Harris,RB,18.4,312.7,3.85,
18082,Tyreek Hill,WR,18,306.5,3.802040816,
18858,Joe Mixon,RB,18.6,297.9,4.05,
16311,Derek Carr,QB,17.3,293.96,-2.5875,
13799,Ryan Tannehill,QB,17.2,292.36,-2.6875,
16906,Stefon Diggs,WR,17.1,291.5,2.902040816,
21077,Diontae Johnson,WR,17.8,285.4,3.602040816,
17920,Carson Wentz,QB,16.2,276.02,-3.6875,
15048,Travis Kelce,TE,17.2,275.8,5.006666667,
15076,Keenan Allen,WR,16.9,269.8,2.702040816,
20924,Hunter Renfrow,WR,15.8,269.1,1.602040816,
16597,Mike Evans,WR,16.8,268.5,2.602040816,
19781,Lamar Jackson,QB,22.3,267.98,2.4125,
18803,Leonard Fournette,RB,18.7,261.6,4.15,
18880,Chris Godwin,WR,18.5,259.4,4.302040816,
17923,Ezekiel Elliott,RB,15.2,259.06,0.65,
18914,Mike Williams,WR,16.2,258.6,2.002040816,
18983,James Conner,RB,17.2,257.7,2.65,
16041,Jimmy Garoppolo,QB,17.2,257.5,-2.6875,
16830,Tyler Lockett,WR,16,256.4,1.802040816,
14536,Russell Wilson,QB,18.1,252.82,-1.7875,
732,Matt Ryan,QB,14.8,250.92,-5.0875,
22598,Jaylen Waddle,WR,15.6,249.8,1.402040816,
19844,DJ Moore,WR,14.6,247.5,0.402040816,
20875,DK Metcalf,WR,14.5,247.3,0.302040816,
22496,Mac Jones,QB,14.5,246.94,-5.3875,
18878,Alvin Kamara,RB,19,246.7,4.45,
21744,Michael Pittman Jr.,WR,14.4,244.6,0.202040816,
16568,Brandin Cooks,WR,15.2,243.8,1.002040816,
17179,Taylor Heinicke,QB,15.2,242.86,-4.6875,
21679,CeeDee Lamb,WR,15.1,241.8,0.902040816,
15150,Cordarrelle Patterson,RB,15,240.6,0.45,
3807,Ben Roethlisberger,QB,14.9,239.1,-4.9875,
21861,Antonio Gibson,RB,14.9,239.1,0.35,
21045,Marquise Brown,WR,14.8,236.3,0.602040816,
20824,Josh Jacobs,RB,15.6,234,1.05,
22587,Amon-Ra St. Brown,WR,13.7,233.3,-0.497959184,
19045,Aaron Jones,RB,15.5,233,0.95,
21690,Tee Higgins,WR,16.6,232.1,2.402040816,
21961,Darnell Mooney,WR,13.6,231.7,-0.597959184,
19798,Nick Chubb,RB,16.5,231.3,1.95,
20790,Damien Harris,RB,15.1,227.1,0.55,
22490,Trevor Lawrence,QB,13.4,227.04,-6.4875,
20873,Terry McLaurin,WR,13.3,225.5,-0.897959184,
18872,Dalvin Cook,RB,16.9,220.3,2.35,
16497,Teddy Bridgewater,QB,15.5,216.68,-4.3875,
21684,D'Andre Swift,RB,16.6,215.9,2.05,
22558,Javonte Williams,RB,12.5,211.9,-2.05,
17922,Jared Goff,QB,15.1,211.5,-4.7875,
19815,Christian Kirk,WR,12.4,210.62,-1.797959184,
19920,Dalton Schultz,TE,12.3,208.8,0.106666667,
16765,Amari Cooper,WR,13.9,208.5,-0.297959184,
17959,Derrick Henry,RB,26,208.3,11.45,
19063,George Kittle,TE,14.9,208,2.706666667,
16776,Melvin Gordon III,RB,12.9,207.1,-1.65,
20882,David Montgomery,RB,15.6,203,1.05,
19790,Baker Mayfield,QB,14.5,202.9,-5.3875,
15534,Adam Thielen,WR,15.6,202.8,1.402040816,
20941,Devin Singletary,RB,11.8,200.8,-2.75,
20500,Darrel Williams,RB,11.7,199,-2.85,
21677,Tua Tagovailoa,QB,15,194.92,-4.8875,
21687,DeVonta Smith,WR,11.3,192.6,-2.897959184,
48,Dallas Cowboys,DST,11.2,190,0,
21042,A.J. Brown,WR,14.6,189.9,0.402040816,
20876,Jakobi Meyers,WR,11,187.3,-3.197959184,
17986,Tyler Boyd,WR,11.7,186.84,-2.497959184,
21802,AJ Dillon,RB,11,186.6,-3.55,
22508,Kyle Pitts,TE,10.9,185.6,-1.293333333,
19812,Sam Darnold,QB,15.3,183.28,-4.5875,
13870,Marvin Jones Jr.,WR,10.8,183.2,-3.397959184,
19318,Kendrick Bourne,WR,10.7,181.5,-3.497959184,
14856,Zach Ertz,TE,10.6,180.7,-1.593333333,
20841,Daniel Jones,QB,16.4,180.52,-3.4875,
10974,Rob Gronkowski,TE,15,180.2,2.806666667,
22535,Elijah Mitchell,RB,16.4,180,1.85,
22505,Davis Mills,QB,13.8,179.96,-6.0875,
21970,James Robinson,RB,12.8,178.9,-1.75,
20768,Myles Gaskin,RB,10.3,174.6,-4.25,
21747,Brandon Aiyuk,WR,10.3,174.3,-3.897959184,
19989,Daniel Carlson,K,10.2,174,0,
11694,Nick Folk,K,10.1,171,0,
19863,Dallas Goedert,TE,11.4,171,-0.793333333,
20006,Russell Gage,WR,12.2,171,-1.997959184,
21752,Chase Claypool,WR,11.3,169.6,-2.897959184,
21739,Van Jefferson,WR,9.9,168.2,-4.297959184,
19853,Mike Gesicki,TE,9.9,168,-2.293333333,
20850,Dawson Knox,TE,11.1,167.1,-1.093333333,
20912,Tony Pollard,RB,11,165.6,-3.55,
17975,Hunter Henry,TE,9.7,164.3,-2.493333333,
22495,Zach Wilson,QB,12.6,163.86,-7.2875,
20798,Darrell Henderson Jr.,RB,13.6,163.4,-0.95,
12845,A.J. Green,WR,10.2,162.8,-3.997959184,
14141,Cole Beasley,WR,10.1,162.3,-4.097959184,
16191,Chris Boswell,K,9.5,162,0,
14688,Justin Tucker,K,9.5,162,0,
20769,Matt Gay,K,9.4,159,0,
20753,Noah Fant,TE,9.9,159,-2.293333333,
21714,K.J. Osborn,WR,9.3,158.5,-4.897959184,
22553,Michael Carter,RB,11.3,158.4,-3.25,
21,New England Patriots,DST,9.3,158,0,
64,Miami Dolphins,DST,9.2,157,0,
19207,Tim Patrick,WR,9.8,156.4,-4.397959184,
19800,Courtland Sutton,WR,9.2,156.24,-4.997959184,
20325,Greg Joseph,K,9.2,156,0,
21750,Marquez Callaway,WR,9.1,154.8,-5.097959184,
549,Matt Prater,K,9.1,154,0,
22908,Evan McPherson,K,9.6,154,0,
20013,Cedrick Wilson,WR,9.6,153.82,-4.597959184,
19828,Sony Michel,RB,9,153.3,-5.55,
22507,Pat Freiermuth,TE,9.5,152.7,-2.693333333,
19766,Saquon Barkley,RB,11.7,152.6,-2.85,
37,Buffalo Bills,DST,8.8,150,0,
19041,Jake Elliott,K,8.8,150,0,
19919,Chase Edmonds,RB,12.3,147.3,-2.25,
14986,DeAndre Hopkins,WR,14.7,147.2,0.502040816,
14867,Dustin Hopkins,K,8.6,147,0,
18032,Tyler Higbee,TE,9.8,147,-2.393333333,
16524,Devonta Freeman,RB,9.2,146.6,-5.35,
20788,Mecole Hardman,WR,8.6,145.9,-5.597959184,
20805,T.J. Hockenson,TE,12.1,145.3,-0.093333333,
69,New Orleans Saints,DST,8.5,145,0,
22492,Justin Fields,QB,12.1,144.8,-7.7875,
17970,Devontae Booker,RB,9,144.1,-5.55,
95,Tampa Bay Buccaneers,DST,8.4,143,0,
22108,Tyler Bass,K,8.4,143,0,
20145,Allen Lazard,WR,9.5,142.5,-4.697959184,
14,Indianapolis Colts,DST,8.4,142,0,
21691,Chuba Hubbard,RB,8.3,141.6,-6.25,
22592,Elijah Moore,WR,12.8,141.2,-1.397959184,
16887,Mike Davis,RB,8.3,141.2,-6.25,
14871,Robert Woods,WR,15.6,140.2,1.402040816,
19073,Harrison Butker,K,8.8,140,0,
14697,Greg Zuerlein,K,8.8,140,0,
16964,Darren Waller,TE,12.7,139.5,0.506666667,
18187,Robby Anderson,WR,8.1,138.5,-6.097959184,
18422,Kalif Raymond,WR,8.6,138.4,-5.597959184,
19988,Tyler Conklin,TE,8.1,138.3,-4.093333333,
8750,Ryan Succop,K,8.1,138,0,
16020,Jarvis Landry,WR,11.5,138,-2.697959184,
1694,Mason Crosby,K,7.9,134,0,
19799,Rashaad Penny,RB,13.4,133.7,-1.15,
55,Kansas City Chiefs,DST,7.8,133,0,
20868,Alexander Mattison,RB,8.3,132.9,-6.25,
8534,Jared Cook,TE,8.3,132.4,-3.893333333,
11063,Emmanuel Sanders,WR,9.4,131.7,-4.797959184,
11056,Antonio Brown,WR,18.6,130.1,4.402040816,
13961,Randy Bullock,K,8.1,130,0,
19238,Taysom Hill,QB,10.8,129.72,-9.0875,
16389,Odell Beckham Jr.,WR,9.2,129.1,-4.997959184,
14996,Brandon McManus,K,7.6,129,0,
21735,Gabriel Davis,WR,8.1,128.9,-6.097959184,
16917,C.J. Uzomah,TE,8,128.3,-4.193333333,
21697,Laviska Shenault Jr.,WR,8,128,-6.197959184,
18464,J.D. McKissic,RB,11.6,127.9,-2.95,
20150,Byron Pringle,WR,7.5,127.8,-6.697959184,
18877,Christian McCaffrey,RB,18.2,127.5,3.65,
1,Arizona Cardinals,DST,7.4,126,0,
21769,Clyde Edwards-Helaire,RB,12.6,125.6,-1.95,
67,Minnesota Vikings,DST,7.4,125,0,
19565,Younghoe Koo,K,7.4,125,0,
22562,Kenneth Gainwell,RB,7.8,124.4,-6.75,
20933,Miles Sanders,RB,10.4,124.2,-4.15,
13741,Brandon Bolden,RB,7.3,124.1,-7.25,
34,Tennessee Titans,DST,7.2,123,0,
10333,Graham Gano,K,7.2,123,0,
20038,Braxton Berrios,WR,7.6,122.1,-6.597959184,
22546,Rhamondre Stevenson,RB,10.2,121.9,-4.35,
16762,Jameis Winston,QB,17.3,121.4,-2.5875,
21772,Cole Kmet,TE,7.1,121.2,-5.093333333,
32,Los Angeles Rams,DST,7.1,121,0,
12,Green Bay Packers,DST,7.1,121,0,
93,San Francisco 49ers,DST,7.1,120,0,
18995,Jamaal Williams,RB,9.2,119.8,-5.35,
18935,Gerald Everett,TE,8,119.8,-4.193333333,
49,Denver Broncos,DST,7,119,0,
21957,Quez Watkins,WR,7,119,-7.197959184,
20837,Ty Johnson,RB,7.4,118,-7.15,
16301,Cairo Santos,K,6.8,116,0,
20033,Jason Sanders,K,6.8,115,0,
19912,Nyheim Hines,RB,6.7,114.6,-7.85,
21163,Deonte Harris,WR,8.8,114.1,-5.397959184,
21754,Donovan Peoples-Jones,WR,8.1,113.7,-6.097959184,
22626,Rondale Moore,WR,8.1,113.1,-6.097959184,
28,Pittsburgh Steelers,DST,6.6,113,0,
1410,Robbie Gould,K,8.6,112,0,
21734,Nick Westbrook-Ikhine,WR,7,111.6,-7.197959184,
26,Philadelphia Eagles,DST,6.5,111,0,
16866,Jamison Crowder,WR,9.2,110.7,-4.997959184,
18876,David Njoku,TE,6.9,110.6,-5.293333333,
21593,D'Ernest Johnson,RB,6.5,110.1,-8.05,
18944,Kareem Hunt,RB,13.8,110,-0.75,
18926,Zay Jones,WR,6.5,109.9,-7.697959184,
13337,Mark Ingram II,RB,7.8,109.6,-6.75,
18879,Corey Davis,WR,12.1,109.2,-2.097959184,
21736,Bryan Edwards,WR,6.8,109.1,-7.397959184,
7,Cincinnati Bengals,DST,6.4,108,0,
14917,Rex Burkhead,RB,6.7,107.3,-7.85,
38,Chicago Bears,DST,6.3,107,0,
15071,Latavius Murray,RB,7.6,106.6,-6.95,
22623,Rashod Bateman,WR,8.9,106.5,-5.297959184,
21784,Zack Moss,RB,8.2,106.2,-6.35,
8,Cleveland Browns,DST,6.2,106,0,
17215,Jason Myers,K,6.1,104,0,
18957,D'Onta Foreman,RB,11.5,103.9,-3.05,
16775,DeVante Parker,WR,10.4,103.5,-3.797959184,
18912,Evan Engram,TE,6.9,103.5,-5.293333333,
16781,Nelson Agholor,WR,6.9,103.4,-7.297959184,
97,Washington Football Team,DST,6.1,103,0,
18003,Kenyan Drake,RB,8.5,102.5,-6.05,
20144,Michael Badgley,K,7.8,102,0,
12841,Andy Dalton,QB,12.5,100.2,-7.3875,
21519,Joey Slye,K,8.3,100,0,
20039,Boston Scott,RB,6.2,99.6,-8.35,
19079,Zane Gonzalez,K,8.2,98,0,
21448,Jalen Guyton,WR,6.1,97.2,-8.097959184,
19172,Zach Pascal,WR,6,95.5,-8.197959184,
13227,Randall Cobb,WR,7.9,94.6,-6.297959184,
19867,Michael Gallup,WR,10.5,94.5,-3.697959184,
17009,Trevor Siemian,QB,15.7,94.16,-4.1875,
90,Seattle Seahawks,DST,5.5,93,0,
21542,Chase McLaughlin,K,5.8,93,0,
22613,Joshua Palmer,WR,5.5,92.9,-8.697959184,
17963,Austin Hooper,TE,5.8,92.5,-6.393333333,
13320,Cam Newton,QB,11.5,92.36,-8.3875,
18977,Kenny Golladay,WR,6.6,92.1,-7.597959184,
75,New York Giants,DST,5.4,91,0,
5,Carolina Panthers,DST,5.3,90,0,
19976,Marquez Valdes-Scantling,WR,8.2,90,-5.997959184,
21142,Olamide Zaccheaus,WR,5.3,89.8,-8.897959184,
21810,Tyler Huntley,QB,12.8,89.64,-7.0875,
16815,Ameer Abdullah,RB,5.3,89.5,-9.25,
19897,Tre'Quan Smith,WR,8,87.7,-6.197959184,
21694,Henry Ruggs III,WR,12.5,87.5,-1.697959184,
