Rank,ADP,Pos,Player,Team,Age*,Height,Weight,#1,#2,#3,#4,Value,Audio
1,1.25,QB1,Patrick Mahomes,KC,27.7,6'3",230,2,1,1,1,show_chart,headset
2,2.00,QB2,Josh Allen,BUF,26.9,6'5",237,1,3,2,2,show_chart,headset
3,2.75,QB3,Jalen Hurts,PHI,24.7,6'2",218,3,2,3,3,show_chart,headset
4,5.50,QB4,Joe Burrow,CIN,26.4,6'3",221,4,7,7,4,show_chart,headset
5,6.00,QB5,Justin Herbert,LAC,25.2,6'6",236,5,4,8,7,show_chart,headset
6,6.25,QB6,Lamar Jackson,BAL,26.3,6'2",216,6,6,4,9,show_chart,headset
7,6.75,WR1,Justin Jefferson,MIN,23.8,6'1",202,8,8,5,6,show_chart,headset
8,7.75,QB7,Trevor Lawrence,JAC,23.6,6'6",215,9,5,9,8,show_chart,headset
9,9.25,QB8,Justin Fields,CHI,24.2,6'3",227,7,10,10,10,show_chart,headset
10,10.25,WR2,Ja'Marr Chase,CIN,23.2,6'0",201,13,11,6,11,show_chart,headset
11,11.00,RB1,Bijan Robinson,ATL,21.3,5'11",215,16,9,14,5,show_chart,headset
12,13.00,QB9,Dak Prescott,DAL,29.8,6'2",238,12,16,11,13,show_chart,headset
13,13.75,WR3,CeeDee Lamb,DAL,24.1,6'2",198,15,15,13,12,show_chart,headset
14,14.75,QB10,Deshaun Watson,CLE,27.7,6'2",221,10,17,18,14,show_chart,headset
15,15.00,QB11,Anthony Richardson,IND,20.9,6'4",244,19,12,12,17,show_chart,headset
16,17.00,WR4,AJ Brown,PHI,25.8,6'0",226,17,14,21,16,show_chart,headset
17,17.75,QB12,Kyler Murray,ARI,25.8,5'10",207,11,20,25,15,show_chart,headset
18,17.75,QB13,Bryce Young,CAR,21.8,5'10",204,24,13,16,18,show_chart,headset
19,19.50,RB2,Jonathan Taylor,IND,24.3,5'10",226,14,19,20,25,show_chart,headset
20,19.75,WR5,Garrett Wilson,NYJ,22.8,5'11",183,20,21,17,21,show_chart,headset
21,20.50,QB14,CJ Stroud,HOU,21.6,6'3",214,29,18,15,20,show_chart,headset
22,20.75,QB15,Tua Tagovailoa,MIA,25.2,6'0",217,18,22,19,24,show_chart,headset
23,21.75,WR6,Amon-Ra St. Brown,DET,23.5,5'11",197,21,25,22,19,show_chart,headset
24,23.00,WR7,Jaylen Waddle,MIA,24.4,5'10",175,22,24,24,22,show_chart,headset
