"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif","id"
"Ja'Marr Chase","WR","CIN","1","1.2","0.2","WR01","WR01","0","1109979"
"CeeDee Lamb","WR","DAL","2","4.0","2.0","WR02","WR02","0","1062020"
"Saquon Barkley","RB","PHI","3","3.7","0.7","RB01","RB02","1","883302"
"Justin Jefferson","WR","MIN","4","6.6","2.6","WR03","WR03","0","1069535"
"Bijan Robinson","RB","ATL","5","2.5","-2.5","RB02","RB01","-1","1228244"
"Jahmyr Gibbs","RB","DET","6","4.5","-1.5","RB03","RB03","0","1214154"
"Puka Nacua","WR","LA","7","13.5","6.5","WR04","WR07","3","1162128"
"Amon-Ra St. Brown","WR","DET","8","11.2","3.2","WR05","WR06","1","1127106"
"Nico Collins","WR","HOU","9","8.7","-0.3","WR06","WR04","-2","1074698"
"Christian McCaffrey","RB","SF","10","6.9","-3.1","RB04","RB04","0","830517"
"Malik Nabers","WR","NYG","11","9.9","-1.1","WR07","WR05","-2","1286059"
"Brian Thomas Jr.","WR","JAX","12","14.3","2.3","WR08","WR08","0","1286064"
"Ashton Jeanty","RB","LV","13","12.3","-0.7","RB05","RB06","1","1379646"
"Brock Bowers","TE","LV","14","18.9","4.9","TE01","TE01","0","1285917"
"A.J. Brown","WR","PHI","15","21.3","6.3","WR09","WR10","1","944826"
"De'Von Achane","RB","MIA","16","20.6","4.6","RB06","RB10","4","1231820"
"Drake London","WR","ATL","17","15.6","-1.4","WR10","WR09","-1","1178741"
"Derrick Henry","RB","BAL","18","10.2","-7.8","RB07","RB05","-2","732145"
"Chase Brown","RB","CIN","19","15.9","-3.1","RB08","RB07","-1","1123379"
"Ladd McConkey","WR","LAC","20","22.8","2.8","WR11","WR11","0","1218643"
"Bucky Irving","RB","TB","21","20.0","-1.0","RB09","RB09","0","1287923"
"Trey McBride","TE","ARI","22","26.2","4.2","TE02","TE02","0","1108161"
"Jonathan Taylor","RB","IND","23","17.6","-5.4","RB10","RB08","-2","1065406"
"Tee Higgins","WR","CIN","24","26.9","2.9","WR12","WR12","0","978579"
"Josh Jacobs","RB","GB","25","21.3","-3.7","RB11","RB11","0","944416"
"Jaxon Smith-Njigba","WR","SEA","26","30.8","4.8","WR13","WR13","0","1214087"
"Omarion Hampton","RB","LAC","27","29.5","2.5","RB12","RB13","1","1398572"
"George Kittle","TE","SF","28","35.5","7.5","TE03","TE03","0","733672"
"Davante Adams","WR","LA","29","42.6","13.6","WR14","WR19","5","611417"
"Lamar Jackson","QB","BAL","30","27.8","-2.2","QB01","QB02","1","877745"
"Tyreek Hill","WR","MIA","31","35.3","4.3","WR15","WR15","0","823156"
"Josh Allen","QB","BUF","32","24.4","-7.6","QB02","QB01","-1","868199"
"Mike Evans","WR","TB","33","31.6","-1.4","WR16","WR14","-2","593587"
"Tet McMillan","WR","CAR","34","43.3","9.3","WR17","WR21","4","1380576"
"Marvin Harrison Jr.","WR","ARI","35","38.4","3.4","WR18","WR17","-1","1287828"
"James Cook","RB","BUF","36","32.7","-3.3","RB13","RB14","1","1131012"
"Terry McLaurin","WR","WAS","37","36.9","-0.1","WR19","WR16","-3","836116"
"DJ Moore","WR","CHI","38","53.6","15.6","WR20","WR27","7","877790"
"Kyren Williams","RB","LA","39","28.1","-10.9","RB14","RB12","-2","1167361"
"Garrett Wilson","WR","NYJ","40","42.7","2.7","WR21","WR20","-1","1164889"
"Jayden Daniels","QB","WAS","41","35.2","-5.8","QB03","QB03","0","1161228"
"Xavier Worthy","WR","KC","42","39.9","-2.1","WR22","WR18","-4","1326638"
"TreVeyon Henderson","RB","NE","43","33.8","-9.2","RB15","RB15","0","1287837"
"Jaylen Waddle","WR","MIA","44","62.8","18.8","WR23","WR32","9","1125749"
"Jalen Hurts","QB","PHI","45","43.4","-1.6","QB04","QB04","0","913271"
"George Pickens","WR","DAL","46","47.3","1.3","WR24","WR23","-1","1172053"
"Devonta Smith","WR","PHI","47","57.2","10.2","WR25","WR30","5","1060262"
"Breece Hall","RB","NYJ","48","51.5","3.5","RB16","RB18","2","1162537"
"Courtland Sutton","WR","DEN","49","45.8","-3.2","WR26","WR22","-4","838878"
"Zay Flowers","WR","BAL","50","60.9","10.9","WR27","WR31","4","1177053"
"Jameson Williams","WR","DET","51","49.7","-1.3","WR28","WR24","-4","1175184"
"Alvin Kamara","RB","NO","52","46.2","-5.8","RB17","RB17","0","750846"
"DK Metcalf","WR","PIT","53","53.2","0.2","WR29","WR26","-3","945633"
"Travis Hunter","WR","JAX","54","65.9","11.9","WR30","WR33","3","1399275"
"Kenneth Walker III","RB","SEA","55","42.3","-12.7","RB18","RB16","-2","1164402"
"Joe Burrow","QB","CIN","56","44.6","-11.4","QB05","QB05","0","878785"
"Calvin Ridley","WR","TEN","57","56.4","-0.6","WR31","WR29","-2","884013"
"Rashee Rice","WR","KC","58","69.9","11.9","WR32","WR36","4","1173538"
"Chuba Hubbard","RB","CAR","59","53.3","-5.7","RB19","RB19","0","1062047"
"Emeka Egbuka","WR","TB","60","50.4","-9.6","WR33","WR25","-8","1287825"
"James Conner","RB","ARI","61","57.4","-3.6","RB20","RB20","0","742390"
"RJ Harvey","RB","DEN","62","60.0","-2.0","RB21","RB21","0","1172401"
"Chris Olave","WR","NO","63","77.9","14.9","WR34","WR40","6","1122592"
"Jerry Jeudy","WR","CLE","64","72.8","8.8","WR35","WR38","3","973935"
"Tony Pollard","RB","TEN","65","61.6","-3.4","RB22","RB22","0","880398"
"Rome Odunze","WR","CHI","66","70.9","4.9","WR36","WR37","1","1213727"
"Ricky Pearsall","WR","SF","67","56.3","-10.7","WR37","WR28","-9","1161416"
"Stefon Diggs","WR","NE","68","76.5","8.5","WR38","WR39","1","694041"
"David Montgomery","RB","DET","69","71.9","2.9","RB23","RB25","2","946739"
"Sam LaPorta","TE","DET","70","68.2","-1.8","TE04","TE04","0","1168926"
"Aaron Jones","RB","MIN","71","75.6","4.6","RB24","RB26","2","741314"
"Matthew Golden","WR","GB","72","66.0","-6.0","WR39","WR34","-5","1379267"
"Deebo Samuel","WR","WAS","73","67.9","-5.1","WR40","WR35","-5","835749"
"D'Andre Swift","RB","CHI","74","64.6","-9.4","RB25","RB23","-2","1069808"
"Jakobi Meyers","WR","LV","75","80.1","5.1","WR41","WR41","0","880151"
"Jauan Jennings","WR","SF","76","92.8","16.8","WR42","WR45","3","867009"
"Patrick Mahomes","QB","KC","77","72.6","-4.4","QB06","QB06","0","839031"
"Isiah Pacheco","RB","KC","78","65.4","-12.6","RB26","RB24","-2","1106832"
