"Name","Pos","Team","ADP","ETR_Rank","Delta","Pos_Rank","id"
"Ja'Marr Chase","WR","CIN","1.1","1","0.1","WR01","1fff1622-51d8-44ff-b068-469e09df78b6"
"Saquon Barkley","RB","PHI","2.5","2","0.5","RB01","4f82332b-2c6b-493a-9f8c-6ea0df4b3df0"
"Bijan Robinson","RB","ATL","3.0","3","0.0","RB02","b5077b18-326d-4782-b14e-e571ec7c2549"
"Justin Jefferson","WR","MIN","4.6","4","0.6","WR02","d21d439b-f803-43fa-a0d5-0ea7a60385bf"
"CeeDee Lamb","WR","DAL","6.1","5","1.1","WR03","1655df19-fe77-4788-b9e8-ff83faa88c57"
"Christian McCaffrey","RB","SF","6.2","6","0.2","RB03","c59b9274-1bd6-44f7-bc5e-c0fd514d8e1f"
"Jahmyr Gibbs","RB","DET","4.9","7","-2.1","RB04","a5e73895-cf2d-46a3-b92d-5b397c39a892"
"Amon-Ra St. Brown","WR","DET","13.0","8","5.0","WR04","6278837e-c38a-41c8-be0b-dbc7a2e1eeac"
"Puka Nacua","WR","LA","8.9","9","-0.1","WR05","5299e402-d7a7-4965-86fd-c688e09c56f3"
"Nico Collins","WR","HOU","13.5","10","3.5","WR06","6a188c25-98c9-41b1-840b-ffa92af82c89"
"Malik Nabers","WR","NYG","10.4","11","-0.6","WR07","99e9c673-916c-4f57-b982-58283e47392b"
"Ashton Jeanty","RB","LV","11.8","12","-0.2","RB05","2676ef05-4c46-4634-805a-de106b0ccb6b"
"Brian Thomas Jr.","WR","JAX","15.6","13","2.6","WR08","b018170e-dfde-4a33-a954-0172eda27846"
"Derrick Henry","RB","BAL","9.5","14","-4.5","RB06","aa75de78-d6ad-4eea-9496-226f92ee977e"
"A.J. Brown","WR","PHI","18.7","15","3.7","WR09","4c904870-2af2-48c4-a15b-f30ad09773e7"
"De'Von Achane","RB","MIA","12.0","16","-4.0","RB07","90565f70-72bd-4163-8750-9e832775c8c7"
"Drake London","WR","ATL","17.1","17","0.1","WR10","70e6771c-8d4d-4398-bd8c-45c000c92a24"
"Brock Bowers","TE","LV","20.6","18","2.6","TE01","ac2b9bc1-bc52-4a03-91df-e3ba732ec16c"
"Tyreek Hill","WR","MIA","24.6","19","5.6","WR11","2b35e49a-cdce-45b5-ba00-9c30a0bf0b8b"
"Bucky Irving","RB","TB","19.8","20","-0.2","RB08","f96ef93f-e38a-42d6-8ea6-88639da7f5e6"
"Ladd McConkey","WR","LAC","19.3","21","-1.7","WR12","e971bb28-0298-4308-8217-bb6fe58d41c4"
"Rashee Rice","WR","KC","23.9","22","1.9","WR13","c5b88cf0-1ab1-4dbd-9f15-a7315cec9142"
"Josh Jacobs","RB","GB","22.8","23","-0.2","RB09","bb4795ac-ef18-405c-9b3c-99e563e31ab9"
"Jonathan Taylor","RB","IND","16.0","24","-8.0","RB10","e494befd-2bf9-46df-a6ec-5047fd1ed386"
"Tee Higgins","WR","CIN","27.9","25","2.9","WR14","535cec54-cb50-446a-8e87-6b94474ad4cd"
"Chase Brown","RB","CIN","24.4","26","-1.6","RB11","251cefda-3d65-4a9d-9dff-f6462a357683"
"Breece Hall","RB","NYJ","31.4","27","4.4","RB12","fbe5ea81-da4d-449c-ac87-6652a608a6f5"
"Trey McBride","TE","ARI","30.1","28","2.1","TE02","d0771d39-659b-4b8b-afe4-edae61aa78c5"
"Jaxon Smith-Njigba","WR","SEA","36.2","29","7.2","WR15","1076ded7-6071-4af0-9582-a9231787266c"
"Kyren Williams","RB","LA","29.3","30","-0.7","RB13","ced9952c-267b-4618-af86-e0d7211dfe96"
"Mike Evans","WR","TB","39.3","31","8.3","WR16","fcb46426-5c7a-422d-b40e-c577e7c588de"
"Terry McLaurin","WR","WAS","36.3","32","4.3","WR17","a8e40f79-576b-4638-a030-b4fac410ebba"
"Davante Adams","WR","LA","38.2","33","5.2","WR18","94f01e07-a475-4d33-ae35-5d372464499c"
"Marvin Harrison Jr.","WR","ARI","35.4","34","1.4","WR19","30dd40a7-f967-4d0d-a3ee-0e49ae37f022"
"James Cook","RB","BUF","38.0","35","3.0","RB14","705ec926-789d-4fe8-9732-fe25fa4332c2"
"Lamar Jackson","QB","BAL","28.6","36","-7.4","QB01","283bc3b3-3507-422f-8ccf-6720a1e8dffe"
"George Kittle","TE","SF","40.0","37","3.0","TE03","797e0881-a04c-4bd6-bcb7-b8a01a9de0e8"
"Josh Allen","QB","BUF","26.6","38","-11.4","QB02","9937d9e1-b8af-401a-8ab2-c9aa796801ff"
"Garrett Wilson","WR","NYJ","30.1","39","-8.9","WR20","46bfb09e-1318-4a8b-9b61-a77b17a3ebe7"
"DJ Moore","WR","CHI","46.2","40","6.2","WR21","a961888a-36a9-49d1-9f8f-7981d1abff3d"
"Omarion Hampton","RB","LAC","42.4","41","1.4","RB15","e88f5650-3db4-46a9-9f93-75be2c948ac7"
"Tet McMillan","WR","CAR","44.8","42","2.8","WR22","68d485e2-73f5-409f-b46a-58ff4d0a9fd1"
"Jayden Daniels","QB","WAS","33.3","43","-9.7","QB03","433d270c-a39e-4844-8f7d-32aa04d310ef"
"Xavier Worthy","WR","KC","52.3","44","8.3","WR23","022e7611-db4e-476c-8044-143db4047926"
"Jameson Williams","WR","DET","51.4","45","6.4","WR24","f1a1058e-3b5a-40d7-a7e7-04d01b332339"
"Courtland Sutton","WR","DEN","47.5","46","1.5","WR25","d47e3486-c3c6-4ecc-adc2-545a6328d56c"
"George Pickens","WR","DAL","54.8","47","7.8","WR26","6f78793f-b485-4efe-8462-5522e3c313cd"
"Devonta Smith","WR","PHI","54.2","48","6.2","WR27","cb6b61f7-2d9d-41e5-8f36-dd3c2fc5ea02"
"Zay Flowers","WR","BAL","56.5","49","7.5","WR28","03dc203c-4f0e-4577-8cbb-90f120ef6b10"
"DK Metcalf","WR","PIT","49.7","50","-0.3","WR29","b545f9ca-203c-431b-ad4b-8cea8ca01125"
"Jalen Hurts","QB","PHI","40.6","51","-10.4","QB04","3ab0b3f7-b656-42f0-ab92-d437202072b1"
