Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2025-08-14 12:34:04 UTC,207,89c932e5-9b13-487f-97c6-c23a2864510e,Sean,Tucker,TB,RB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-14 03:01:27 UTC,202,54ad314c-d98a-4087-9831-d9fe55233e1c,DeAndre,Hopkins,BAL,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-12 13:24:48 UTC,183,42be1a8b-6bdd-4bda-a857-3a01bbc6aeac,Wan'Dale,Robinson,NYG,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-11 16:02:37 UTC,178,fa1a54e5-4c1c-45b8-9e9a-3c1568a28d6b,Jaylen,Wright,MIA,RB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-10 02:53:30 UTC,159,b760285b-f146-44b7-91a6-80b79734aa3a,Keaton,Mitchell,BAL,RB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-09 04:09:57 UTC,154,24e943a8-7926-4012-9d7e-138315b764cd,Hunter,Henry,NE,TE,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-07 12:48:35 UTC,135,6dc7832f-45d2-4ae6-8c6a-3595e185a18e,Joshua,Palmer,BUF,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-07 03:44:55 UTC,130,8e3162f9-5b76-46e8-b189-777db6212f8b,Dalton,Kincaid,BUF,TE,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-05 03:06:52 UTC,111,1fd437b3-ec8a-40ff-af9b-bdeb9e195111,Drake,Maye,NE,QB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-04 22:23:19 UTC,106,8c7f9176-18b8-4f59-bc46-2c14a60bfed8,Rashid,Shaheed,NO,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-03 04:13:56 UTC,87,eefaafc6-b10a-4794-a6dc-4233a1c2263f,Darnell,Mooney,ATL,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-08-02 13:56:10 UTC,82,f50101bc-fbfa-4a82-a625-c11c479cfbe8,Aaron,Jones,MIN,RB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-07-31 11:44:54 UTC,63,e57459d1-a8ea-4e55-909d-06b378e09b02,Stefon,Diggs,NE,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-07-30 19:09:28 UTC,58,2c4e3e6e-667c-44c3-8083-bfd11b1fd7a8,Calvin,Ridley,TEN,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-07-29 11:11:09 UTC,39,0f31f57a-5461-4802-811e-f84fde65f9b5,Breece,Hall,NYJ,RB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-07-28 23:32:34 UTC,34,0467ab97-0708-4a95-88ef-124455ac4ac1,Josh,Allen,BUF,QB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-07-27 14:30:50 UTC,15,8f217c44-cc37-44a8-84f9-d82cd3fe91ff,Ashton,Jeanty,LV,RB,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
2025-07-27 12:05:06 UTC,10,827b3a04-55f4-4c0e-940f-62be3233dd15,Puka,Nacua,LAR,WR,05ab4f59-9add-4b98-bee1-69f8012846f7,00566fb3-9e27-46f8-94ba-d6a1d00db8c0,,12,,The Chow Chow,c313b950-e2a5-4365-a36f-2162d8b84101,50.0,250000.0,5568,,,,,,,,,,
