Id,Name,Position,Adp,Team,Wk17,P Rk,Rookie,Rank,+/-
1069535,Justin Jefferson,WR,1.2,MIN,GB,WR1,,1,0.2
1109979,Ja'Marr Chase,WR,2.5,CIN,KC,WR2,,2,0.5
830517,Christian McCaffrey,RB,3.1,SF,WAS,RB1,,3,0.1
823156,Tyreek Hill,WR,4.4,MIA,BAL,WR3,,4,0.4
698227,Cooper Kupp,WR,6.3,LA,NYG,WR4,,5,1.3
448240,Travis Kelce,TE,5.4,KC,CIN,TE1,,6,-0.6
694041,Stefon Diggs,WR,8.4,BUF,NE,WR5,,7,1.4
790004,Austin Ekeler,RB,6.9,LAC,DEN,RB2,,8,-1.1
944826,A.J. Brown,WR,10.3,PHI,ARI,WR6,,9,1.3
1062020,CeeDee Lamb,WR,11.7,DAL,DET,WR7,,10,1.7
1228244,Bijan Robinson,RB,9.4,ATL,CHI,RB3,Rookie,11,-1.6
611417,Davante Adams,WR,15.6,LV,IND,WR8,,12,3.6
1164889,Garrett Wilson,WR,16.6,NYJ,CLE,WR9,,13,3.6
1127106,Amon-Ra St. Brown,WR,12.7,DET,DAL,WR10,,14,-1.3
1125749,Jaylen Waddle,WR,21.2,MIA,BAL,WR11,,15,6.2
880398,Tony Pollard,RB,16.0,DAL,DET,RB4,,16,0.0
822857,Nick Chubb,RB,13.1,CLE,NYJ,RB5,,17,-3.9
1122592,Chris Olave,WR,21.9,NO,TB,WR12,,18,3.9
1060262,DeVonta Smith,WR,24.4,PHI,ARI,WR13,,19,5.4
883302,Saquon Barkley,RB,14.5,NYG,LA,RB6,,20,-5.5
839031,Patrick Mahomes,QB,19.2,KC,CIN,QB1,,21,-1.8
913271,Jalen Hurts,QB,18.8,PHI,ARI,QB2,,22,-3.2
868199,Josh Allen,QB,23.4,BUF,NE,QB3,,23,0.4
732145,Derrick Henry,RB,19.8,TEN,HOU,RB7,,24,-4.2
1065406,Jonathan Taylor,RB,33.2,IND,LV,RB8,,25,8.2
978579,Tee Higgins,WR,26.9,CIN,KC,WR14,,26,0.9
877745,Lamar Jackson,QB,32.1,BAL,MIA,QB4,,27,5.1
884013,Calvin Ridley,WR,24.5,JAX,CAR,WR15,,28,-3.5
820699,Mark Andrews,TE,27.9,BAL,MIA,TE2,,29,-1.1
945633,DK Metcalf,WR,29.4,SEA,PIT,WR16,,30,-0.6
944416,Josh Jacobs,RB,33.6,LV,IND,RB9,,31,2.6
1214154,Jahmyr Gibbs,RB,28.8,DET,DAL,RB10,Rookie,32,-3.2
557210,Keenan Allen,WR,31.1,LAC,DEN,WR17,,33,-1.9
835749,Deebo Samuel,WR,34.7,SF,WAS,WR18,,34,0.7
650914,Amari Cooper,WR,36.3,CLE,NYJ,WR19,,35,1.3
1174682,Rhamondre Stevenson,RB,36.9,NE,BUF,RB11,,36,0.9
978577,Travis Etienne,RB,38.3,JAX,CAR,RB12,,37,1.3
1162537,Breece Hall,RB,50.3,NYJ,CLE,RB13,,38,12.3
1178741,Drake London,WR,53.8,ATL,CHI,WR20,,39,14.8
973935,Jerry Jeudy,WR,37.8,DEN,LAC,WR21,,40,-2.2
836116,Terry McLaurin,WR,52.2,WAS,SF,WR22,,41,11.2
560241,DeAndre Hopkins,WR,42.7,ARI,PHI,WR23,,42,0.7
1067918,Christian Watson,WR,46.5,GB,MIN,WR24,,43,3.5
878785,Joe Burrow,QB,47.9,CIN,KC,QB5,,44,3.9
733754,Mike Williams,WR,44.1,LAC,DEN,WR25,,45,-0.9
877790,DJ Moore,WR,40.0,CHI,ATL,WR26,,46,-6.0
1110681,Justin Fields,QB,39.5,CHI,ATL,QB6,,47,-7.5
820727,Joe Mixon,RB,38.9,CIN,KC,RB14,,48,-9.1
910562,Justin Herbert,QB,50.5,LAC,DEN,QB7,,49,1.5
923915,T.J. Hockenson,TE,51.4,MIN,GB,TE3,,50,1.4
1107034,Brandon Aiyuk,WR,57.0,SF,WAS,WR27,,51,6.0
973964,Najee Harris,RB,44.0,PIT,SEA,RB15,,52,-8.0
1214087,Jaxon Smith-Njigba,WR,66.9,SEA,PIT,WR28,Rookie,53,13.9
891115,Diontae Johnson,WR,57.9,PIT,SEA,WR29,,54,3.9
1164402,Kenneth Walker,RB,52.8,SEA,PIT,RB16,,55,-2.2
741314,Aaron Jones,RB,47.2,GB,MIN,RB17,,56,-8.8
865801,Christian Kirk,WR,48.2,JAX,CAR,WR30,,57,-8.8
605242,Tyler Lockett,WR,68.5,SEA,PIT,WR31,,58,10.5
733672,George Kittle,TE,64.1,SF,WAS,TE4,,59,5.1
835127,Chris Godwin,WR,63.3,TB,NO,WR32,,60,3.3
593587,Mike Evans,WR,70.8,TB,NO,WR33,,61,9.8
944343,Alexander Mattison,RB,59.9,MIN,GB,RB18,,62,-2.1
976513,J.K. Dobbins,RB,72.6,BAL,MIA,RB19,,63,9.6
1108998,Dameon Pierce,RB,64.9,HOU,TEN,RB20,,64,0.9
976220,Marquise Brown,WR,78.5,ARI,PHI,WR34,,65,13.5
911348,Michael Pittman,WR,79.3,IND,LV,WR35,,66,13.3
976761,Gabe Davis,WR,62.5,BUF,NE,WR36,,67,-4.5
1110711,Trevor Lawrence,QB,60.1,JAX,CAR,QB8,,68,-7.9
600191,Darren Waller,TE,53.3,NYG,LA,TE5,,69,-15.7
1214250,Jordan Addison,WR,78.3,MIN,GB,WR37,Rookie,70,8.3
1131012,James Cook,RB,65.4,BUF,NE,RB21,,71,-5.6
1123026,Kyle Pitts,TE,81.1,ATL,CHI,TE6,,72,9.1
1172053,George Pickens,WR,61.1,PIT,SEA,WR38,,73,-11.9
1121878,Jahan Dotson,WR,80.1,WAS,SF,WR39,,74,6.1
791365,Dallas Goedert,TE,73.0,PHI,ARI,TE7,,75,-2.0
1213865,Quentin Johnston,WR,90.5,LAC,DEN,WR40,Rookie,76,14.5
976251,Cam Akers,RB,64.8,LA,NYG,RB22,,77,-12.2
924261,Miles Sanders,RB,79.4,CAR,JAX,RB23,,78,1.4
