Name,Team,Wk17,Pos,P Rk,Rank,ADP,Rookie,+/-,id
Ja'Marr Chase,CIN,ARI,WR,WR1,1,1.2,,0.2,1fff1622-51d8-44ff-b068-469e09df78b6
Saquon Barkley,PHI,BUF,RB,RB1,2,2.5,,0.5,4f82332b-2c6b-493a-9f8c-6ea0df4b3df0
Bijan Robinson,ATL,LAR,RB,RB2,3,2.8,,-0.2,b5077b18-326d-4782-b14e-e571ec7c2549
Jahmyr Gibbs,DET,MIN,RB,RB3,4,5.1,,1.1,a5e73895-cf2d-46a3-b92d-5b397c39a892
Justin Jefferson,MIN,DET,WR,WR2,5,4.3,,-0.7,d21d439b-f803-43fa-a0d5-0ea7a60385bf
Christian McCaffrey,SF,CHI,RB,RB4,6,6.9,,0.9,c59b9274-1bd6-44f7-bc5e-c0fd514d8e1f
CeeDee Lamb,DAL,WAS,WR,WR3,7,6.0,,-1,1655df19-fe77-4788-b9e8-ff83faa88c57
Puka Nacua,LAR,ATL,WR,WR4,8,8.9,,0.9,5299e402-d7a7-4965-86fd-c688e09c56f3
Ashton Jeanty,LV,NYG,RB,RB5,9,10.4,Rookie,1.4,2676ef05-4c46-4634-805a-de106b0ccb6b
Malik Nabers,NYG,LV,WR,WR5,10,11.2,,1.2,99e9c673-916c-4f57-b982-58283e47392b
Amon-Ra St. Brown,DET,MIN,WR,WR6,11,12.0,,1,6278837e-c38a-41c8-be0b-dbc7a2e1eeac
Nico Collins,HOU,LAC,WR,WR7,12,12.7,,0.7,6a188c25-98c9-41b1-840b-ffa92af82c89
Brian Thomas,JAX,IND,WR,WR8,13,15.3,,2.3,b018170e-dfde-4a33-a954-0172eda27846
De'Von Achane,MIA,TB,RB,RB6,14,13.6,,-0.4,90565f70-72bd-4163-8750-9e832775c8c7
Derrick Henry,BAL,GB,RB,RB7,15,9.5,,-5.5,aa75de78-d6ad-4eea-9496-226f92ee977e
Bucky Irving,TB,MIA,RB,RB8,16,20.0,,4,f96ef93f-e38a-42d6-8ea6-88639da7f5e6
Brock Bowers,LV,NYG,TE,TE1,17,20.8,,3.8,ac2b9bc1-bc52-4a03-91df-e3ba732ec16c
Jonathan Taylor,IND,JAX,RB,RB9,18,17.2,,-0.8,e494befd-2bf9-46df-a6ec-5047fd1ed386
