name,position,team,value
"Patrick Mahomes",QB,KC,993.2569
"Josh Allen",QB,BUF,962.9807
"Jalen Hurts",QB,PHI,950.0360
"Joe Burrow",QB,CIN,924.3401
"Justin Herbert",QB,LAC,912.5750
"Lamar Jackson",QB,BAL,869.9367
"Justin Jefferson",WR,MIN,857.2231
"Trevor Lawrence",QB,JAC,835.0037
"Ja'Marr Chase",WR,CIN,817.0292
2023.1.01,0,0,795.0000
"Bijan Robinson",RB,ATL,774.9191
"Justin Fields",QB,CHI,727.4688
"CeeDee Lamb",WR,DAL,713.8472
"AJ Brown",WR,PHI,712.7944
"Jaylen Waddle",WR,MIA,688.9423
"Dak Prescott",QB,DAL,679.0256
"Garrett Wilson",WR,NYJ,662.9555
"Jonathan Taylor",RB,IND,682.6407
2023.1.early,0,0,672.1575
2023.1.02,0,0,671.1600
"Anthony Richardson",QB,IND,645.9400
2023.1.03,0,0,647.1900
"Amon-Ra St. Brown",WR,DET,625.9875
"Bryce Young",QB,CAR,623.0477
"Kyler Murray",QB,ARI,593.6601
"Deshaun Watson",QB,CLE,583.4491
"Christian McCaffrey",RB,SF,613.7252
"Chris Olave",WR,NO,577.0646
"Breece Hall",RB,NYJ,598.0455
"CJ Stroud",QB,HOU,559.3423
"Tua Tagovailoa",QB,MIA,555.7152
2023.1.04,0,0,575.2800
"Saquon Barkley",RB,NYG,554.0341
"Tyreek Hill",WR,MIA,487.3771
"Tee Higgins",WR,CIN,486.7529
2023.1.05,0,0,503.3700
"Travis Kelce",TE,KC,599.2562
"DeVonta Smith",WR,PHI,458.2261
"Drake London",WR,ATL,455.3463
"DK Metcalf",WR,SEA,453.6124
"Kyle Pitts",TE,ATL,561.5639
"Jahmyr Gibbs",RB,DET,464.2167
"Stefon Diggs",WR,BUF,418.2829
"Jaxon Smith-Njigba",WR,SEA,405.5594
"Mark Andrews",TE,BAL,535.8902
"Cooper Kupp",WR,LAR,395.8933
"Travis Etienne",RB,JAC,431.9956
2023.1.06,0,0,407.4900
"Daniel Jones",QB,NYG,380.9373
"Austin Ekeler",RB,LAC,411.4634
"Josh Jacobs",RB,LV,402.2636
"Kenneth Walker",RB,SEA,400.1650
"Davante Adams",WR,LV,358.0755
2023.1.mid,0,0,371.5350
2023.1,0,0,371.5350
"Deebo Samuel",WR,SF,344.6158
"Najee Harris",RB,PIT,354.8237
"Rhamondre Stevenson",RB,NE,348.2023
2024.1,0,0,336.9542
"Christian Watson",WR,GB,305.8804
"Jordan Addison",WR,MIN,296.2270
"Nick Chubb",RB,CLE,323.3795
2023.1.07,0,0,311.6100
"Michael Pittman",WR,IND,284.2781
"Tony Pollard",RB,DAL,301.3746
"Kirk Cousins",QB,MIN,274.8068
"Treylon Burks",WR,TEN,266.5358
"Jerry Jeudy",WR,DEN,261.3590
"Jordan Love",QB,GB,263.6089
"Javonte Williams",RB,DEN,280.8934
"Chris Godwin",WR,TB,257.6791
"Geno Smith",QB,SEA,259.0915
"JK Dobbins",RB,BAL,278.9569
"DJ Moore",WR,CHI,254.9443
2023.1.08,0,0,263.6700
"Jared Goff",QB,DET,246.6009
"Quentin Johnston",WR,LAC,242.1012
"George Pickens",WR,PIT,231.0730
"TJ Hockenson",TE,MIN,324.2715
"Zay Flowers",WR,BAL,221.4072
"George Kittle",TE,SF,316.9068
"Brandon Aiyuk",WR,SF,210.2416
"D'Andre Swift",RB,PHI,226.2677
"Terry McLaurin",WR,WAS,200.4445
"Trey Lance",QB,SF,203.1879
2023.1.09,0,0,215.7300
"Derrick Henry",RB,TEN,212.7868
"Diontae Johnson",WR,PIT,193.6110
"Aaron Rodgers",QB,NYJ,196.1560
"Russell Wilson",QB,DEN,195.9194
"Kenny Pickett",QB,PIT,192.7990
"Amari Cooper",WR,CLE,188.6799
"Jahan Dotson",WR,WAS,188.0124
"Marquise Brown",WR,ARI,187.7285
"Derek Carr",QB,NO,186.1551
"Jameson Williams",WR,DET,181.1566
"Dameon Pierce",RB,HOU,196.4835
2023.1.10,0,0,183.7700
"Calvin Ridley",WR,JAC,166.6060
"Miles Sanders",RB,CAR,177.2178
2023.1.late,0,0,173.7825
"Aaron Jones",RB,GB,163.4198
2025.1,0,0,163.7313
"Christian Kirk",WR,JAC,147.6681
"Brock Purdy",QB,SF,147.1969
