id,name,position,adp,team
7888,Justin Jefferson,,,
10062,Ja'Marr Chase,,,
1476,Cooper Kupp,,,
964,Tyreek Hill,,,
1743,Christian McCaffrey,,,
968,Travis Kelce,,,
1664,Stefon Diggs,,,
7149,A.J. Brown,,,
998,Austin Ekeler,,,
1002796,Bijan Robinson,,,
7883,CeeDee Lamb,,,
1001017,Garrett Wilson,,,
5258,Nick Chubb,,,
10068,Amon-Ra St. Brown,,,
10064,Jaylen Waddle,,,
1626,Davante Adams,,,
7893,Jonathan Taylor,,,
10063,DeVonta Smith,,,
1001019,Chris Olave,,,
7187,Tony Pollard,,,
4947,Saquon Barkley,,,
7885,Tee Higgins,,,
970,Patrick Mahomes,,,
7924,Jalen Hurts,,,
4937,Josh Allen,,,
5040,Mark Andrews,,,
1000978,Breece Hall,,,
7136,DK Metcalf,,,
5052,Lamar Jackson,,,
7127,Josh Jacobs,,,
10057,Rhamondre Stevenson,,,
7138,Deebo Samuel,,,
4942,Calvin Ridley,,,
1024,Amari Cooper,,,
986,Keenan Allen,,,
7882,Jerry Jeudy,,,
1001021,Drake London,,,
1285,Derrick Henry,,,
1002801,Jahmyr Gibbs,,,
4939,DJ Moore,,,
1001079,Christian Watson,,,
7141,Terry McLaurin,,,
1016,Mike Williams,,,
7894,J.K. Dobbins,,,
1196,DeAndre Hopkins,,,
10086,Justin Fields,,,
7123,T.J. Hockenson,,,
7891,Brandon Aiyuk,,,
10046,Najee Harris,,,
10045,Travis Etienne,,,
7874,Joe Burrow,,,
1517,George Kittle,,,
1002798,Jaxon Smith-Njigba,,,
5430,Christian Kirk,,,
10091,Kyle Pitts,,,
7876,Justin Herbert,,,
1112,Joe Mixon,,,
7159,Diontae Johnson,,,
7896,Cam Akers,,,
1640,Aaron Jones,,,
1000975,Kenneth Walker,,,
1543,Tyler Lockett,,,
7909,Michael Pittman,,,
1002793,Jordan Addison,,,
1001020,Jahan Dotson,,,
7147,Alexander Mattison,,,
10070,Kadarius Toney,,,
7949,Gabriel Davis,,,
