id,name,Position,ADP,Team
7883,CeeDee Lamb,WR,,DAL
964,Tyreek Hill,WR,,MIA
10062,Ja'Marr Chase,WR,,CIN
1743,Christian McCaffrey,RB,,SF
7888,Justin Jefferson,WR,,MIN
10068,Amon-Ra St. Brown,WR,,DET
1003178,Puka Nacua,WR,,LAR
1000978,Breece Hall,RB,,NYJ
1002796,Bijan Robinson,RB,,ATL
1001017,Garrett Wilson,WR,,NYJ
7149,A.J. Brown,WR,,PHI
1004649,Marvin Harrison Jr.,WR,,ARI
1626,Davante Adams,WR,,LV
1001021,Drake London,WR,,ATL
10073,Nico Collins,WR,,HOU
1002801,Jahmyr Gibbs,RB,,DET
1001019,Chris Olave,WR,,NO
1004650,Malik Nabers,WR,,NYG
10064,Jaylen Waddle,WR,,MIA
7893,Jonathan Taylor,RB,,IND
7891,Brandon Aiyuk,WR,,SF
7138,Deebo Samuel,WR,,SF
1792,Mike Evans,WR,,TB
1476,Cooper Kupp,WR,,LAR
1003170,Tank Dell,WR,,HOU
7136,DK Metcalf,WR,,SEA
4939,DJ Moore,WR,,CHI
10063,DeVonta Smith,WR,,PHI
986,Keenan Allen,WR,,CHI
1664,Stefon Diggs,WR,,HOU
4947,Saquon Barkley,RB,,PHI
7909,Michael Pittman,WR,,IND
1002815,Sam LaPorta,TE,,DET
1002807,Devon Achane,RB,,MIA
4937,Josh Allen,QB,,BUF
1000976,Kyren Williams,RB,,LAR
5052,Lamar Jackson,QB,,BAL
1001026,George Pickens,WR,,PIT
1001068,Trey McBride,TE,,ARI
7141,Terry McLaurin,WR,,WAS
5430,Christian Kirk,WR,,JAX
7885,Tee Higgins,WR,,CIN
7924,Jalen Hurts,QB,,PHI
968,Travis Kelce,TE,,KC
5040,Mark Andrews,TE,,BAL
970,Patrick Mahomes,QB,,KC
1002797,Dalton Kincaid,TE,,BUF
10091,Kyle Pitts,TE,,ATL
1001024,Zay Flowers,WR,,BAL
1024,Amari Cooper,WR,,CLE
1112,Joe Mixon,RB,,HOU
1000995,Isiah Pacheco,RB,,KC
10045,Travis Etienne,RB,,JAX
1002859,Jayden Reed,WR,,GB
1000980,James Cook,RB,,BUF
1795,Chris Godwin,WR,,TB
1004657,Xavier Worthy,WR,,KC
7127,Josh Jacobs,RB,,GB
1285,Derrick Henry,RB,,BAL
1002792,Anthony Richardson,QB,,IND
1002790,C.J. Stroud,QB,,HOU
1517,George Kittle,TE,,SF
1344,Evan Engram,TE,,JAX
1002855,Rashee Rice,WR,,KC
1004651,Rome Odunze,WR,,CHI
1196,DeAndre Hopkins,WR,,TEN
4942,Calvin Ridley,WR,,TEN
1004658,Ladd McConkey,WR,,LAC
1001079,Christian Watson,WR,,GB
1004652,Brian Thomas Jr.,WR,,JAX
7128,Marquise Brown,WR,,KC
1327,Dak Prescott,QB,,DAL
1000989,Rachaad White,RB,,TB
10057,Rhamondre Stevenson,RB,,NE
1001064,Jake Ferguson,TE,,DAL
1640,Aaron Jones,RB,,MIN
7874,Joe Burrow,QB,,CIN
1004646,Brock Bowers,TE,,LV
7121,Kyler Murray,QB,,ARI
7877,Jordan Love,QB,,GB
1000975,Kenneth Walker III,RB,,SEA
1002798,Jaxon Smith-Njigba,WR,,SEA
1142,David Njoku,TE,,CLE
10046,Najee Harris,RB,,PIT
1001294,Jaylen Warren,RB,,PIT
7897,Zack Moss,RB,,CIN
1004635,Jonathon Brooks,RB,,CAR
1000993,Zamir White,RB,,LV
7144,David Montgomery,RB,,DET
1002852,Chase Brown,RB,,CIN
1156,James Conner,RB,,ARI
1772,Alvin Kamara,RB,,NO
1520,Raheem Mostert,RB,,MIA
7151,Devin Singletary,RB,,NYG
1000983,Brian Robinson Jr.,RB,,WAS
7892,D'Andre Swift,RB,,CHI
1001018,Jameson Williams,WR,,DET
1747,Curtis Samuel,WR,,BUF
7265,Jakobi Meyers,WR,,LV
1004630,Jayden Daniels,QB,,WAS
1002793,Jordan Addison,WR,,MIN
1000964,Brock Purdy,QB,,SF
1002851,Tyjae Spears,RB,,TEN
7159,Diontae Johnson,WR,,CAR
7187,Tony Pollard,RB,,TEN
1004629,Caleb Williams,QB,,CHI
1543,Tyler Lockett,WR,,SEA
5285,Courtland Sutton,WR,,DEN
1004637,Trey Benson,RB,,ARI
1001315,Rashid Shaheed,WR,,NO
1470,Jared Goff,QB,,DET
7875,Tua Tagovailoa,QB,,MIA
10085,Trevor Lawrence,QB,,JAX
1004653,Keon Coleman,WR,,BUF
1003193,Dontayvion Wicks,WR,,GB
10047,Javonte Williams,RB,,DEN
1001038,Romeo Doubs,WR,,GB
1001039,Khalil Shakir,WR,,BUF
