"Rank","Player","Position","Team","Drafts","ADP","PosADP","RVRank","RVPosRk","Earliest","Latest","StdDev"
1,"Patrick Mahomes","QB","KC",41,1.07,1,1,1,1,3,0.35
2,"Josh Allen","QB","BUF",41,2.17,2,2,2,1,3,0.44
3,"Jalen Hurts","QB","PHI",41,3.12,3,4,3,2,5,0.84
4,"Joe Burrow","QB","CIN",41,3.98,4,6,4,3,6,0.61
5,"Justin Herbert","QB","LAC",41,5.76,5,9,6,4,8,1.16
6,"Trevor Lawrence","QB","JAC",41,6.71,6,10,7,3,10,1.44
7,"Justin Jefferson","WR","MIN",41,7.17,1,3,1,1,12,1.95
8,"Lamar Jackson","QB","BAL",41,7.98,7,11,8,4,11,1.65
9,"Ja'Marr Chase","WR","CIN",41,8.98,2,5,2,4,14,2.01
10,"Justin Fields","QB","CHI",41,9.54,8,7,5,4,13,1.53
11,"Bijan Robinson","RB","FA",41,11.32,1,8,1,5,15,2.15
12,"Deshaun Watson","QB","CLE",41,12.66,9,24,10,9,18,1.98
13,"CeeDee Lamb","WR","DAL",41,13.41,3,13,3,11,17,1.61
14,"Anthony Richardson","QB","IND",41,15.95,10,29,11,5,34,7.2
15,"AJ Brown","WR","PHI",41,16.85,4,NA,NA,13,26,2.98
16,"Dak Prescott","QB","DAL",41,17.1,11,44,15,11,26,3.45
17,"Garrett Wilson","WR","NYJ",41,17.78,5,14,4,12,27,3.19
18,"Kyler Murray","QB","ARI",40,18.05,12,19,9,12,31,4.29
19,"Breece Hall","RB","NYJ",40,19.75,2,12,2,14,32,3.94
20,"Jaylen Waddle","WR","MIA",41,20.66,6,16,5,13,28,2.89
21,"Jonathan Taylor","RB","IND",40,22.57,3,15,3,12,31,3.75
22,"Bryce Young","QB","FA",40,23.8,13,32,12,15,34,5.24
23,"Amon-Ra St Brown","WR","DET",41,24.02,7,NA,NA,18,34,3.71
24,"Kyle Pitts","TE","ATL",40,24.57,1,26,1,13,35,5.04
25,"Chris Olave","WR","NO",40,24.95,8,23,9,19,34,3.33
26,"CJ Stroud","QB","HOU",40,25.45,14,NA,NA,16,41,5.94
27,"Christian McCaffrey","RB","SF",40,25.73,4,18,5,11,34,5.45
28,"Daniel Jones","QB","NYG",40,31.05,15,33,13,16,51,7.12
29,"Tee Higgins","WR","CIN",40,31.27,9,25,10,23,42,4.2
30,"Mark Andrews","TE","BAL",40,31.57,2,53,4,20,41,4.6
31,"Tua Tagovailoa","QB","MIA",40,32.2,16,52,16,23,41,4.47
32,"Jahmyr Gibbs","RB","DET",40,32.7,5,17,4,22,52,6.63
33,"DeVonta Smith","WR","PHI",40,32.88,10,28,12,23,40,4.43
34,"Travis Kelce","TE","KC",40,33.85,3,34,2,16,49,8.91
35,"Drake London","WR","ATL",40,34.75,11,35,14,25,46,4.71
36,"Jaxon Smith-Njigba","WR","SEA",40,35.1,12,22,8,28,47,4.31
37,"Tyreek Hill","WR","MIA",40,35.58,13,27,11,25,43,5.12
38,"DK Metcalf","WR","SEA",40,37.58,14,40,17,27,45,3.86
39,"Saquon Barkley","RB","NYG",40,37.67,6,30,6,18,49,5.85
40,"Stefon Diggs","WR","BUF",40,39.42,15,39,16,15,55,7.59
41,"Travis Etienne","RB","JAC",40,40.98,7,45,9,18,60,7.81
42,"Kenneth Walker","RB","SEA",40,41.08,8,48,10,23,57,9.19
43,"TJ Hockenson","TE","MIN",40,42.02,4,NA,NA,23,62,5.65
44,"Cooper Kupp","WR","LAR",40,42.77,16,31,13,30,54,5.37
45,"Austin Ekeler","RB","LAC",40,48.38,9,50,11,27,60,8.22
46,"Davante Adams","WR","LV",40,49.25,17,47,20,35,67,6.09
47,"Josh Jacobs","RB","LV",40,50.1,10,37,7,40,60,5.28
48,"DJ Moore","WR","CHI",40,51.23,18,62,27,43,65,5.38
49,"Christian Watson","WR","GB",40,51.85,19,42,18,42,65,5.51
50,"Najee Harris","RB","PIT",39,52.49,11,84,19,39,65,5.82
51,"Kirk Cousins","QB","MIN",40,52.6,17,88,25,34,82,10.76
52,"Jerry Jeudy","WR","DEN",40,54.35,20,38,15,44,70,6.1
53,"Michael Pittman","WR","IND",40,57.45,21,70,30,44,73,7.81
54,"Rhamondre Stevenson","RB","NE",39,57.9,12,43,8,47,72,6.26
55,"Treylon Burks","WR","TEN",40,58.23,22,51,22,43,79,8.21
56,"Jordan Addison","WR","FA",40,58.92,23,49,21,41,84,9.74
