"Name","Position","Team","ETR Rank","ADP","ADP Dif","Pos Rank ETR","Pos Rank ADP","Pos Rank Dif","id"
"Ja'Marr Chase","WR","CIN","1","1.1","0.1","WR01","WR01","0","1109979"
"CeeDee Lamb","WR","DAL","2","4.1","2.1","WR02","WR02","0","1062020"
"Saquon Barkley","RB","PHI","3","3.7","0.7","RB01","RB02","1","883302"
"Justin Jefferson","WR","MIN","4","6.4","2.4","WR03","WR03","0","1069535"
"Bijan Robinson","RB","ATL","5","2.4","-2.6","RB02","RB01","-1","1228244"
"Puka Nacua","WR","LA","6","13.4","7.4","WR04","WR07","3","1162128"
"Nico Collins","WR","HOU","7","8.6","1.6","WR05","WR04","-1","1074698"
"Jahmyr Gibbs","RB","DET","8","4.5","-3.5","RB03","RB03","0","1214154"
"Amon-Ra St. Brown","WR","DET","9","10.7","1.7","WR06","WR06","0","1127106"
"Malik Nabers","WR","NYG","10","9.7","-0.3","WR07","WR05","-2","1286059"
"Christian McCaffrey","RB","SF","11","7.1","-3.9","RB04","RB04","0","830517"
"Brian Thomas Jr.","WR","JAX","12","13.9","1.9","WR08","WR08","0","1286064"
"Ashton Jeanty","RB","LV","13","12.2","-0.8","RB05","RB06","1","1379646"
"Brock Bowers","TE","LV","14","18.1","4.1","TE01","TE01","0","1285917"
"A.J. Brown","WR","PHI","15","20.0","5.0","WR09","WR10","1","944826"
"De'Von Achane","RB","MIA","16","19.8","3.8","RB06","RB09","3","1231820"
"Drake London","WR","ATL","17","15.2","-1.8","WR10","WR09","-1","1178741"
"Derrick Henry","RB","BAL","18","11.0","-7.0","RB07","RB05","-2","732145"
"Chase Brown","RB","CIN","19","16.0","-3.0","RB08","RB07","-1","1123379"
"Ladd McConkey","WR","LAC","20","21.7","1.7","WR11","WR11","0","1218643"
"Bucky Irving","RB","TB","21","20.7","-0.3","RB09","RB10","1","1287923"
"Trey McBride","TE","ARI","22","25.3","3.3","TE02","TE02","0","1108161"
"Jonathan Taylor","RB","IND","23","19.5","-3.5","RB10","RB08","-2","1065406"
"Tee Higgins","WR","CIN","24","26.1","2.1","WR12","WR12","0","978579"
"Josh Jacobs","RB","GB","25","22.9","-2.1","RB11","RB11","0","944416"
"Tyreek Hill","WR","MIA","26","32.7","6.7","WR13","WR14","1","823156"
"Jaxon Smith-Njigba","WR","SEA","27","30.2","3.2","WR14","WR13","-1","1214087"
"Omarion Hampton","RB","LAC","28","29.0","1.0","RB12","RB13","1","1398572"
"George Kittle","TE","SF","29","34.4","5.4","TE03","TE03","0","733672"
"Lamar Jackson","QB","BAL","30","28.1","-1.9","QB01","QB02","1","877745"
"Davante Adams","WR","LA","31","40.4","9.4","WR15","WR18","3","611417"
"Garrett Wilson","WR","NYJ","32","38.5","6.5","WR16","WR17","1","1164889"
"Josh Allen","QB","BUF","33","26.0","-7.0","QB02","QB01","-1","868199"
"Mike Evans","WR","TB","34","33.0","-1.0","WR17","WR15","-2","593587"
"Tet McMillan","WR","CAR","35","42.8","7.8","WR18","WR20","2","1380576"
"Devonta Smith","WR","PHI","36","55.5","19.5","WR19","WR29","10","1060262"
"Marvin Harrison Jr.","WR","ARI","37","36.3","-0.7","WR20","WR16","-4","1287828"
"James Cook","RB","BUF","38","32.6","-5.4","RB13","RB14","1","1131012"
"Kyren Williams","RB","LA","39","28.3","-10.7","RB14","RB12","-2","1167361"
"DJ Moore","WR","CHI","40","49.2","9.2","WR21","WR24","3","877790"
"Jayden Daniels","QB","WAS","41","37.5","-3.5","QB03","QB03","0","1161228"
"Xavier Worthy","WR","KC","42","41.9","-0.1","WR22","WR19","-3","1326638"
"Jaylen Waddle","WR","MIA","43","62.1","19.1","WR23","WR32","9","1125749"
"TreVeyon Henderson","RB","NE","44","34.5","-9.5","RB15","RB15","0","1287837"
"Terry McLaurin","WR","WAS","45","49.8","4.8","WR24","WR25","1","836116"
"Jalen Hurts","QB","PHI","46","43.4","-2.6","QB04","QB04","0","913271"
"George Pickens","WR","DAL","47","49.1","2.1","WR25","WR23","-2","1172053"
"Breece Hall","RB","NYJ","48","48.5","0.5","RB16","RB18","2","1162537"
"Zay Flowers","WR","BAL","49","60.5","11.5","WR26","WR31","5","1177053"
"Courtland Sutton","WR","DEN","50","47.4","-2.6","WR27","WR22","-5","838878"
"Jameson Williams","WR","DET","51","46.2","-4.8","WR28","WR21","-7","1175184"
"Travis Hunter","WR","JAX","52","66.8","14.8","WR29","WR35","6","1399275"
"DK Metcalf","WR","PIT","53","52.3","-0.7","WR30","WR27","-3","945633"
"Kenneth Walker III","RB","SEA","54","41.4","-12.6","RB17","RB16","-1","1164402"
"Alvin Kamara","RB","NO","55","47.3","-7.7","RB18","RB17","-1","750846"
"Joe Burrow","QB","CIN","56","44.7","-11.3","QB05","QB05","0","878785"
"Calvin Ridley","WR","TEN","57","55.4","-1.6","WR31","WR28","-3","884013"
"Chuba Hubbard","RB","CAR","58","53.6","-4.4","RB19","RB19","0","1062047"
"Emeka Egbuka","WR","TB","59","52.3","-6.7","WR32","WR26","-6","1287825"
"James Conner","RB","ARI","60","57.5","-2.5","RB20","RB20","0","742390"
"Chris Olave","WR","NO","61","77.7","16.7","WR33","WR41","8","1122592"
"RJ Harvey","RB","DEN","62","58.7","-3.3","RB21","RB21","0","1172401"
"Jerry Jeudy","WR","CLE","63","74.6","11.6","WR34","WR39","5","973935"
"Rashee Rice","WR","KC","64","63.4","-0.6","WR35","WR33","-2","1173538"
"Jakobi Meyers","WR","LV","65","70.2","5.2","WR36","WR36","0","880151"
"Rome Odunze","WR","CHI","66","70.5","4.5","WR37","WR37","0","1213727"
"Tony Pollard","RB","TEN","67","68.3","1.3","RB22","RB24","2","880398"
"David Montgomery","RB","DET","68","72.3","4.3","RB23","RB25","2","946739"
"Jauan Jennings","WR","SF","69","86.5","17.5","WR38","WR42","4","867009"
"Sam LaPorta","TE","DET","70","67.5","-2.5","TE04","TE04","0","1168926"
"Aaron Jones","RB","MIN","71","76.8","5.8","RB24","RB26","2","741314"
"Deebo Samuel","WR","WAS","72","65.3","-6.7","WR39","WR34","-5","835749"
"Ricky Pearsall","WR","SF","73","57.6","-15.4","WR40","WR30","-10","1161416"
"Stefon Diggs","WR","NE","74","74.7","0.7","WR41","WR40","-1","694041"
"D'Andre Swift","RB","CHI","75","64.2","-10.8","RB25","RB22","-3","1069808"
"Patrick Mahomes","QB","KC","76","73.8","-2.2","QB06","QB06","0","839031"
"Matthew Golden","WR","GB","77","70.7","-6.3","WR42","WR38","-4","1379267"
"Isiah Pacheco","RB","KC","78","65.6","-12.4","RB26","RB23","-3","1106832"
"Jordan Addison","WR","MIN","79","86.8","7.8","WR43","WR43","0","1214250"
"Jaylen Warren","RB","PIT","80","92.2","12.2","RB27","RB30","3","1176443"
"T.J. Hockenson","TE","MIN","81","85.0","4.0","TE05","TE07","2","923915"
"Brock Purdy","QB","SF","82","101.4","19.4","QB07","QB11","4","1121761"
"Khalil Shakir","WR","BUF","83","91.7","8.7","WR44","WR45","1","1130603"
"Jayden Reed","WR","GB","84","104.4","20.4","WR45","WR49","4","1123398"
"Kaleb Johnson","RB","PIT","85","83.2","-1.8","RB28","RB28","0","1381902"
"Travis Kelce","TE","KC","86","79.2","-6.8","TE06","TE06","0","448240"
"Josh Downs","WR","IND","87","102.7","15.7","WR46","WR48","2","1215077"
"Kyler Murray","QB","ARI","88","98.0","10.0","QB08","QB10","2","879799"
"Tyrone Tracy Jr.","RB","NYG","89","82.8","-6.2","RB29","RB27","-2","1109708"
"Baker Mayfield","QB","TB","90","80.9","-9.1","QB09","QB07","-2","748070"
"Jordan Mason","RB","MIN","91","88.3","-2.7","RB30","RB29","-1","1116001"
"Justin Fields","QB","NYJ","92","109.5","17.5","QB10","QB13","3","1110681"
"Travis Etienne","RB","JAX","93","99.8","6.8","RB31","RB33","2","978577"
"Tyler Warren","TE","IND","94","77.2","-16.8","TE07","TE05","-2","1229083"
"Michael Pittman","WR","IND","95","94.8","-0.2","WR47","WR46","-1","911348"
"Dak Prescott","QB","DAL","96","90.5","-5.5","QB11","QB09","-2","591816"
"Caleb Williams","QB","CHI","97","111.0","14.0","QB12","QB14","2","1286445"
"Mark Andrews","TE","BAL","98","93.3","-4.7","TE08","TE08","0","820699"
"Cooper Kupp","WR","SEA","99","87.7","-11.3","WR48","WR44","-4","698227"
"Jared Goff","QB","DET","100","105.6","5.6","QB13","QB12","-1","727837"
"Rashid Shaheed","WR","NO","101","115.9","14.9","WR49","WR52","3","923412"
"Justin Herbert","QB","LAC","102","120.5","18.5","QB14","QB16","2","910562"
"Bo Nix","QB","DEN","103","86.4","-16.6","QB15","QB08","-7","1161899"
"Zach Charbonnet","RB","SEA","104","94.5","-9.5","RB32","RB31","-1","1164530"
"J.K. Dobbins","RB","DEN","105","103.4","-1.6","RB33","RB34","1","976513"
"Darnell Mooney","WR","ATL","106","131.9","25.9","WR50","WR57","7","912027"
"Keon Coleman","WR","BUF","107","95.2","-11.8","WR51","WR47","-4","1322431"
"Jordan Love","QB","GB","108","130.7","22.7","QB16","QB19","3","912137"
"Evan Engram","TE","DEN","109","93.7","-15.3","TE09","TE09","0","749185"
"David Njoku","TE","CLE","110","102.5","-7.5","TE10","TE10","0","832098"
"J.J. McCarthy","QB","MIN","111","124.1","13.1","QB17","QB17","0","1287599"
"Jacory Croskey-Merritt","RB","WAS","112","95.6","-16.4","RB34","RB32","-2","1191186"
"Jayden Higgins","WR","HOU","113","113.7","0.7","WR52","WR51","-1","1274492"
"C.J. Stroud","QB","HOU","114","125.9","11.9","QB18","QB18","0","1214084"
"Cam Skattebo","RB","NYG","115","120.9","5.9","RB35","RB38","3","1280316"
"Drake Maye","QB","NE","116","113.7","-2.3","QB19","QB15","-4","1286803"
"Christian Kirk","WR","HOU","117","120.6","3.6","WR53","WR56","3","865801"
"Colston Loveland","TE","CHI","118","107.8","-10.2","TE11","TE11","0","1378821"
"Rhamondre Stevenson","RB","NE","119","139.2","20.2","RB36","RB45","9","1174682"
"Trevor Lawrence","QB","JAX","120","131.8","11.8","QB20","QB20","0","1110711"
"Dallas Goedert","TE","PHI","121","141.1","20.1","TE12","TE16","4","791365"
"Luther Burden III","WR","CHI","122","132.9","10.9","WR54","WR58","4","1377732"
"Dalton Kincaid","TE","BUF","123","129.7","6.7","TE13","TE14","1","1135513"
"Marvin Mims Jr.","WR","DEN","124","118.8","-5.2","WR55","WR54","-1","1213799"
"Bhayshul Tuten","RB","JAX","125","146.2","21.2","RB37","RB47","10","1327169"
"Javonte Williams","RB","DAL","126","118.1","-7.9","RB38","RB37","-1","1107881"
"Jake Ferguson","TE","DAL","127","137.9","10.9","TE14","TE15","1","1065361"
"Michael Penix Jr.","QB","ATL","128","137.9","9.9","QB21","QB21","0","1107478"
"Tucker Kraft","TE","GB","129","115.5","-13.5","TE15","TE12","-3","1181874"
"Keenan Allen","WR","LAC","130","109.7","-20.3","WR56","WR50","-6","557210"
"Rachaad White","RB","TB","131","162.3","31.3","RB39","RB51","12","1229343"
"Jaydon Blue","RB","DAL","132","138.3","6.3","RB40","RB44","4","1378898"
"Austin Ekeler","RB","WAS","133","131.5","-1.5","RB41","RB43","2","790004"
"Braelon Allen","RB","NYJ","134","127.8","-6.2","RB42","RB41","-1","1325231"
"Rashod Bateman","WR","BAL","135","119.1","-15.9","WR57","WR55","-2","1108208"
"Chris Godwin","WR","TB","136","116.1","-19.9","WR58","WR53","-5","835127"
"Tua Tagovailoa","QB","MIA","137","145.6","8.6","QB22","QB22","0","973947"
"Dylan Sampson","RB","CLE","138","153.4","15.4","RB43","RB49","6","1399910"
"Quinshon Judkins","RB","CLE","139","124.9","-14.1","RB44","RB39","-5","1383807"
"Cam Ward","QB","TEN","140","150.2","10.2","QB23","QB24","1","1228691"
"Tank Bigsby","RB","JAX","141","127.8","-13.2","RB45","RB42","-3","1215035"
"Kyle Pitts","TE","ATL","142","125.0","-17.0","TE16","TE13","-3","1123026"
"Trey Benson","RB","ARI","143","142.5","-0.5","RB46","RB46","0","1248031"
"Tyler Allgeier","RB","ATL","144","165.8","21.8","RB47","RB53","6","1131198"
"Marquise Brown","WR","KC","145","166.7","21.7","WR59","WR68","9","976220"
"Romeo Doubs","WR","GB","146","156.5","10.5","WR60","WR64","4","1122653"
"Bryce Young","QB","CAR","147","147.2","0.2","QB24","QB23","-1","1213257"
"Tre Harris","WR","LAC","148","155.4","7.4","WR61","WR63","2","1214633"
"Tyjae Spears","RB","TEN","149","157.9","8.9","RB48","RB50","2","1169430"
"Matthew Stafford","QB","LA","150","167.2","17.2","QB25","QB27","2","323205"
"Josh Palmer","WR","BUF","151","149.6","-1.4","WR62","WR62","0","1059612"
