Rank,Player,Position,Tier
1,Patrick Mahomes,QB,5 R1
2,Josh Allen,QB,5 R1
3,Jalen Hurts,QB,4 R1
4,Lamar Jackson,QB,4 R1
5,Joe Burrow,QB,4 R1
6,Ja'Marr Chase,WR,3 R1
7,Justin Jefferson,WR,3 R1
8,Trevor Lawrence,QB,3 R1
9,Justin Herbert,QB,3 R1
10,Deshaun Watson,QB,3 R1
11,Bijan Robinson,RB,3 R1
12,Justin Fields,QB,3 R1
13,Kyler Murray,QB,3 R1
14,Kyle Pitts,TE,2 R1
15,CeeDee Lamb,WR,2 R1
16,Mark Andrews,TE,2 R1
17,Garrett Wilson,WR,2 R1
18,Jonathan Taylor,RB,2 R1
19,Breece Hall,RB,2 R1
20,Anthony Richardson,QB,2 R1
21,Dak Prescott,QB,2 R1
22,A.J. Brown,WR,2 R1
23,Chris Olave,WR,2 R1
24,Amon-Ra St. Brown,WR,2 R1
25,Drake London,WR,2 R1
26,Jahmyr Gibbs,RB,2 R1
27,Christian McCaffrey,RB,2 R1
28,Jaylen Waddle,WR,2 R1
29,DeVonta Smith,WR,1.5 R1
30,Tyreek Hill,WR,1.5 R1
31,Stefon Diggs,WR,1.5 R1
32,Tee Higgins,WR,1.5 R1
33,Bryce Young,QB,1.5 R1
34,Tua Tagovailoa,QB,1.5 R1
35,C.J. Stroud,QB,1.5 R1
36,Jaxon Smith-Njigba,WR,1.5 R1
37,Travis Kelce,TE,1.5 R1
38,Saquon Barkley,RB,1 R1
39,Cooper Kupp,WR,1 R1
40,Davante Adams,WR,1 R1
41,DK Metcalf,WR,1 R1
42,Josh Jacobs,RB,1 R1
43,Austin Ekeler,RB,1 R1
44,Tony Pollard,RB,1 R1
45,Rhamondre Stevenson,RB,1 R1
46,Christian Watson,WR,1 R1
47,Travis Etienne,RB,1 R1
48,T.J. Hockenson,TE,1 R1
49,Jordan Addison,WR,1 R1
50,Najee Harris,RB,1 R1
51,J.K. Dobbins,RB,1 R1
52,Jerry Jeudy,WR,1 R1
53,Deebo Samuel,WR,1 R1
54,Quentin Johnston,WR,1 R1
55,Kenneth Walker,RB,1 R1
56,George Kittle,TE,1 R1
57,Nick Chubb,RB,1 R1
58,Daniel Jones,QB,Late R1
59,Pat Freiermuth,TE,Late R1
60,Dallas Goedert,TE,Late R1
61,Jahan Dotson,WR,Late R1
62,Zay Flowers,WR,Late R1
63,Brandon Aiyuk,WR,Late R1
64,DJ Moore,WR,Late R1
65,Michael Pittman,WR,Late R1
66,Treylon Burks,WR,Late R1
67,Diontae Johnson,WR,Late R1
68,Terry McLaurin,WR,Late R1
69,Calvin Ridley,WR,Late R1
70,Chris Godwin,WR,Late R1
71,Marquise Brown,WR,Late R1
72,Trey Lance,QB,Late R1
73,Geno Smith,QB,Late R1
74,Russell Wilson,QB,Late R1
75,Dalton Kincaid,TE,Late R1
76,Javonte Williams,RB,Late R1
77,Jameson Williams,WR,Late R1
78,George Pickens,WR,Late R1
79,Dameon Pierce,RB,Late R1
80,Derrick Henry,RB,Late R1
81,Kenny Pickett,QB,Early 2
82,Kirk Cousins,QB,Early 2
83,Jared Goff,QB,Early 2
84,Derek Carr,QB,Early 2
85,David Njoku,TE,Early 2
86,Rashod Bateman,WR,Early 2
87,Amari Cooper,WR,Early 2
88,Darren Waller,TE,Early 2
89,Michael Mayer,TE,Early 2
90,Devon Achane,RB,Early 2
91,DeAndre Hopkins,WR,Early 2
92,Sam LaPorta,TE,Early 2
93,Christian Kirk,WR,Early 2
94,D'Andre Swift,RB,Early 2
95,Rachaad White,RB,Early 2
96,Greg Dulcich,TE,Early 2
97,Kadarius Toney,WR,Early 2
98,Mac Jones,QB,Early 2
99,Brock Purdy,QB,Early 2
100,Jordan Love,QB,Early 2
101,Aaron Rodgers,QB,Early 2
102,Matthew Stafford,QB,Early 2
103,Aaron Jones,RB,Early 2
104,Joe Mixon,RB,Early 2
105,Cam Akers,RB,Early 2
106,Mike Williams,WR,Early 2
107,Keenan Allen,WR,Early 2
108,Tyler Lockett,WR,Early 2
109,Isiah Pacheco,RB,Early 2
110,Alexander Mattison,RB,Early 2
111,Zach Charbonnet,RB,Early 2
112,Kendre Miller,RB,Early 2
113,Desmond Ridder,QB,Early 2
114,Sam Howell,QB,Early 2
115,Mike Evans,WR,Early 2
116,Chigoziem Okonkwo,TE,Early 2
117,Will Levis,QB,Early 2
118,Elijah Moore,WR,Base 2 or Lower
119,Marvin Mims,WR,Base 2 or Lower
120,Miles Sanders,RB,Base 2 or Lower
121,Dalvin Cook,RB,Base 2 or Lower
122,James Conner,RB,Base 2 or Lower
123,Dalton Schultz,TE,Base 2 or Lower
124,Evan Engram,TE,Base 2 or Lower
125,Alvin Kamara,RB,Base 2 or Lower
126,David Montgomery,RB,Base 2 or Lower
