Jak_Rank,Name
1,Ja’Marr Chase
2,Justin Jefferson
3,Cooper Kupp
4,Tyreek Hill
5,Christian McCaffrey
6,Travis Kelce
7,Stefon Diggs
8,A.J. Brown
9,Ceedee Lamb
10,Bijan Robinson
11,Austin Ekeler
12,Garrett Wilson
13,Davante Adams
14,Amon-Ra St. Brown
15,Jonathan Taylor
16,Chris Olave
17,Jaylen Waddle
18,Tony Pollard
19,Saquon Barkley
20,Nick Chubb
21,Devonta Smith
22,Jalen Hurts
23,Josh Allen
24,Patrick Mahomes
25,Tee Higgins
26,Derrick Henry
27,Rhamondre Stevenson
28,Josh Jacobs
29,Breece Hall
30,Lamar Jackson
31,Mark Andrews
32,Calvin Ridley
33,Jerry Jeudy
34,DK Metcalf
35,Deebo Samuel
36,DeAndre Hopkins
37,Travis Etienne
38,Christian Watson
39,Drake London
40,Justin Fields
41,D.J. Moore
42,Jahmyr Gibbs
43,Amari Cooper
44,Keenan Allen
45,Terry McLaurin
46,Joe Burrow
47,JK Dobbins
48,Najee Harris
49,Christian Kirk
50,Mike Williams
51,Joe Mixon
52,Aaron Jones
53,Brandon Aiyuk
54,Kyle Pitts
55,George Kittle
56,Marquise Brown
57,Michael Pittman Jr.
58,Chris Godwin
59,Ken Walker
60,Diontae Johnson
61,Tyler Lockett
62,T.J. Hockenson
63,Treylon Burks
64,Jaxon Smith-Njigba
65,Jahan Dotson
66,Jordan Addison
67,Justin Herbert
68,Trevor Lawrence
69,Dameon Pierce
70,Darren Waller
71,Cam Akers
72,George Pickens
73,Gabe Davis
74,Mike Evans
75,Alexander Mattison
76,Deshaun Watson
77,Rashod Bateman
78,Kadarius Toney
79,D’Andre Swift
80,Quentin Johnston
81,Brandin Cooks
82,Elijah Moore
83,David Montgomery
84,Rachaad White
85,Dallas Goedert
86,Isiah Pacheco
87,James Conner
88,Zay Flowers
89,Javonte Williams
90,Michael Thomas
91,Miles Sanders
92,Dak Prescott
93,Anthony Richardson
94,Tua Tagovailoa
95,Pat Friermuth
96,Daniel Jones
97,Dalvin Cook
98,Alvin Kamara
99,Antonio Gibson
100,Samaje Perine
101,Zach Charbonnet
102,AJ Dillon
103,James Cook
104,Brian Robinson
105,Skyy Moore
106,Damien Harris
107,Rashaad Penny
108,Khalil Herbert
109,David Njoku
110,Elijah Mitchell
111,Geno Smith
112,Kirk Cousins
113,Jakobi Meyers
114,Courtland Sutton
115,Jameson Williams
116,Jamaal Williams
117,Devon Achane
118,Nico Collins
119,Zay Jones
120,Tyler Boyd
121,Rondale Moore
122,Greg Dulcich
123,Dalton Schultz
124,Kendre Miller
125,Odell Beckham Jr.
126,Tank Bigsby
127,Roschon Johnson
128,Jaylen Warren
129,Aaron Rodgers
130,Russell Wilson
131,Jared Goff
132,Tyler Allgeier
133,Chigoziem Okonkwo
134,Darnell Mooney
135,Juju Smith-Schuster
136,Alec Pierce
137,Matthew Stafford
138,Jerick McKinnon
139,Dalton Kincaid
140,Michael Gallup
141,Romeo Doubs
142,Jonathan Mingo
143,Rashee Rice
144,Marquez Valdes-Scantling
145,Donovan Peoples-Jones
146,Allen Lazard
147,D.J. Chark
148,Marvin Mims
149,Jayden Reed
150,Devin Singletary
151,Jerome Ford
152,D’Onta Foreman
153,Tyler Higbee
154,Brock Purdy
155,Tyjae Spears
156,Kenneth Gainwell
157,Chuba Hubbard
158,Jeff Wilson Jr.
159,Kenny Pickett
160,Derek Carr
161,Jordan Love
162,Isaiah Hodgins
163,Sam Laporta
164,Gerald Everett
165,Curtis Samuel
166,Rashid Shaheed
167,Gus Edwards
168,Raheem Mostert
169,Cole Kmet
170,Taysom Hill
171,Tyler Conklin
172,Dawson Knox
173,Irv Smith Jr.
174,Juwan Johnson
175,Van Jefferson
176,KJ Osborn
177,Kyler Murray
178,Leonard Fournette
179,Ezekiel Elliott
180,John Metchie
181,Michael Mayer
182,C.J. Stroud
183,Bryce Young
184,Mac Jones
185,Darius Slayton
186,Jalin Hyatt
187,Tyquan Thornton
188,DeVante Parker
189,Wan’Dale Robinson
190,Adam Thielen
191,Desmond Ridder
192,Sam Howell
193,Jimmy Garoppolo
194,Jelani Woods
195,Hayden Hurst
196,Luke Musgrave
197,Trey McBride
198,Noah Fant
199,Mike Gesicki
200,Hunter Henry
201,Jake Ferguson
202,Cordarrelle Patterson
203,Clyde Edwards-Hellaire
204,Pierre Strong
205,Josh Downs
206,Hunter Renfrow
207,Chase Claypool
208,Joshua Palmer
209,Tim Patrick
210,Terrace Marshall Jr.
211,Ty Chandler
212,Trayveon Williams
213,Keaontay Ingram
214,Zamir White
215,Izzy Abanikanda
216,Malik Davis
217,Isaiah Spiller
