"Player","Team","Position","ETR Rank","ETR Pos Rank","ADP","ADP Pos Rank","ADP Differential",
"Justin Jefferson","MIN","WR","1","WR1","1.0","WR1","0.0",
"Ja'Marr Chase","CIN","WR","2","WR2","3.0","WR2","1.0",
"Christian McCaffrey","SF","RB","3","RB1","2.3","RB1","-0.8",
"Austin Ekeler","LAC","RB","4","RB2","3.8","RB2","-0.3",
"Cooper Kupp","LAR","WR","5","WR3","6.5","WR3","1.5",
"Tyreek Hill","MIA","WR","6","WR4","6.5","WR3","0.5",
"Travis Kelce","KC","TE","7","TE1","6.0","TE1","-1.0",
"Stefon Diggs","BUF","WR","8","WR5","10.8","WR5","2.8",
"Davante Adams","LV","WR","9","WR6","13.5","WR7","4.5",
"Bijan Robinson","ATL","RB","10","RB3","8.5","RB4","-1.5",
"Amon-Ra St. Brown","DET","WR","11","WR7","18.8","WR10","7.8",
"CeeDee Lamb","DAL","WR","12","WR8","13.3","WR6","1.3",
"Tony Pollard","DAL","RB","13","RB4","17.0","RB7","4.0",
"A.J. Brown","PHI","WR","14","WR9","14.3","WR8","0.3",
"Saquon Barkley","NYG","RB","15","RB5","7.8","RB3","-7.3",
"Jaylen Waddle","MIA","WR","16","WR10","24.0","WR11","8.0",
"Garrett Wilson","NYJ","WR","17","WR11","18.0","WR9","1.0",
"Nick Chubb","CLE","RB","18","RB6","13.8","RB5","-4.3",
"Derrick Henry","TEN","RB","19","RB7","15.8","RB6","-3.3",
"Mark Andrews","BAL","TE","20","TE2","28.5","TE2","8.5",
"Tee Higgins","CIN","WR","21","WR12","30.0","WR14","9.0",
"Chris Olave","NO","WR","22","WR13","27.3","WR13","5.3",
"Josh Jacobs","LV","RB","23","RB8","19.8","RB8","-3.3",
"Devonta Smith","PHI","WR","24","WR14","27.0","WR12","3.0",
"Jalen Hurts","PHI","QB","25","QB1","22.8","QB3","-2.3",
"Josh Allen","BUF","QB","26","QB2","20.5","QB2","-5.5",
"Jahmyr Gibbs","DET","RB","27","RB9","35.0","RB14","8.0",
"Keenan Allen","LAC","WR","28","WR15","44.3","WR19","16.3",
"Jonathan Taylor","IND","RB","29","RB10","20.0","RB9","-9.0",
"Deebo Samuel","SF","WR","30","WR16","38.0","WR17","8.0",
"Calvin Ridley","JAX","WR","31","WR17","36.5","WR16","5.5",
"Rhamondre Stevenson","NE","RB","32","RB11","31.3","RB12","-0.8",
"DK Metcalf","SEA","WR","33","WR18","31.5","WR15","-1.5",
"DeAndre Hopkins","TEN","WR","34","WR19","49.8","WR20","15.8",
"Patrick Mahomes","KC","QB","35","QB3","15.5","QB1","-19.5",
"Travis Etienne","JAX","RB","36","RB12","30.5","RB11","-5.5",
"Joe Mixon","CIN","RB","37","RB13","34.5","RB13","-2.5",
"Breece Hall","NYJ","RB","38","RB14","41.3","RB16","3.3",
"Amari Cooper","CLE","WR","39","WR20","43.3","WR18","4.3",
"T.J. Hockenson","MIN","TE","40","TE3","44.0","TE3","4.0",
"Mike Williams","LAC","WR","41","WR21","63.0","WR25","22.0",
"Kenneth Walker","SEA","RB","42","RB15","44.8","RB17","2.8",
"Lamar Jackson","BAL","QB","43","QB4","35.0","QB5","-8.0",
"Alexander Mattison","MIN","RB","44","RB16","65.5","RB23","21.5",
"Aaron Jones","GB","RB","45","RB17","38.3","RB15","-6.8",
"Christian Kirk","JAX","WR","46","WR22","76.0","WR31","30.0",
"Najee Harris","PIT","RB","47","RB18","28.5","RB10","-18.5",
"Joe Burrow","CIN","QB","48","QB5","34.8","QB4","-13.3",
