"","Rank","Player","POS","Team","PosRank","AVGRank","AVGTier","Siegele5.27"
"1",1,"Patrick Mahomes","QB","KC",1,1,1,1
"2",2,"Josh Allen","QB","BUF",2,2,1,2
"3",3,"Justin Jefferson","WR","MIN",1,3,1,3
"4",4,"Ja'Marr Chase","WR","CIN",2,4,1,4
"5",5,"Jalen Hurts","QB","PHI",3,5,1,5
"6",6,"Joe Burrow","QB","CIN",4,6,1,6
"7",7,"Bijan Robinson","RB","ATL",1,7,1,7
"8",8,"Justin Fields","QB","CHI",5,8,1,8
"9",9,"Justin Herbert","QB","LAC",6,9,1,9
"10",10,"Lamar Jackson","QB","BAL",7,10,1,10
"11",11,"Trevor Lawrence","QB","JAC",8,11,1,11
"12",12,"Garrett Wilson","WR","NYJ",3,12,2,12
"13",13,"CeeDee Lamb","WR","DAL",4,13,2,13
"14",14,"Breece Hall","RB","NYJ",2,14,2,14
"15",15,"Jaylen Waddle","WR","MIA",5,15,2,15
"16",16,"Jonathan Taylor","RB","IND",3,16,2,16
"17",17,"Jahmyr Gibbs","RB","DET",4,17,2,17
"18",18,"A.J. Brown","WR","PHI",6,18,2,18
"19",19,"Christian McCaffrey","RB","SF",5,19,2,19
"20",20,"Jaxon Smith-Njigba","WR","SEA",7,20,2,20
"21",21,"Tee Higgins","WR","CIN",8,21,2,21
"22",22,"Kyler Murray","QB","ARI",9,22,2,22
"23",23,"Chris Olave","WR","NO",9,23,2,23
"24",24,"Amon-Ra St. Brown","WR","DET",10,24,2,24
"25",25,"Anthony Richardson","QB","IND",10,25,2,25
"26",26,"DeVonta Smith","WR","PHI",11,26,2,26
"27",27,"Bryce Young","QB","CAR",11,27,2,27
"28",28,"Kyle Pitts","TE","ATL",1,28,2,28
"29",29,"Tyreek Hill","WR","MIA",12,29,3,29
"30",30,"Jerry Jeudy","WR","DEN",13,30,3,30
"31",31,"Travis Kelce","TE","KC",2,31,3,31
"32",32,"Cooper Kupp","WR","LAR",14,32,3,32
"33",33,"Deshaun Watson","QB","CLE",12,33,3,33
"34",34,"Saquon Barkley","RB","NYG",6,34,3,34
"35",35,"T.J. Hockenson","TE","MIN",3,35,3,35
"36",36,"Daniel Jones","QB","NYG",13,36,3,36
"37",37,"C.J. Stroud","QB","HOU",14,37,3,37
"38",38,"Rhamondre Stevenson","RB","NE",7,38,3,38
"39",39,"DK Metcalf","WR","SEA",15,39,3,39
"40",40,"Drake London","WR","ATL",16,40,3,40
"41",41,"Kenneth Walker","RB","SEA",8,41,3,41
"42",42,"Christian Watson","WR","GB",17,42,3,42
"43",43,"Travis Etienne","RB","JAC",9,43,3,43
"44",44,"George Pickens","WR","PIT",18,44,3,44
"45",45,"Stefon Diggs","WR","BUF",19,45,3,45
"46",46,"Tua Tagovailoa","QB","MIA",15,46,3,46
"47",47,"Chris Godwin","WR","TB",20,47,3,47
"48",48,"Josh Jacobs","RB","LV",10,48,3,48
"49",49,"Dak Prescott","QB","DAL",16,49,3,49
"50",50,"Austin Ekeler","RB","LAC",11,50,3,50
"51",51,"Quentin Johnston","WR","LAC",21,51,3,51
"52",52,"Deebo Samuel","WR","SF",22,52,3,52
"53",53,"Jahan Dotson","WR","WAS",23,53,3,53
"54",54,"Jordan Addison","WR","MIN",24,54,3,54
"55",55,"Mark Andrews","TE","BAL",4,55,4,55
"56",56,"Jameson Williams","WR","DET",25,56,4,56
"57",57,"Treylon Burks","WR","TEN",26,57,4,57
"58",58,"DJ Moore","WR","CHI",27,58,4,58
"59",59,"J.K. Dobbins","RB","BAL",12,59,4,59
"60",60,"Tony Pollard","RB","DAL",13,60,4,60
"61",61,"Javonte Williams","RB","DEN",14,61,4,61
"62",62,"Davante Adams","WR","LV",28,62,4,62
"63",63,"Kenny Pickett","QB","PIT",17,63,4,63
"64",64,"Pat Freiermuth","TE","PIT",5,64,4,64
"65",65,"DeAndre Hopkins","WR","FA",29,65,4,65
"66",66,"Brandon Aiyuk","WR","SF",30,66,4,66
"67",67,"Sam Howell","QB","WAS",18,67,4,67
"68",68,"D'Andre Swift","RB","PHI",15,68,5,68
"69",69,"James Cook","RB","BUF",16,69,5,69
"70",70,"Rashod Bateman","WR","BAL",31,70,5,70
"71",71,"Desmond Ridder","QB","ATL",19,71,5,71
"72",72,"Jared Goff","QB","DET",20,72,5,72
"73",73,"Jordan Love","QB","GB",21,73,5,73
"74",74,"Dallas Goedert","TE","PHI",6,74,5,74
"75",75,"Will Levis","QB","TEN",22,75,5,75
"76",76,"George Kittle","TE","SF",7,76,5,76
"77",77,"Marquise Brown","WR","ARI",32,77,5,77
"78",78,"Kirk Cousins","QB","MIN",23,78,5,78
"79",79,"Dalton Kincaid","TE","BUF",8,79,5,79
"80",80,"Michael Pittman","WR","IND",33,80,5,80
"81",81,"Terry McLaurin","WR","WAS",34,81,5,81
"82",82,"Nick Chubb","RB","CLE",17,82,5,82
"83",83,"Zay Flowers","WR","BAL",35,83,5,83
"84",84,"Derrick Henry","RB","TEN",18,84,5,84
"85",85,"Geno Smith","QB","SEA",24,85,5,85
"86",86,"Diontae Johnson","WR","PIT",36,86,5,86
"87",87,"Matthew Stafford","QB","LAR",25,87,5,87
"88",88,"Dameon Pierce","RB","HOU",19,88,5,88
"89",89,"Najee Harris","RB","PIT",20,89,5,89
"90",90,"Sam LaPorta","TE","DET",9,90,5,90
"91",91,"Michael Mayer","TE","LV",10,91,5,91
"92",92,"Mac Jones","QB","NE",26,92,5,92
"93",93,"Marvin Mims","WR","DEN",37,93,6,93
"94",94,"Derek Carr","QB","NO",27,94,6,94
"95",95,"Kendre Miller","RB","NO",21,95,6,95
"96",96,"Aaron Rodgers","QB","NYJ",28,96,6,96
"97",97,"Devon Achane","RB","",22,97,6,97
"98",98,"Brock Purdy","QB","SF",29,98,6,98
"99",99,"Kadarius Toney","WR","KC",38,99,6,99
"100",100,"Rashee Rice","WR","KC",39,100,6,100
"101",101,"Trey McBride","TE","ARI",11,101,6,101
"102",102,"Mike Evans","WR","TB",40,102,6,102
"103",103,"Aaron Jones","RB","GB",23,103,6,103
"104",104,"Keenan Allen","WR","LAC",41,104,6,104
"105",105,"Elijah Moore","WR","CLE",42,105,6,105
"106",106,"Trey Lance","QB","SF",30,106,6,106
"107",107,"Evan Engram","TE","JAC",12,107,6,107
"108",108,"Calvin Ridley","WR","JAC",43,108,6,108
"109",109,"Russell Wilson","QB","DEN",31,109,6,109
"110",110,"Christian Kirk","WR","JAC",44,110,6,110
"111",111,"AJ Dillon","RB","GB",24,111,6,111
"112",112,"Cole Kmet","TE","CHI",13,112,6,112
"113",113,"Wan'Dale Robinson","WR","NYG",45,113,7,113
"114",114,"Greg Dulcich","TE","DEN",14,114,7,114
"115",115,"David Montgomery","RB","DET",25,115,7,115
"116",116,"Amari Cooper","WR","CLE",46,116,7,116
"117",117,"Brian Robinson","RB","WAS",26,117,7,117
"118",118,"Miles Sanders","RB","CAR",27,118,7,118
"119",119,"Cam Akers","RB","LAR",28,119,7,119
"120",120,"Isiah Pacheco","RB","KC",29,120,7,120
"121",121,"Zach Charbonnet","RB","SEA",30,122,7,122
"122",122,"Jonathan Mingo","WR","CAR",47,121,7,121
"123",123,"Jalin Hyatt","WR","NYG",48,123,7,123
"124",124,"Rachaad White","RB","TB",31,124,7,124
"125",125,"Rondale Moore","WR","ARI",49,125,7,125
"126",126,"Tyjae Spears","RB","TEN",32,126,7,126
"127",127,"Roschon Johnson","RB","CHI",33,127,7,127
"128",128,"Dalvin Cook","RB","FA",34,128,7,128
"129",129,"Rashaad Penny","RB","PHI",35,129,7,129
"130",130,"Tyler Lockett","WR","SEA",50,131,7,131
"131",131,"Jayden Reed","WR","GB",51,130,7,130
"132",132,"Tank Bigsby","RB","JAC",36,132,7,132
"133",133,"Jimmy Garoppolo","QB","LV",32,133,7,133
"134",134,"Khalil Herbert","RB","CHI",37,134,7,134
"135",135,"Skyy Moore","WR","KC",52,135,7,135
"136",136,"Israel Abanikanda","RB","NYJ",38,136,7,136
"137",137,"Jakobi Meyers","WR","LV",53,137,7,137
"138",138,"David Njoku","TE","CLE",15,138,7,138
"139",139,"Baker Mayfield","QB","TB",33,139,7,139
"140",140,"Chase Brown","RB","CIN",39,140,7,140
"141",141,"Alvin Kamara","RB","NO",40,141,7,141
"142",142,"Joe Mixon","RB","CIN",41,142,7,142
"143",143,"Zach Evans","RB","LAR",42,143,7,143
"144",144,"Tyler Allgeier","RB","ATL",43,144,7,144
"145",145,"Tyquan Thornton","WR","NE",54,145,7,145
"146",146,"Romeo Doubs","WR","GB",55,146,7,146
"147",147,"Gabe Davis","WR","BUF",56,147,7,147
"148",148,"Chigoziem Okonkwo","TE","TEN",16,148,8,148
"149",149,"Elijah Mitchell","RB","SF",44,149,8,149
"150",150,"Antonio Gibson","RB","WAS",45,150,8,150
"151",151,"Samaje Perine","RB","DEN",46,151,8,151
"152",152,"Darren Waller","TE","NYG",17,152,8,152
"153",153,"Chuba Hubbard","RB","CAR",47,153,8,153
"154",154,"James Conner","RB","ARI",48,154,8,154
"155",155,"Cedric Tillman","WR","CLE",57,155,8,155
"156",156,"Dalton Schultz","TE","HOU",18,156,8,156
"157",157,"Ryan Tannehill","QB","TEN",34,157,8,157
"158",158,"Alexander Mattison","RB","MIN",49,158,8,158
"159",159,"Courtland Sutton","WR","DEN",58,159,8,159
"160",160,"Mike Williams","WR","LAC",59,160,8,160
"161",161,"Mike Gesicki","TE","NE",19,161,8,161
"162",162,"Damien Harris","RB","BUF",50,162,8,162
"163",163,"Josh Downs","WR","IND",60,163,8,163
"164",164,"Noah Fant","TE","SEA",20,164,8,164
"165",165,"Darnell Washington","TE","PIT",21,165,8,165
"166",166,"Brandin Cooks","WR","DAL",61,166,8,166
"167",167,"Devin Singletary","RB","HOU",51,167,8,167
"168",168,"Michael Thomas","WR","NO",62,168,8,168
"169",169,"Jamaal Williams","RB","NO",52,169,8,169
"170",170,"DeWayne McBride","RB","MIN",53,170,8,170
"171",171,"Sean Tucker","RB","TB",54,171,8,171
"172",172,"Hendon Hooker","QB","",35,172,8,172
"173",173,"Zay Jones","WR","JAC",63,173,8,173
"174",174,"Curtis Samuel","WR","WAS",64,174,8,174
"175",175,"Darnell Mooney","WR","CHI",65,175,8,175
"176",176,"Luke Musgrave","TE","GB",22,176,8,176
"177",177,"Raheem Mostert","RB","MIA",55,177,8,177
"178",178,"Pierre Strong","RB","NE",56,178,8,178
"179",179,"Michael Gallup","WR","DAL",66,179,8,179
"180",180,"Jerome Ford","RB","CLE",57,180,9,180
"181",181,"Nico Collins","WR","HOU",67,181,9,181
"182",182,"Allen Lazard","WR","NYJ",68,182,9,182
"183",183,"Nathaniel Dell","WR","",69,183,9,183
"184",184,"Odell Beckham","WR","BAL",70,184,9,184
"185",185,"Tyler Boyd","WR","CIN",71,186,9,186
"186",186,"Tyler Scott","WR","CHI",72,185,9,185
"187",187,"John Metchie","WR","HOU",73,187,9,187
"188",188,"Jelani Woods","TE","IND",23,188,9,188
"189",189,"Irv Smith","TE","CIN",24,189,9,189
"190",190,"Kareem Hunt","RB","FA",58,190,9,190
"191",191,"Isaiah Hodgins","WR","NYG",74,191,9,191
"192",192,"D'Onta Foreman","RB","CHI",59,192,9,192
"193",193,"Rashid Shaheed","WR","NO",75,193,9,193
"194",194,"Jeff Wilson","RB","MIA",60,194,9,194
"195",195,"Gerald Everett","TE","LAC",25,195,9,195
"196",196,"DJ Chark","WR","CAR",76,196,9,196
"197",197,"Dawson Knox","TE","BUF",26,197,9,197
"198",198,"JuJu Smith-Schuster","WR","NE",77,198,9,198
"199",199,"Trey Palmer","WR","TB",78,199,9,199
"200",200,"Isaiah Likely","TE","BAL",27,200,9,200
"201",201,"Tyler Higbee","TE","LAR",28,201,9,201
"202",202,"Alec Pierce","WR","IND",79,202,9,202
"203",203,"Justyn Ross","WR","KC",80,203,9,203
"204",204,"Jerick McKinnon","RB","KC",61,204,9,204
"205",205,"Albert Okwuegbunam","TE","DEN",29,205,9,205
"206",206,"Clyde Edwards-Helaire","RB","KC",62,206,9,206
"207",207,"K.J. Osborn","WR","MIN",81,207,9,207
"208",208,"Deuce Vaughn","RB","DAL",63,208,10,208
"209",209,"Chase Claypool","WR","CHI",82,209,10,209
"210",210,"Juwan Johnson","TE","NO",30,210,10,210
"211",211,"Evan Hull","RB","IND",64,211,10,211
"212",212,"Tucker Kraft","TE","GB",31,212,10,212
"213",213,"Daniel Bellinger","TE","NYG",32,213,10,213
"214",214,"Richie James","WR","KC",83,214,10,214
"215",215,"Khalil Shakir","WR","BUF",84,215,10,215
"216",216,"Donovan Peoples-Jones","WR","CLE",85,216,10,216
"217",217,"Joshua Palmer","WR","LAC",86,217,10,217
"218",218,"Zack Kuntz","TE","NYJ",33,218,10,218
"219",219,"Kayshon Boutte","WR","NE",87,219,10,219
"220",220,"Jaylen Warren","RB","PIT",65,220,10,220
"221",221,"Parris Campbell","WR","NYG",88,221,10,221
"222",222,"KJ Hamler","WR","DEN",89,222,10,222
"223",223,"Leonard Fournette","RB","FA",66,223,10,223
"224",224,"Ezekiel Elliott","RB","FA",67,225,10,225
"225",225,"Andrei Iosivas","WR","CIN",90,224,10,224
"226",226,"Gardner Minshew","QB","IND",36,226,10,226
"227",227,"Keaton Mitchell","RB","BAL",68,227,10,227
"228",228,"Eric Gray","RB","NYG",69,228,10,228
"229",229,"Zamir White","RB","LV",70,229,10,229
"230",230,"Mecole Hardman","WR","NYJ",91,230,10,230
"231",231,"Kenny McIntosh","RB","SEA",71,231,10,231
"232",232,"Michael Carter","RB","NYJ",72,232,10,232
