"","Rank","Player","POS","Team","PosRank","AVGRank","AVGTier","Siegele8.8"
"1",1,"CeeDee Lamb","WR","DAL",1,1,1,1
"2",2,"Tyreek Hill","WR","MIA",2,2,1,2
"3",3,"Christian McCaffrey","RB","SF",1,3,1,3
"4",4,"Breece Hall","RB","NYJ",2,4,1,4
"5",5,"Bijan Robinson","RB","ATL",3,5,1,5
"6",6,"Ja'Marr Chase","WR","CIN",3,6,1,6
"7",7,"Justin Jefferson","WR","MIN",4,7,1,7
"8",8,"Amon-Ra St. Brown","WR","DET",5,8,1,8
"9",9,"Garrett Wilson","WR","NYJ",6,9,1,9
"10",10,"Jahmyr Gibbs","RB","DET",4,10,2,10
"11",11,"Chris Olave","WR","NO",7,11,2,11
"12",12,"Drake London","WR","ATL",8,12,2,12
"13",13,"A.J. Brown","WR","PHI",9,13,2,13
"14",14,"Deebo Samuel","WR","SF",10,14,2,14
"15",15,"Cooper Kupp","WR","LAR",11,15,2,15
"16",16,"Marvin Harrison","WR","ARI",12,16,2,16
"17",17,"Malik Nabers","WR","NYG",13,17,2,17
"18",18,"Jaylen Waddle","WR","MIA",14,19,2,19
"19",19,"Puka Nacua","WR","LAR",15,18,2,18
"20",20,"Jonathan Taylor","RB","IND",5,20,2,20
"21",21,"Nico Collins","WR","HOU",16,21,2,21
"22",22,"Devon Achane","RB","MIA",6,22,2,22
"23",23,"Stefon Diggs","WR","HOU",17,23,2,23
"24",24,"Sam LaPorta","TE","DET",1,24,2,24
"25",25,"DeVonta Smith","WR","PHI",18,25,3,25
"26",26,"Kyren Williams","RB","LAR",7,26,3,26
"27",27,"Brandon Aiyuk","WR","SF",19,27,3,27
"28",28,"Davante Adams","WR","LV",20,28,3,28
"29",29,"Mike Evans","WR","TB",21,29,3,29
"30",30,"Tee Higgins","WR","CIN",22,30,3,30
"31",31,"Zay Flowers","WR","BAL",23,31,3,31
"32",32,"Trey McBride","TE","ARI",2,32,3,32
"33",33,"Derrick Henry","RB","BAL",8,33,3,33
"34",34,"DJ Moore","WR","CHI",24,34,3,34
"35",35,"Tank Dell","WR","HOU",25,35,3,35
"36",36,"Dalton Kincaid","TE","BUF",3,36,3,36
"37",37,"Keenan Allen","WR","CHI",26,37,3,37
"38",38,"DK Metcalf","WR","SEA",27,38,3,38
"39",39,"Travis Etienne","RB","JAC",9,39,3,39
"40",40,"Amari Cooper","WR","CLE",28,40,3,40
"41",41,"Josh Allen","QB","BUF",1,41,3,41
"42",42,"Saquon Barkley","RB","PHI",10,43,3,43
"43",43,"Xavier Worthy","WR","KC",29,42,3,42
"44",44,"Travis Kelce","TE","KC",4,44,3,44
"45",45,"Isiah Pacheco","RB","KC",11,45,3,45
"46",46,"James Cook","RB","BUF",12,46,3,46
"47",47,"Kyle Pitts","TE","ATL",5,47,3,47
"48",48,"Kenneth Walker","RB","SEA",13,48,3,48
"49",49,"Michael Pittman","WR","IND",30,49,3,49
"50",50,"Rashee Rice","WR","KC",31,50,3,50
"51",51,"Mark Andrews","TE","BAL",6,51,3,51
