"","Rank","Player","POS","Team","PosRank","AVGRank","AVGTier","Siegele5.27","Patrick5.1"
"1",1,"Patrick Mahomes","QB","KC",1,1.5,1,1,2
"2",2,"Josh Allen","QB","BUF",2,1.5,1,2,1
"3",3,"Justin Jefferson","WR","MIN",1,3.5,1,3,4
"4",4,"Jalen Hurts","QB","PHI",3,4,1,5,3
"5",5,"Ja'Marr Chase","WR","CIN",2,4.5,1,4,5
"6",6,"Joe Burrow","QB","CIN",4,6,1,6,6
"7",7,"Justin Fields","QB","CHI",5,7.5,1,8,7
"8",8,"Bijan Robinson","RB","ATL",1,9,1,7,11
"9",9,"Justin Herbert","QB","LAC",6,9,1,9,9
"10",10,"Trevor Lawrence","QB","JAC",7,9.5,1,11,8
"11",11,"Lamar Jackson","QB","BAL",8,10,1,10,10
"12",12,"Breece Hall","RB","NYJ",2,13,2,14,12
"13",13,"CeeDee Lamb","WR","DAL",3,13.5,2,13,14
"14",14,"Garrett Wilson","WR","NYJ",4,13.5,2,12,15
"15",15,"Jonathan Taylor","RB","IND",3,14.5,2,16,13
"16",16,"Jaylen Waddle","WR","MIA",5,17.5,2,15,20
"17",17,"Jahmyr Gibbs","RB","DET",4,18,2,17,19
"18",18,"Christian McCaffrey","RB","SF",5,18.5,2,19,18
"19",19,"Kyler Murray","QB","ARI",9,19,2,22,16
"20",20,"A.J. Brown","WR","PHI",6,19.5,2,18,21
"21",21,"Amon-Ra St. Brown","WR","DET",7,23,2,24,22
"22",22,"Jaxon Smith-Njigba","WR","SEA",8,23,2,20,26
"23",23,"Chris Olave","WR","NO",9,23.5,2,23,24
"24",24,"Deshaun Watson","QB","CLE",10,25,2,33,17
"25",25,"Tee Higgins","WR","CIN",10,25.5,2,21,30
"26",26,"Kyle Pitts","TE","ATL",1,25.5,2,28,23
"27",27,"Tyreek Hill","WR","MIA",11,27,3,29,25
"28",28,"DeVonta Smith","WR","PHI",12,27.5,2,26,29
"29",29,"Anthony Richardson","QB","IND",11,30,2,25,35
"30",30,"Saquon Barkley","RB","NYG",6,30.5,3,34,27
"31",31,"Cooper Kupp","WR","LAR",13,31.5,3,32,31
"32",32,"Bryce Young","QB","CAR",12,33,3,27,39
"33",33,"Daniel Jones","QB","NYG",13,36,3,36,36
"34",34,"Travis Kelce","TE","KC",2,36.5,3,31,42
"35",35,"Drake London","WR","ATL",14,37,3,40,34
"36",36,"C.J. Stroud","QB","HOU",14,37.5,3,37,38
"37",37,"Josh Jacobs","RB","LV",7,38,3,48,28
"38",38,"Jerry Jeudy","WR","DEN",15,38,3,30,46
"39",39,"Stefon Diggs","WR","BUF",16,38.5,3,45,32
"40",40,"DK Metcalf","WR","SEA",17,39.5,3,39,40
