Id,Name,Position,Team,ADP,rank
1062020,CeeDee Lamb,WR,DAL,3.3,1.6923076923076923
830517,Christian McCaffrey,RB,SF,1.2,2.0384615384615383
823156,Tyreek Hill,WR,MIA,2.5,2.8461538461538463
1109979,Ja'Marr Chase,WR,CIN,6.2,4.038461538461538
1069535,Justin Jefferson,WR,MIN,6.8,5.3076923076923075
1127106,Amon-Ra St. Brown,WR,DET,4.4,5.730769230769231
1228244,Bijan Robinson,RB,ATL,6.3,7.269230769230769
1162537,Breece Hall,RB,NYJ,6.5,8.038461538461538
944826,A.J. Brown,WR,PHI,9.2,9.807692307692308
1164889,Garrett Wilson,WR,NYJ,10.2,9.961538461538462
1162128,Puka Nacua,WR,LAR,12.4,10.192307692307692
1287828,Marvin Harrison Jr.,WR,ARI,13.1,12.384615384615385
1178741,Drake London,WR,ATL,17.2,14.076923076923077
1214154,Jahmyr Gibbs,RB,DET,15.7,14.923076923076923
1125749,Jaylen Waddle,WR,MIA,26.6,14.976346153846153
1074698,Nico Collins,WR,HOU,20.5,16.0
835749,Deebo Samuel,WR,SF,19.8,16.673076923076923
1122592,Chris Olave,WR,NO,24.0,17.26923076923077
1065406,Jonathan Taylor,RB,IND,14.2,19.26923076923077
611417,Davante Adams,WR,LV,23.9,20.0
698227,Cooper Kupp,WR,LAR,17.3,20.115384615384617
1286059,Malik Nabers,WR,NYG,27.1,20.807692307692307
1231820,Devon Achane,RB,MIA,18.5,21.884615384615383
1107034,Brandon Aiyuk,WR,SF,33.3,23.884615384615383
1060262,DeVonta Smith,WR,PHI,29.8,24.923076923076923
1167361,Kyren Williams,RB,LAR,20.8,26.16923076923077
883302,Saquon Barkley,RB,PHI,13.7,27.076923076923077
593587,Mike Evans,WR,TB,26.9,27.115384615384617
877790,DJ Moore,WR,CHI,31.7,28.307692307692307
945633,DK Metcalf,WR,SEA,34.7,29.96153846153846
694041,Stefon Diggs,WR,HOU,40.3,31.307692307692307
1173538,Rashee Rice,WR,KC,38.5,32.34969230769231
1168926,Sam LaPorta,TE,DET,38.9,34.84615384615385
1128222,Tank Dell,WR,HOU,42.9,35.23076923076923
868199,Josh Allen,QB,BUF,36.1,35.65384615384615
839031,Patrick Mahomes,QB,KC,39.1,36.0
448240,Travis Kelce,TE,KC,30.6,36.53846153846154
1177053,Zay Flowers,WR,BAL,44.4,36.57692307692308
911348,Michael Pittman,WR,IND,36.8,39.03846153846154
1326638,Xavier Worthy,WR,KC,56.3,40.0
913271,Jalen Hurts,QB,PHI,40.6,40.26923076923077
1106832,Isiah Pacheco,RB,KC,27.4,40.34615384615385
944416,Josh Jacobs,RB,GB,41.6,40.51557692307692
978579,Tee Higgins,WR,CIN,47.7,40.76923076923077
1108161,Trey McBride,TE,ARI,46.6,41.07692307692308
732145,Derrick Henry,RB,BAL,22.5,42.15384615384615
978577,Travis Etienne,RB,JAX,31.0,42.88461538461539
865801,Christian Kirk,WR,JAX,61.5,43.719230769230776
820699,Mark Andrews,TE,BAL,55.8,44.27307692307693
1131012,James Cook,RB,BUF,46.4,45.67115384615385
877745,Lamar Jackson,QB,BAL,45.7,46.0
1135513,Dalton Kincaid,TE,BUF,51.5,47.5
650914,Amari Cooper,WR,CLE,51.1,47.73076923076923
836116,Terry McLaurin,WR,WAS,51.4,48.19230769230769
1123026,Kyle Pitts,TE,ATL,64.8,49.776923076923076
1215022,Anthony Richardson,QB,IND,63.2,51.09807692307692
1172053,George Pickens,WR,PIT,54.8,51.30769230769231
557210,Keenan Allen,WR,CHI,64.4,57.32692307692308
1123398,Jayden Reed,WR,GB,69.2,59.38461538461539
820727,Joe Mixon,RB,HOU,55.1,59.84615384615385
891115,Diontae Johnson,WR,CAR,76.3,60.15807692307693
733672,George Kittle,TE,SF,66.9,61.0
1229343,Rachaad White,RB,TB,50.6,62.73076923076923
1213727,Rome Odunze,WR,CHI,71.1,63.19230769230769
835127,Chris Godwin,WR,TB,65.9,64.6923076923077
1164402,Kenneth Walker III,RB,SEA,56.0,65.3076923076923
884013,Calvin Ridley,WR,TEN,60.6,65.65384615384616
1214084,C.J. Stroud,QB,HOU,57.8,66.8076923076923
742390,James Conner,RB,ARI,67.4,67.46538461538462
1214087,Jaxon Smith-Njigba,WR,SEA,84.9,69.33461538461538
879799,Kyler Murray,QB,ARI,70.1,69.8573076923077
749185,Evan Engram,TE,JAX,73.7,70.57692307692308
1286064,Brian Thomas Jr.,WR,JAX,82.1,71.61538461538461
1285917,Brock Bowers,TE,LV,99.8,72.0276923076923
1175184,Jameson Williams,WR,DET,83.2,72.2826923076923
750846,Alvin Kamara,RB,NO,58.6,74.88461538461539
946739,David Montgomery,RB,DET,65.3,75.8076923076923
1218643,Ladd McConkey,WR,LAC,92.4,77.5
741314,Aaron Jones,RB,MIN,71.7,77.65384615384616
1123379,Chase Brown,RB,CIN,99.9,78.81923076923077
1174682,Rhamondre Stevenson,RB,NE,83.5,79.3076923076923
1161228,Jayden Daniels,QB,WAS,91.0,79.31153846153846
976220,Marquise Brown,WR,KC,91.5,80.07692307692308
1067918,Christian Watson,WR,GB,79.5,80.3846153846154
1107881,Javonte Williams,RB,DEN,95.7,80.88403846153847
1065361,Jake Ferguson,TE,DAL,82.4,81.1923076923077
1322431,Keon Coleman,WR,BUF,75.5,82.03846153846153
1176443,Jaylen Warren,RB,PIT,100.9,82.62692307692308
878785,Joe Burrow,QB,CIN,82.0,83.46153846153847
832098,David Njoku,TE,CLE,95.0,83.52692307692308
973964,Najee Harris,RB,PIT,84.6,83.92307692307692
1069808,D'Andre Swift,RB,CHI,76.6,84.1923076923077
591816,Dak Prescott,QB,DAL,87.1,84.96153846153847
1169430,Tyjae Spears,RB,TEN,112.7,86.35846153846154
821389,Curtis Samuel,WR,BUF,105.6,88.36730769230769
560241,DeAndre Hopkins,WR,TEN,100.8,88.5
912137,Jordan Love,QB,GB,88.0,90.34615384615384
1110697,Zamir White,RB,LV,79.4,90.38461538461539
606501,Raheem Mostert,RB,MIA,79.6,93.03846153846153
1214250,Jordan Addison,WR,MIN,109.2,94.38461538461539
933480,Rico Dowdle,RB,DAL,118.6,95.2996153846154
973966,Brian Robinson,RB,WAS,106.6,95.74615384615385
880398,Tony Pollard,RB,TEN,90.9,98.07692307692308
1286445,Caleb Williams,QB,CHI,93.7,98.11538461538461
1122653,Romeo Doubs,WR,GB,95.2,98.37692307692308
1059612,Joshua Palmer,WR,LAC,109.1,99.68884615384616
913170,Zack Moss,RB,CIN,105.4,99.84615384615384
838878,Courtland Sutton,WR,DEN,96.4,101.15384615384616
1326601,Jonathon Brooks,RB,CAR,114.4,102.65384615384616
916466,Devin Singletary,RB,NYG,106.4,104.88461538461539
1130603,Khalil Shakir,WR,BUF,101.7,105.61538461538461
1121761,Brock Purdy,QB,SF,104.9,106.42307692307692
1172428,Dontayvion Wicks,WR,GB,121.9,107.68846153846155
1110711,Trevor Lawrence,QB,JAX,117.1,111.92307692307692
605242,Tyler Lockett,WR,SEA,130.2,112.92307692307692
923412,Rashid Shaheed,WR,NO,126.8,113.23076923076923
503184,Taysom Hill,TE,NO,133.0,115.0
880151,Jakobi Meyers,WR,LV,117.4,116.15384615384616
791365,Dallas Goedert,TE,PHI,114.3,117.11538461538461
727837,Jared Goff,QB,DET,108.0,119.07692307692308
973947,Tua Tagovailoa,QB,MIA,109.9,119.38461538461539
1213881,Ja'Lynn Polk,WR,NE,147.6,119.76923076923076
1131198,Tyler Allgeier,RB,ATL,148.1,120.02884615384616
1164530,Zach Charbonnet,RB,SEA,146.3,121.8923076923077
1229540,Blake Corum,RB,LAR,126.0,121.96153846153847
1213726,Jalen McMillan,WR,TB,195.4,123.54602884615385
