BOLD = KEY TARGETS,
Player,Positional Rank
J. Jefferson,WR1
J. Chase,WR2
T. Hill,WR3
C. Kupp,WR4
T. Kelce,TE1
C. McCaffrey,RB1
A. Ekeler,RB2
S. Diggs,WR5
B. Robinson,RB3
D. Adams,WR6
G. Wilson,WR7
T. Pollard,RB4
A.J. Brown,WR8
C. Lamb,WR9
A. St. Brown,WR10
J. Waddle,WR11
S. Barkley,RB5
C. Olave,WR12
N. Chubb,RB6
J. Taylor,RB7
M. Andrews,TE2
D. Smith,WR13
T. Higgins,WR14
J. Jacobs,RB8
D. Henry,RB9
J. Allen,QB1
J. Hurts,QB2
J. Gibbs,RB10
P. Mahomes,QB3
L. Jackson,QB4
R. Stevenson,RB11
C. Ridley,WR15
DK Metcalf,WR16
T. Etienne,RB12
B. Hall,RB13
D. Waller,TE3
J. Burrow,QB5
K. Allen,WR17
D. Samuel,WR18
J. Jeudy,WR19
D. London,WR20
K. Pitts,TE4
T.J. Hockenson,TE5
C. Watson,WR21
JK Dobbins,RB14
A. Cooper,WR22
D. Johnson,WR23
B. Aiyuk,WR24
G. Kittle,TE6
J. Herbert,QB6
D.J. Moore,WR25
M. Williams,WR26
T. Lockett,WR27
D. Hopkins,WR28
C. Godwin,WR29
J. Smith-Njigba,WR30
T. McLaurin,WR31
C. Kirk,WR32
K. Walker ,RB15
D. Goedert,TE7
J. Addison,WR33
M. Brown,WR34
J. Mixon,RB16
D. Pierce,RB17
N. Harris,RB18
A. Jones,RB19
T. Lawrence,QB7
J. Fields,QB8
J. Dotson,WR35
Q. Johnston,WR36
M. Pittman Jr. ,WR37
M. Evans,WR38
D. Swift,RB20
Jav. Williams,RB21
D. Montgomery,RB22
R. White,RB23
C. Akers,RB24
E. Moore,WR39
P. Freiermuth,TE8
A. Mattison,RB25
J. Cook,RB26
R. Bateman,WR40
G. Pickens,WR41
T. Burks,WR42
M. Sanders,RB27
Z. Flowers,WR43
D. Watson,QB9
J. Conner,RB28
B. Cooks,WR44
G. Davis,WR45
S. Moore,WR46
A. Kamara,RB29
K. Herbert,RB30
I. Pacheco,RB31
D. Kincaid,TE9
E. Engram,TE10
D. Njoku,TE11
A.J. Dillon,RB32
Z. Charbonnet,RB33
D. Cook,RB34
K. Toney,WR47
M. Thomas,WR48
T. Tagovailoa,QB10
A. Gibson,RB35
B. Robinson,RB36
N. Collins,WR49
C. Sutton,WR50
J. Warren,RB37
T. Bigsby,RB38
S. Perine,RB39
D. Achane,RB40
Jame. Williams,WR51
E. Mitchell,RB41
Jama. Williams,RB42
M. Mims,WR52
R. Rice,WR53
J. Mingo,WR54
Z. Jones,WR55
D. Schultz,TE12
S. Laporta,TE13
D. Prescott,QB11
R. Penny,RB43
J. Wilson Jr.,RB44
R. Mostert,RB45
K. Gainwell,RB46
T. Allgeier,RB47
K. Miller,RB48
R. Johnson,RB49
D. Harris,RB50
G. Dulcich,TE14
L. Musgrave,TE15
C. Okonkwo,TE16
D. Jones,QB12
J. Meyers,WR56
R. Doubs,WR57
T. Higbee,TE17
G. Everett,TE18
O. Beckham Jr.,WR58
T. Spears,RB51
J. Reed,WR59
R. Moore,WR60
Z. White,RB52
J. McKinnon,RB53
A. Richardson,QB13
C. Hubbard,RB54
D. Foreman,RB55
J. Ford,RB56
E. Elliott,RB57
T. Boyd,WR61
G. Smith,QB14
K. Cousins,RB15
D. Singletary,RB58
M. Mayer,TE19
C. Kmet,TE20
H. Hurst,TE21
J. Ferguson,TE22
D. Knox,TE23
J. Johnson,TE24
L. Fournette,RB59
K. Hunt,RB60
T. Chandler,RB61
J. Smith-Schuster,WR62
A. Rodgers,QB16
C. Samuel,WR63
A. Pierce,WR64
D. Mooney,WR65
J. Hyatt,WR66
H. Henry,TE25
T. Conklin,TE26
T. McBride,TE27
I. Smith Jr.,TE28
J. Woods,TE29
C. Edwards-Hellaire,RB62
C. Evans,RB63
R. Dowdle,RB64
T. Williams,RB65
K. Ingram,RB66
J. Kelley,RB67
I. Spiller,RB68
S. Tucker,RB69
K. Williams,RB70
E. Hull,RB71
K. Murray,QB17
R. James,WR67
J. Ross,WR68
M. Gallup,WR69
D. Peoples-Jones,WR70
D. Slayton,WR71
I. Hodgins,WR72
R. Shaheed,WR73
M. Davis,RB72
G. Edwards,RB73
J. Hill,RB74
J. Metchie,WR74
D. Peoples-Jones,WR75
C. Tillman,WR76
C. Turner,TE30
K. Vaughn,RB75
S. Ahmed,RB76
C. Brown,RB77
