id,name,Position,ADP,Team
1fff1622-51d8-44ff-b068-469e09df78b6,Ja'Marr Chase,WR,,CIN
1655df19-fe77-4788-b9e8-ff83faa88c57,CeeDee Lamb,WR,,DAL
4f82332b-2c6b-493a-9f8c-6ea0df4b3df0,Saquon Barkley,RB,,PHI
d21d439b-f803-43fa-a0d5-0ea7a60385bf,Justin Jefferson,WR,,MIN
5299e402-d7a7-4965-86fd-c688e09c56f3,Puka Nacua,WR,,LAR
a5e73895-cf2d-46a3-b92d-5b397c39a892,Jahmyr Gibbs,RB,,DET
99e9c673-916c-4f57-b982-58283e47392b,Malik Nabers,WR,,NYG
b5077b18-326d-4782-b14e-e571ec7c2549,Bijan Robinson,RB,,ATL
6a188c25-98c9-41b1-840b-ffa92af82c89,Nico Collins,WR,,HOU
6278837e-c38a-41c8-be0b-dbc7a2e1eeac,Amon-Ra St. Brown,WR,,DET
2676ef05-4c46-4634-805a-de106b0ccb6b,Ashton Jeanty,RB,,LV
b018170e-dfde-4a33-a954-0172eda27846,Brian Thomas Jr.,WR,,JAX
ac2b9bc1-bc52-4a03-91df-e3ba732ec16c,Brock Bowers,TE,,LV
c59b9274-1bd6-44f7-bc5e-c0fd514d8e1f,Christian McCaffrey,RB,,SF
4c904870-2af2-48c4-a15b-f30ad09773e7,A.J. Brown,WR,,PHI
70e6771c-8d4d-4398-bd8c-45c000c92a24,Drake London,WR,,ATL
e971bb28-0298-4308-8217-bb6fe58d41c4,Ladd McConkey,WR,,LAC
d0771d39-659b-4b8b-afe4-edae61aa78c5,Trey McBride,TE,,ARI
90565f70-72bd-4163-8750-9e832775c8c7,Devon Achane,RB,,MIA
c5b88cf0-1ab1-4dbd-9f15-a7315cec9142,Rashee Rice,WR,,KC
e494befd-2bf9-46df-a6ec-5047fd1ed386,Jonathan Taylor,RB,,IND
aa75de78-d6ad-4eea-9496-226f92ee977e,Derrick Henry,RB,,BAL
535cec54-cb50-446a-8e87-6b94474ad4cd,Tee Higgins,WR,,CIN
46bfb09e-1318-4a8b-9b61-a77b17a3ebe7,Garrett Wilson,WR,,NYJ
2b35e49a-cdce-45b5-ba00-9c30a0bf0b8b,Tyreek Hill,WR,,MIA
94f01e07-a475-4d33-ae35-5d372464499c,Davante Adams,WR,,LAR
1076ded7-6071-4af0-9582-a9231787266c,Jaxon Smith-Njigba,WR,,SEA
30dd40a7-f967-4d0d-a3ee-0e49ae37f022,Marvin Harrison Jr.,WR,,ARI
f96ef93f-e38a-42d6-8ea6-88639da7f5e6,Bucky Irving,RB,,TB
fcb46426-5c7a-422d-b40e-c577e7c588de,Mike Evans,WR,,TB
a8e40f79-576b-4638-a030-b4fac410ebba,Terry McLaurin,WR,,WAS
bb4795ac-ef18-405c-9b3c-99e563e31ab9,Josh Jacobs,RB,,GB
