id,name,Position,ADP,Team
b24eb93f-72bd-4c23-bed6-807d542bab65,Ja'Marr Chase,WR,,CIN
1b76bd49-ac28-457e-96a6-4b2135c9ff73,CeeDee Lamb,WR,,DAL
fb2b25a4-b791-4ef0-bc45-41099b503a69,Justin Jefferson,WR,,MIN
827b3a04-55f4-4c0e-940f-62be3233dd15,Puka Nacua,WR,,LAR
1dad2b6f-6089-4844-8319-6f1eb23b5003,Saquon Barkley,RB,,PHI
0ec23474-d4b8-4dcd-9157-b6de1fb8ff84,Jahmyr Gibbs,RB,,DET
c2ff3b1f-dbc0-4314-986a-3a2c1dc5bf50,Malik Nabers,WR,,NYG
b42031b0-6abb-4621-90c0-e3f8041f6c9d,Bijan Robinson,RB,,ATL
13c991e1-747d-4cbd-9bdb-a5e017bdb77b,Nico Collins,WR,,HOU
3ee87ad4-537e-46ac-8cf4-d2bf5f8540ed,Amon-Ra St. Brown,WR,,DET
8f217c44-cc37-44a8-84f9-d82cd3fe91ff,Ashton Jeanty,RB,,LV
6d89c0c5-4756-43ab-b80f-70fc83e5efa8,Brian Thomas Jr.,WR,,JAX
d98df6de-a814-477a-bd9b-b6a747f32ab4,Brock Bowers,TE,,LV
baefa551-0611-4836-b43a-1d6c105211b7,Christian McCaffrey,RB,,SF
2eb19695-162b-4d6f-970d-266b3513ddbd,A.J. Brown,WR,,PHI
0fd6a099-0696-4aeb-b7c8-bf3c5280db0f,Drake London,WR,,ATL
f41070b3-c28d-4cff-afb4-6bae844edabf,Ladd McConkey,WR,,LAC
d6c8b5b5-c01a-43d4-84b5-cbad5e4a7f21,Trey McBride,TE,,ARI
9a97b0b2-fda2-4d87-8392-50b32ea6fcd3,Devon Achane,RB,,MIA
a93a8358-f3eb-4a07-9a85-a13a0b2427a2,Jonathan Taylor,RB,,IND
9b791eb1-eb3f-4216-87c5-a381fd694aff,Derrick Henry,RB,,BAL
43973f1b-ff52-44cd-a5d1-43426587f368,Tee Higgins,WR,,CIN
146fb59c-b8ff-414a-86a7-3c2e612a81c0,Garrett Wilson,WR,,NYJ
d8aca1d5-8318-4ada-9cf1-18ef1b60b464,Tyreek Hill,WR,,MIA
3bca74ae-aea9-4b96-9cfa-ba6320a9dca6,Davante Adams,WR,,LAR
e92d0ab0-3f60-456a-a57f-b689b8107c7a,Jaxon Smith-Njigba,WR,,SEA
799eb40c-a66a-4fd8-a8e3-186fc3f20ccb,Marvin Harrison Jr.,WR,,ARI
1bc16f8e-964e-4946-b3da-bd7b7fe8731e,Bucky Irving,RB,,TB
9ecd270d-e314-466e-8cff-126385d8a9e9,Josh Jacobs,RB,,GB
0467ab97-0708-4a95-88ef-124455ac4ac1,Josh Allen,QB,,BUF
c3c29d05-6c66-4726-b2b3-01f5323a8087,Lamar Jackson,QB,,BAL
221733f8-7235-4b9e-a2cd-45dad292e33b,Chase Brown,RB,,CIN
fd373123-6fc9-4e2c-829c-9879ae96caea,Omarion Hampton,RB,,LAC
c72e9110-c8be-4bcf-a567-d78c9f3073d1,Mike Evans,WR,,TB
4122e07d-fe79-4816-9292-4f6a94b00cbc,Xavier Worthy,WR,,KC
6d78912a-4699-4228-9e18-621c213202a7,George Kittle,TE,,SF
c00d3668-c5ca-41be-bbb3-30e421920276,Tetairoa McMillan,WR,,CAR
bdbd91c4-8792-4056-a4b1-dabc074aa580,Terry McLaurin,WR,,WAS
a547b04a-38e6-435e-9f9d-81a34e7aac6c,Jalen Hurts,QB,,PHI
7db4138f-109b-4b32-8c1b-cd51a4c12d1f,George Pickens,WR,,DAL
4bb0512e-9cfd-430d-9742-1fff9f043b18,DeVonta Smith,WR,,PHI
0f31f57a-5461-4802-811e-f84fde65f9b5,Breece Hall,RB,,NYJ
