Id,Name,Name,Position,Team,ADP,rank
1069535,Justin Jefferson,Justin Jefferson,WR,MIN,1.1,1.0666666666666667
1109979,Ja'Marr Chase,Ja'Marr Chase,WR,CIN,2.4,2.288888888888889
830517,Christian McCaffrey,Christian McCaffrey,RB,SF,3.0,3.488888888888889
698227,Cooper Kupp,Cooper Kupp,WR,LA,6.2,4.555555555555555
823156,Tyreek Hill,Tyreek Hill,WR,MIA,4.5,5.222222222222222
790004,Austin Ekeler,Austin Ekeler,RB,LAC,7.0,6.377777777777777
448240,Travis Kelce,Travis Kelce,TE,KC,5.4,7.377777777777778
694041,Stefon Diggs,Stefon Diggs,WR,BUF,8.6,9.333333333333334
1228244,Bijan Robinson,Bijan Robinson,RB,ATL,9.0,11.177777777777777
1062020,CeeDee Lamb,CeeDee Lamb,WR,DAL,11.8,11.822222222222223
944826,A.J. Brown,A.J. Brown,WR,PHI,10.7,12.266666666666667
1164889,Garrett Wilson,Garrett Wilson,WR,NYJ,15.6,12.88888888888889
1127106,Amon-Ra St. Brown,Amon-Ra St. Brown,WR,DET,12.9,13.044444444444444
611417,Davante Adams,Davante Adams,WR,LV,15.8,13.066666666666666
1125749,Jaylen Waddle,Jaylen Waddle,WR,MIA,21.7,16.4
880398,Tony Pollard,Tony Pollard,RB,DAL,16.1,17.77777777777778
1122592,Chris Olave,Chris Olave,WR,NO,21.7,19.4
883302,Saquon Barkley,Saquon Barkley,RB,NYG,14.6,19.733333333333334
822857,Nick Chubb,Nick Chubb,RB,CLE,13.3,20.37777777777778
1060262,DeVonta Smith,DeVonta Smith,WR,PHI,24.6,22.555555555555557
913271,Jalen Hurts,Jalen Hurts,QB,PHI,18.8,23.22222222222222
839031,Patrick Mahomes,Patrick Mahomes,QB,KC,19.2,24.822222222222223
978579,Tee Higgins,Tee Higgins,WR,CIN,27.2,25.822222222222223
868199,Josh Allen,Josh Allen,QB,BUF,23.8,26.444444444444443
732145,Derrick Henry,Derrick Henry,RB,TEN,20.1,26.48888888888889
944416,Josh Jacobs,Josh Jacobs,RB,LV,27.2,27.22222222222222
820699,Mark Andrews,Mark Andrews,TE,BAL,29.3,28.733333333333334
557210,Keenan Allen,Keenan Allen,WR,LAC,31.2,31.84444444444445
835749,Deebo Samuel,Deebo Samuel,WR,SF,34.6,33.17777777777778
1214154,Jahmyr Gibbs,Jahmyr Gibbs,RB,DET,29.0,33.333333333333336
877745,Lamar Jackson,Lamar Jackson,QB,BAL,31.8,33.44444444444444
884013,Calvin Ridley,Calvin Ridley,WR,JAX,24.7,33.599999999999994
1174682,Rhamondre Stevenson,Rhamondre Stevenson,RB,NE,36.9,34.955555555555556
945633,DK Metcalf,DK Metcalf,WR,SEA,29.9,36.111111111111114
