Player,Times_Drafted,Made_Playoffs,Advance_Rate
Tavon Austin,3,3,100.00%
Kahale Warring,1,1,100.00%
Antoine Wesley,1,1,100.00%
Mack Hollins,1,1,100.00%
Jesse James,4,3,75.00%
Zay Jones,8,4,50.00%
Equanimeous St. Brown,4,2,50.00%
Seth Williams,2,1,50.00%
Nick Vannett,2,1,50.00%
Jace Sternberger,2,1,50.00%
Daurice Fountain,2,1,50.00%
Shi Smith,2,1,50.00%
Noah Brown,2,1,50.00%
Kaden Smith,2,1,50.00%
Cooper Kupp,12960,6243,48.17%
Jonathan Taylor,12960,5564,42.93%
Tre' McKitty,5,2,40.00%
Jeremy McNichols,8,3,37.50%
Leonard Fournette,12960,4808,37.10%
James Conner,12960,4618,35.63%
K.J. Osborn,18,6,33.33%
D'Ernest Johnson,6,2,33.33%
Steven Sims,3,1,33.33%
Phillip Walker,3,1,33.33%
Deebo Samuel,12960,4316,33.30%
Cordarrelle Patterson,687,222,32.31%
Tom Brady,12960,4074,31.44%
Mike Evans,12960,3923,30.27%
Austin Ekeler,12960,3812,29.41%
Mike Williams,12960,3776,29.14%
Justin Herbert,12960,3772,29.10%
Rob Gronkowski,12955,3723,28.74%
Jacob Eason,7,2,28.57%
Marcus Johnson,7,2,28.57%
Josh Oliver,7,2,28.57%
Hunter Renfrow,4432,1261,28.45%
Mark Andrews,12960,3684,28.43%
Chris Godwin,12960,3546,27.36%
Kalen Ballage,11,3,27.27%
Tyler Johnson,151,40,26.49%
Matthew Stafford,12960,3373,26.03%
Dawson Knox,5097,1316,25.82%
Kendrick Bourne,1761,446,25.33%
Elijah Mitchell,712,180,25.28%
Justin Jefferson,12960,3244,25.03%
Brian Hill,20,5,25.00%
Isaiah Hodgins,20,5,25.00%
Reggie Bonnafon,4,1,25.00%
Van Jefferson,9648,2387,24.74%
Najee Harris,12960,3197,24.67%
Marquise Brown,12960,3183,24.56%
Jack Doyle,217,52,23.96%
Kirk Cousins,12951,3075,23.74%
Zach Ertz,11631,2702,23.23%
Michael Pittman,12960,2956,22.81%
Melvin Gordon,12960,2953,22.79%
Darrel Williams,3615,817,22.60%
Ja'Marr Chase,12960,2916,22.50%
Joe Mixon,12960,2904,22.41%
Diontae Johnson,12960,2898,22.36%
Josh Allen,12960,2854,22.02%
