ID,NAME,TEAM,BYE,AGE,POS,POS RK,ADP
18877,Christian McCaffrey,CAR,13,25,RB,RB1,1.3
18872,Dalvin Cook,MIN,7,26,RB,RB2,2.5
18878,Alvin Kamara,NO,6,26,RB,RB3,3.1
16470,Davante Adams,GB,13,29,WR,WR1,4.5
17923,Ezekiel Elliott,DAL,7,26,RB,RB4,5.3
17959,Derrick Henry,TEN,13,28,RB,RB5,6.4
19562,Austin Ekeler,LAC,7,26,RB,RB6,6.5
15048,Travis Kelce,KC,12,32,TE,TE1,6.9
19045,Aaron Jones,GB,13,27,RB,RB7,9
18082,Tyreek Hill,KC,12,27,WR,WR2,9.3
19798,Nick Chubb,CLE,13,26,RB,RB8,10.4
21768,Najee Harris,PIT,7,23,RB,RB9,11.6
19766,Saquon Barkley,NYG,10,25,RB,RB10,12.4
16906,Stefon Diggs,BUF,7,28,WR,WR3,13
21682,Jonathan Taylor,IND,14,23,RB,RB11,13.2
21861,Antonio Gibson,WAS,9,23,RB,RB12,14.8
14986,DeAndre Hopkins,ARI,12,29,WR,WR4,16.7
19802,Calvin Ridley,ATL,6,27,WR,WR5,17.9
20875,DK Metcalf,SEA,9,24,WR,WR6,18.5
18858,Joe Mixon,CIN,10,25,RB,RB13,19.4
21769,Clyde Edwards-Helaire,KC,12,22,RB,RB14,19.7
18890,Patrick Mahomes,KC,12,26,QB,QB1,19.8
16964,Darren Waller,LV,8,29,TE,TE2,21.6
21685,Justin Jefferson,MIN,7,23,WR,WR7,22.6
21042,A.J. Brown,TEN,13,24,WR,WR8,24.1
20882,David Montgomery,CHI,10,24,RB,RB15,25.4
15076,Keenan Allen,LAC,7,29,WR,WR9,25.9
21970,James Robinson,JAX,7,23,RB,RB16,27.1
19119,Chris Carson,SEA,9,27,RB,RB17,27.4
20873,Terry McLaurin,WAS,9,26,WR,WR10,28.6
19063,George Kittle,SF,6,28,TE,TE3,30.4
21679,CeeDee Lamb,DAL,7,22,WR,WR11,30.9
19801,Josh Allen,BUF,7,25,QB,QB2,32.5
16263,Allen Robinson II,CHI,10,28,WR,WR12,33
20824,Josh Jacobs,LV,8,24,RB,RB18,33.1
21684,D'Andre Swift,DET,9,23,RB,RB19,34.8
14871,Robert Woods,LAR,11,29,WR,WR13,35.6
20933,Miles Sanders,PHI,14,24,RB,RB20,37.6
16597,Mike Evans,TB,9,28,WR,WR14,38.2
20768,Myles Gaskin,MIA,14,25,RB,RB21,39.2
16765,Amari Cooper,DAL,7,27,WR,WR15,39.4
22508,Kyle Pitts,ATL,6,21,TE,TE4,40.1
20889,Kyler Murray,ARI,12,24,QB,QB3,41.7
16887,Mike Davis,ATL,6,29,RB,RB22,42.2
20239,Gus Edwards,BAL,8,26,RB,RB23,43.2
18882,Cooper Kupp,LAR,11,28,WR,WR16,44
21077,Diontae Johnson,PIT,7,25,WR,WR17,44.8
18880,Chris Godwin,TB,9,25,WR,WR18,46.8
20798,Darrell Henderson Jr.,LAR,11,24,RB,RB24,47.8
16830,Tyler Lockett,SEA,9,29,WR,WR19,48.7
19781,Lamar Jackson,BAL,8,25,QB,QB4,50.1
13291,Julio Jones,TEN,13,33,WR,WR20,50.3
19803,Mark Andrews,BAL,8,26,TE,TE5,50.6
22558,Javonte Williams,DEN,11,21,RB,RB25,51.7
20790,Damien Harris,NE,14,25,RB,RB26,52.4
15534,Adam Thielen,MIN,7,31,WR,WR21,53.9
2593,Aaron Rodgers,GB,13,38,QB,QB5,54.1
21747,Brandon Aiyuk,SF,6,23,WR,WR22,54.5
20805,T.J. Hockenson,DET,9,24,TE,TE6,55.4
17217,Raheem Mostert,SF,6,29,RB,RB27,57.5
19844,DJ Moore,CAR,13,24,WR,WR23,59.1
18944,Kareem Hunt,CLE,13,26,RB,RB28,59.7
21690,Tee Higgins,CIN,10,23,WR,WR24,60.1
19919,Chase Edmonds,ARI,12,25,RB,RB29,62.3
21692,Jerry Jeudy,DEN,11,22,WR,WR25,63.1
18055,Dak Prescott,DAL,7,28,QB,QB6,64.3
21752,Chase Claypool,PIT,7,23,WR,WR26,65.5
16656,Logan Thomas,WAS,9,30,TE,TE7,65.7
14536,Russell Wilson,SEA,9,33,QB,QB7,66.3
16389,Odell Beckham Jr.,CLE,11,29,WR,WR27,68.7
21801,Trey Sermon,SF,6,23,RB,RB30,68.8
21681,Justin Herbert,LAC,7,23,QB,QB8,70.1
16776,Melvin Gordon III,DEN,11,28,RB,RB31,71.6
11056,Antonio Brown,TB,,33,WR,WR28,72.5
18187,Robby Anderson,CAR,13,28,WR,WR29,74.9
21687,DeVonta Smith,PHI,14,23,WR,WR30,74.9
4314,Tom Brady,TB,,44,QB,QB9,75.2
17960,Michael Thomas,NO,6,28,WR,WR31,75.4
21697,Laviska Shenault Jr.,JAX,7,23,WR,WR32,76.9
20753,Noah Fant,DEN,11,24,TE,TE8,77.9
22553,Michael Carter,NYJ,6,22,RB,RB32,78.1
21750,Marquez Callaway,NO,6,23,WR,WR33,79.3
19861,Ronald Jones II,TB,9,24,RB,RB33,80
21802,AJ Dillon,GB,13,23,RB,RB34,81.5
19491,Robert Tonyan,GB,13,27,TE,TE9,83.8
19828,Sony Michel,LAR,11,27,RB,RB35,83.9
18883,JuJu Smith-Schuster,PIT,,25,WR,WR34,84.7
19800,Courtland Sutton,DEN,11,26,WR,WR35,85.5
18032,Tyler Higbee,LAR,11,29,TE,TE10,87.1
9038,Matthew Stafford,LAR,11,34,QB,QB10,87.2
22564,Ja'Marr Chase,CIN,10,21,WR,WR36,87.4
21784,Zack Moss,BUF,7,24,RB,RB36,88.1
18995,Jamaal Williams,DET,9,26,RB,RB37,88.1
18879,Corey Davis,NYJ,6,27,WR,WR37,88.3
20941,Devin Singletary,BUF,7,24,RB,RB38,91.6
20932,Deebo Samuel,SF,6,26,WR,WR38,92.7
13799,Ryan Tannehill,TEN,13,33,QB,QB11,94.7
21831,Jalen Hurts,PHI,14,23,QB,QB12,94.8
17986,Tyler Boyd,CIN,10,27,WR,WR39,96.3
21744,Michael Pittman Jr.,IND,14,24,WR,WR40,97.3
18977,Kenny Golladay,NYG,10,28,WR,WR41,97.6
18983,James Conner,ARI,12,26,RB,RB39,97.9
18803,Leonard Fournette,TB,9,27,RB,RB40,98.9
22598,Jaylen Waddle,MIA,14,23,WR,WR42,100.7
18003,Kenyan Drake,LV,8,28,RB,RB41,101.6
19863,Dallas Goedert,PHI,14,27,TE,TE11,102.2
16568,Brandin Cooks,HOU,10,28,WR,WR43,103
20128,Phillip Lindsay,HOU,14,27,RB,RB42,103.4
20876,Jakobi Meyers,NE,14,25,WR,WR44,103.6
28,Pittsburgh Steelers,PIT,7,,DST,DST1,104.5
19853,Mike Gesicki,MIA,14,26,TE,TE12,106.1
19912,Nyheim Hines,IND,14,25,RB,RB43,106.4
20788,Mecole Hardman,KC,12,23,WR,WR45,108.8
21961,Darnell Mooney,CHI,10,24,WR,WR46,109.6
32,Los Angeles Rams,LAR,11,,DST,DST2,109.6
21693,Joe Burrow,CIN,10,25,QB,QB13,113.4
95,Tampa Bay Buccaneers,TB,9,,DST,DST3,113.7
19816,DJ Chark Jr.,JAX,7,25,WR,WR47,117.4
18990,Jonnu Smith,NE,14,26,TE,TE13,118.4
22546,Rhamondre Stevenson,NE,14,24,RB,RB44,119.4
18914,Mike Williams,LAC,7,27,WR,WR48,119.7
18464,J.D. McKissic,WAS,9,28,RB,RB45,119.7
16056,James White,NE,14,30,RB,RB46,121.3
16020,Jarvis Landry,CLE,13,29,WR,WR49,121.4
