Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val,Strategy,Elite Onesie,Capital,Contest
1,RB,Derrick Henry,TEN,1,8,7.8,0.2,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,TE,Travis Kelce,KC,2,17,12.7,4.3,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Tee Higgins,CIN,3,32,26.9,5.1,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Jaylen Waddle,MIA,4,41,38.2,2.8,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Amon-Ra St. Brown,DET,5,56,57.5,-1.5,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,RB,AJ Dillon,GB,6,65,62.5,2.5,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,RB,Tony Pollard,DAL,7,80,79.1,0.9,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,QB,Dak Prescott,DAL,8,89,90.5,-1.5,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,RB,Kareem Hunt,CLE,9,104,94.7,9.3,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Jalen Tolbert,DAL,10,113,119.6,-6.6,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Garrett Wilson,NYJ,11,128,118,10,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,QB,Tua Tagovailoa,MIA,12,137,135.1,1.9,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,KJ  Hamler,DEN,13,152,156.6,-4.6,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,TE,Albert Okwuegbunam,DEN,14,161,132.6,28.4,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Jameson Williams,DET,15,176,164.7,11.3,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Kendrick Bourne,NE,16,185,185,0,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,RB,Eno Benjamin,AZ,17,200,200,0,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
1,WR,Erik Ezukanma,MIA,18,209,209,0,8/22/2022,62.5,Anchor RB,Elite TE,3,Pom-3
2,WR,Ceedee Lamb,DAL,1,10,14.2,-4.2,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,RB,Dandre Swift,DET,2,15,15.8,-0.8,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,WR,DJ Moore,CAR,3,34,33.2,0.8,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,WR,Marquise Brown,AZ,4,39,42.2,-3.2,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,WR,Chris Godwin,TB,5,58,56.4,1.6,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,QB,Kyler Murray,AZ,6,63,62.3,0.7,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,RB,Tony Pollard,DAL,7,82,79.1,2.9,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,QB,Dak Prescott,DAL,8,87,90.5,-3.5,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,WR,Chase Claypool,PIT,9,106,109.5,-3.5,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
2,WR,Rondale Moore,AZ,10,111,112.7,-1.7,8/22/2022,-9.5,Anchor RB,Neither,3,Pom-3
