Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val,Strategy,Elite Onesie,Capital
1,WR,Tee Higgins,CIN,1,12,34.9,-22.9,6/1/2022,1.8,Zero RB,Elite TE,5
1,TE,Travis Kelce,KC,2,13,11.3,1.7,6/1/2022,1.8,Zero RB,Elite TE,5
1,WR,Marquise Brown,AZ,3,36,36,0,6/1/2022,1.8,Zero RB,Elite TE,5
1,WR,Gabriel Davis,BUF,4,37,53.2,-16.2,6/1/2022,1.8,Zero RB,Elite TE,5
1,QB,Kyler Murray,AZ,5,60,61.1,-1.1,6/1/2022,1.8,Zero RB,Elite TE,5
1,WR,Drake London,ATL,6,61,68.3,-7.3,6/1/2022,1.8,Zero RB,Elite TE,5
1,WR,Deandre Hopkins,AZ,7,84,74.9,9.1,6/1/2022,1.8,Zero RB,Elite TE,5
1,RB,Miles Sanders,PHI,8,85,80.6,4.4,6/1/2022,1.8,Zero RB,Elite TE,5
1,RB,Kareem Hunt,CLE,9,108,96.8,11.2,6/1/2022,1.8,Zero RB,Elite TE,5
1,RB,Devin Singletary,BUF,10,109,104.8,4.2,6/1/2022,1.8,Zero RB,Elite TE,5
1,QB,Justin Fields,CHI,11,132,135.6,-3.6,6/1/2022,1.8,Zero RB,Elite TE,5
1,WR,Jamison Crowder,BUF,12,133,137.2,-4.2,6/1/2022,1.8,Zero RB,Elite TE,5
1,TE,Cole Kmet,CHI,13,156,146.9,9.1,6/1/2022,1.8,Zero RB,Elite TE,5
1,RB,Tyler Allgeier,ATL,14,157,150.2,6.8,6/1/2022,1.8,Zero RB,Elite TE,5
1,RB,Khalil Herbert,CHI,15,180,169.7,10.3,6/1/2022,1.8,Zero RB,Elite TE,5
1,RB,Jamaal Williams,DET,16,181,180.7,0.3,6/1/2022,1.8,Zero RB,Elite TE,5
1,WR,Zay Jones,JAX,17,204,204,0,6/1/2022,1.8,Zero RB,Elite TE,5
1,WR,Nico Collins,HOU,18,205,205,0,6/1/2022,1.8,Zero RB,Elite TE,5
2,RB,Derrick Henry,TEN,1,9,7.6,1.4,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,RB,Saquon Barkley,NYG,2,16,25.8,-9.8,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,RB,James Conner,AZ,3,33,33.2,-0.2,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,TE,Darren Waller,LV,4,40,41.2,-1.2,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,QB,Lamar Jackson,BAL,5,57,52.3,4.7,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Drake London,ATL,6,64,68.5,-4.5,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Hunter Renfrow,LV,7,81,82.1,-1.1,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,QB,Trey Lance,SF,8,88,91.3,-3.3,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Robert Woods,TEN,9,105,104.4,0.6,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Michael Gallup,DAL,10,112,113.4,-1.4,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,TE,Pat Freiermuth,PIT,11,129,125.7,3.3,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Jalen Tolbert,DAL,12,136,145.2,-9.2,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,George Pickens,PIT,13,153,157.8,-4.8,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Corey Davis,NYJ,14,160,156.2,3.8,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,RB,Gus Edwards,BAL,15,177,169.8,7.2,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Danny Gray,SF,16,184,184,0,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,Tylan Wallace,BAL,17,201,201,0,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
2,WR,James Washington,DAL,18,208,208,0,6/1/2022,-14.5,Hyperfragile RB,Elite TE,5
