Team,POS,Name,TEAM,Round,Pick,ADP,Value,Draft Start,Cumulative Val,Strategy,Elite Onesie,Capital
1,QB,Trey Lance,SF,1,10,15.9,-5.9,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,Cooper Kupp,LAR,2,15,11.9,3.1,6/23/2022,30.7,Anchor QB,Elite TE,5
1,RB,Aaron Jones,GB,3,34,37,-3,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,Deebo Samuel,SF,4,39,37.9,1.1,6/23/2022,30.7,Anchor QB,Elite TE,5
1,TE,George Kittle,SF,5,58,63,-5,6/23/2022,30.7,Anchor QB,Elite TE,5
1,QB,Jared Goff,DET,6,63,67.1,-4.1,6/23/2022,30.7,Anchor QB,Elite TE,5
1,QB,Deshaun Watson,CLE,7,82,104.9,-22.9,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,Amari Cooper,CLE,8,87,96.4,-9.4,6/23/2022,30.7,Anchor QB,Elite TE,5
1,RB,Miles Sanders,PHI,9,106,95.8,10.2,6/23/2022,30.7,Anchor QB,Elite TE,5
1,RB,Kenneth Walker,SEA,10,111,111.4,-0.4,6/23/2022,30.7,Anchor QB,Elite TE,5
1,RB,Kareem Hunt,CLE,11,130,108.9,21.1,6/23/2022,30.7,Anchor QB,Elite TE,5
1,RB,Rhamondre Stevenson,NE,12,135,121.5,13.5,6/23/2022,30.7,Anchor QB,Elite TE,5
1,TE,Irv Smith,MIN,13,154,134.9,19.1,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,Jahan Dotson,WAS,14,159,160.8,-1.8,6/23/2022,30.7,Anchor QB,Elite TE,5
1,TE,Robert Tonyan,GB,15,178,162.9,15.1,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,Curtis Samuel,WAS,16,183,183,0,6/23/2022,30.7,Anchor QB,Elite TE,5
1,RB,Zamir White,LV,17,202,202,0,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,Donovan Peoples-Jones,,18,207,207,0,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,Byron Pringle,CHI,19,226,226,0,6/23/2022,30.7,Anchor QB,Elite TE,5
1,WR,James Washington,DAL,20,231,231,0,6/23/2022,30.7,Anchor QB,Elite TE,5
2,QB,Justin Herbert,LAC,1,4,2.3,1.7,6/23/2022,91.6,Anchor QB,Elite TE,5
2,RB,Austin Ekeler,LAC,2,21,20.8,0.2,6/23/2022,91.6,Anchor QB,Elite TE,5
2,TE,Travis Kelce,KC,3,28,21,7,6/23/2022,91.6,Anchor QB,Elite TE,5
