Player,Team,Team_Indicator
T. Brady,TB,1
C. Edwards-Helaire,KC,1
D. Williams,KC,1
A. Brown,TEN,1
D. Johnson,PIT,1
B. Pringle,KC,1
T. Kelce,KC,1
R. Gronkowski,TB,1
R. Cobb,GB,1
J. Gordon,KC,1
D. Gore,KC,1
C. Grayson,TB,1
D. Hilliard,TEN,1
J. Howard,PHI,1
J. Jacobs,LV,1
T. Johnson,TB,1
S. Miller,TB,1
B. Perriman,TB,1
D. Robinson,KC,1
N. Westbrook-Ikhine,TEN,1
D. Prescott,DAL,2
A. Dillon,GB,2
C. Edwards-Helaire,KC,2
A. Cooper,DAL,2
T. Hill,KC,2
C. Lamb,DAL,2
T. Kelce,KC,2
N. Harris,PIT,2
N. Agholor,NE,2
D. Carr,LV,2
C. Edmonds,AZ,2
B. Edwards,LV,2
J. Gordon,KC,2
D. Gore,KC,2
D. Hilliard,TEN,2
M. Lewis,GB,2
J. McKinnon,KC,2
B. Pringle,KC,2
M. Valdes-Scantling,GB,2
D. Waller,KC,2
M. Stafford,LAR,3
L. Fournette,TB,3
D. Williams,KC,3
O. Beckham Jr.,LAR,3
C. Kupp,LAR,3
H. Renfrow,LV,3
R. Gronkowski,TB,3
K. Vaughn,TB,3
N. Agholor,NE,3
B. Bolden,NE,3
K. Bourne,NE,3
C. Brate,TB,3
D. Gore,KC,3
D. Hilliard,TEN,3
J. Howard,PHI,3
D. Jackson,LV,3
V. Jefferson,LAR,3
M. Jones,NE,3
B. Perriman,TB,3
D. Waller,LV,3
J. Burrow,CIN,4
J. Jacobs,LV,4
A. Jones,GB,4
J. Chase,CIN,4
T. Higgins,CIN,4
C. Kupp,LAR,4
D. Knox,BUF,4
T. Boyd,CIN,4
N. Agholor,NE,4
J. Gordon,KC,4
D. Gore,KC,4
T. Higbee,LAR,4
D. Hilliard,TEN,4
V. Jefferson,LAR,4
A. Lazard,GB,4
I. McKenzie,BUF,4
M. Sanders,PHI,4
J. Smith,NE,4
E. St. Brown,GB,4
C. Uzomah,CIN,4
K. Murray,AZ,5
L. Fournette,TB,5
D. Williams,KC,5
T. Hill,KC,5
C. Kirk,AZ,5
H. Renfrow,LV,5
R. Gronkowski,TB,5
J. Jacobs,LV,5
E. Benjamin,AZ,5
C. Claypool,PIT,5
C. Edmonds,AZ,5
Z. Ertz,AZ,5
P. Freiermuth,PIT,5
D. Hilliard,TEN,5
D. Hopkins,AZ,5
R. Moore,AZ,5
B. Perriman,TB,5
D. Robinson,KC,5
D. Smith,PHI,5
Q. Watkins,PHI,5
J. Burrow,CIN,6
N. Harris,PIT,6
A. Jones,GB,6
D. Adams,GB,6
T. Boyd,CIN,6
J. Chase,CIN,6
Z. Ertz,AZ,6
A. Lazard,GB,6
N. Agholor,NE,6
M. Breida,BUF,6
R. Cobb,GB,6
D. Goedert,PHI,6
D. Gore,KC,6
H. Henry,NE,6
M. Lewis,GB,6
I. McKenzie,BUF,6
M. Sanders,PHI,6
B. Scott,PHI,6
D. Smith,PHI,6
M. Valdes-Scantling,GB,6
J. Allen,BUF,7
A. Jones,GB,7
D. Singletary,BUF,7
D. Adams,GB,7
D. Johnson,PIT,7
H. Renfrow,LV,7
D. Waller,LV,7
A. Dillon,GB,7
G. Davis,BUF,7
J. Deguara,GB,7
P. Freiermuth,PIT,7
J. Jacobs,LV,7
Z. Jones,LV,7
M. Lewis,GB,7
I. McKenzie,BUF,7
E. Sanders,BUF,7
M. Sanders,PHI,7
B. Scott,PHI,7
E. St. Brown,GB,7
M. Valdes-Scantling,GB,7
T. Brady,TB,8
N. Harris,PIT,8
D. Singletary,BUF,8
C. Beasley,BUF,8
T. Higgins,CIN,8
D. Johnson,PIT,8
R. Gronkowski,TB,8
D. Knox,BUF,8
L. Bell,TB,8
G. Bernard,TB,8
M. Breida,BUF,8
J. Darden,TB,8
G. Davis,BUF,8
P. Freiermuth,PIT,8
T. Johnson,TB,8
R. Jones II,TB,8
S. Miller,TB,8
B. Perriman,TB,8
E. Sanders,BUF,8
K. Vaughn,TB,8
M. Stafford,LAR,9
D. Henry,TEN,9
D. Williams,KC,9
A. Brown,TEN,9
C. Kupp,LAR,9
D. Samuel,SF,9
T. Higbee,LAR,9
O. Beckham Jr.,LAR,9
C. Akers,LAR,9
G. Bernard,TB,9
A. Firkser,TEN,9
D. Foreman,TEN,9
K. Gainwell,PHI,9
D. Gore,KC,9
H. Henry,NE,9
J. Howard,PHI,9
J. Jones,TEN,9
B. Pringle,KC,9
B. Skowronek,LAR,9
G. Swaim,TEN,9
D. Prescott,DAL,10
A. Jones,GB,10
D. Williams,KC,10
M. Hardman,KC,10
C. Lamb,DAL,10
B. Pringle,KC,10
T. Kelce,KC,10
D. Schultz,DAL,10
N. Agholor,NE,10
K. Bourne,NE,10
N. Brown,DAL,10
K. Gainwell,PHI,10
J. Hurts,PHI,10
B. Jarwin,DAL,10
J. Meyers,NE,10
T. Pollard,DAL,10
M. Sanders,PHI,10
D. Smith,PHI,10
E. St. Brown,GB,10
M. Valdes-Scantling,GB,10
D. Prescott,DAL,11
D. Henry,TEN,11
J. Jacobs,LV,11
D. Adams,GB,11
A. Brown,TEN,11
A. Cooper,DAL,11
D. Schultz,DAL,11
H. Renfrow,LV,11
N. Brown,DAL,11
D. Carr,LV,11
R. Cobb,GB,11
A. Firkser,TEN,11
D. Gore,KC,11
J. Howard,PHI,11
J. Jones,TEN,11
T. Pollard,DAL,11
M. Sanders,PHI,11
B. Scott,PHI,11
D. Smith,PHI,11
D. Waller,LV,11
J. Allen,BUF,12
N. Harris,PIT,12
E. Mitchell,SF,12
S. Diggs,BUF,12
D. Johnson,PIT,12
H. Renfrow,LV,12
G. Kittle,SF,12
J. Jacobs,LV,12
B. Aiyuk,SF,12
M. Breida,BUF,12
D. Carr,LV,12
C. Claypool,PIT,12
