o/u,spread,cpt,cpt_salary,cpt_own,f1,f1_own,f1_salary,f2,f2_own,f2_salary,f3,f3_own,f3_salary,f4,f4_own,f4_salary,f5,f5_own,f5_salary,total_salary,total_own,plays_fav,plays_und,ID
37,6,fav_rb,13800,16.8,und_wr,71,10000,fav_qb,72.6,9600,und_wr,7.8,5800,fav_d,45,5400,und_rb,36.8,4400,49000,250,3,3,1
37,6,und_rb,6600,6.3,und_wr,70.5,10000,fav_qb,74.1,9600,fav_wr,60.8,9800,fav_rb,56.6,9200,fav_wr,13.1,3000,48200,281.4,4,2,2
37,6,fav_wr,4500,0.8,und_wr,70.5,10000,fav_qb,74.1,9600,fav_wr,60.8,9800,fav_rb,56.6,9200,und_rb,41.9,4400,47500,304.7,4,2,3
47,4.5,und_wr,15900,16.8,und_qb,53.7,9600,fav_qb,68.4,9400,fav_te,48.6,8800,fav_k,11.6,5000,und_rb,38.9,1000,49700,238,3,3,4
47,4.5,und_wr,15900,16.8,und_wr,21.3,6400,fav_qb,68.4,9400,fav_te,48.6,8800,fav_k,11.6,5000,fav_d,20,4400,49900,186.7,4,2,5
37,6,fav_rb,13800,17.5,und_wr,65.9,10000,und_wr,14.3,5800,fav_d,37.5,5400,fav_k,33,5000,und_rb,38.5,4400,44400,206.7,3,3,6
37,6,fav_rb,13800,17.5,und_wr,14.3,5800,und_rb,38.5,4400,fav_d,37.5,5400,fav_qb,72.2,9600,fav_wr,64.2,9800,48800,244.2,4,2,7
47.5,2.5,fav_qb,14100,10.9,fav_wr,60,11800,und_rb,44.6,11200,und_wr,24.4,3000,und_qb,40,9000,und_te,4,600,49700,183.9,2,4,8
47.5,2.5,fav_qb,14100,13.1,fav_wr,63.8,11800,und_rb,38.1,11200,und_wr,26.7,3000,und_qb,43,9000,fav_wr,1.7,200,49300,186.4,3,3,9
47.5,2.5,und_qb,13500,6.9,und_wr,11.4,10600,fav_rb,64.8,9600,fav_qb,59.6,9400,und_d,15.8,3800,und_wr,23.2,3000,49900,181.7,2,4,10
47.5,2.5,und_wr,4500,1.1,fav_wr,56.4,11800,und_wr,16.8,10600,fav_qb,51.8,9400,und_qb,42.3,9000,und_wr,27.8,4200,49500,196.2,2,4,11
47.5,2.5,und_wr,16500,12,fav_wr,56.4,11800,fav_wr,1.3,200,fav_qb,51.8,9400,und_qb,42.3,9000,und_wr,21.3,3000,49900,185.1,3,3,12
40,2.5,und_qb,14100,3.6,fav_rb,68.8,10400,und_rb,39.8,9000,und_wr,38.3,8400,und_k,35.8,5200,und_wr,20.4,2400,49500,206.7,1,5,13
40,2.5,und_wr,3000,0.4,fav_rb,76.4,10400,fav_qb,71.8,9600,und_qb,30.1,9400,und_rb,39.8,9000,und_wr,35,8400,49800,253.5,2,4,14
40,2.5,und_wr,12600,6.3,fav_rb,72,10400,und_qb,29.9,9400,und_rb,39.6,9000,und_k,34.1,5200,und_wr,20.4,2400,49000,202.3,1,5,15
37,3,fav_rb,13200,8,und_rb,91.4,11800,fav_qb,82.7,9400,fav_k,23.1,5400,fav_d,30.9,4800,fav_wr,13.9,3000,47600,250,5,1,16
37,3,fav_rb,13200,11.2,und_rb,92.2,11800,fav_qb,78.7,9400,fav_k,28.6,5400,fav_d,30.5,4800,und_wr,40.6,4000,48600,281.8,4,2,17
37,3,fav_rb,13200,9.1,und_rb,93.3,11800,fav_qb,83.6,9400,fav_k,24.2,5400,fav_d,28.2,4800,und_wr,7.4,3200,47800,245.8,4,2,18
37,3,fav_rb,13200,10.5,fav_qb,81.3,9400,und_te,22.3,6800,fav_k,29.9,5400,fav_d,28.4,4800,fav_wr,16.2,3000,42600,188.6,5,1,19
45.5,2.5,und_rb,14100,26.5,fav_qb,90.7,11000,und_wr,61.3,10000,und_wr,24.4,7200,und_k,16.2,4400,fav_rb,36.2,3000,49700,255.3,2,4,20
45.5,2.5,und_wr,10800,3.4,fav_qb,90.7,11000,und_wr,61.3,10000,und_rb,83.8,9400,fav_k,19.8,5000,fav_rb,36.2,3000,49200,295.2,3,3,21
45.5,2.5,fav_qb,16500,24.4,und_d,16.4,3600,und_wr,63.2,10000,und_rb,80.6,9400,und_wr,28,7200,fav_rb,33.1,3000,49700,245.7,2,4,22
45.5,2.5,fav_rb,4500,6.5,fav_qb,85.3,11000,und_wr,63.2,10000,und_rb,80.6,9400,und_wr,28,7200,fav_k,20.6,5000,47100,284.2,3,3,23
45.5,2.5,und_rb,14100,26.5,fav_qb,85.3,11000,und_wr,59.6,10000,fav_rb,33.5,3000,und_wr,28,7200,und_d,13.5,3600,48900,246.4,2,4,24
45.5,2.5,fav_rb,4500,6.5,fav_qb,85.3,11000,und_wr,59.6,10000,und_qb,53.9,9000,fav_te,34.1,8200,und_wr,28,7200,49900,267.4,3,3,25
45.5,2.5,und_rb,14100,26.3,fav_qb,83.8,11000,und_wr,61,10000,und_wr,28.6,7200,fav_d,16.8,4600,fav_rb,36.6,3000,49900,253.1,3,3,26
45.5,2.5,und_wr,10800,3.4,fav_qb,83.8,11000,und_wr,61,10000,und_rb,77.5,9400,fav_rb,30.3,5200,fav_rb,36.6,3000,49400,292.6,3,3,27
45.5,2.5,und_rb,14100,22.1,fav_qb,85.5,11000,und_wr,61.3,10000,und_qb,54.3,9000,fav_rb,33.7,3000,fav_wr,12.8,2400,49500,269.7,3,3,28
45.5,2.5,und_wr,15000,10.7,und_rb,78.5,9400,und_k,15.2,4400,und_qb,55.8,9000,und_wr,29.7,7200,fav_rb,34.5,3000,48000,224.4,1,5,29
45.5,2.5,und_rb,14100,26.3,fav_qb,85.7,11000,und_wr,57.7,10000,und_wr,29.7,7200,und_te,20,4000,fav_rb,34.5,3000,49300,253.9,2,4,30
45.5,2.5,fav_rb,4500,5.5,fav_qb,85.7,11000,und_wr,57.7,10000,und_rb,78.5,9400,und_wr,29.7,7200,fav_wr,17.9,6800,48900,275,3,3,31
45.5,2.5,fav_rb,4500,5.5,fav_qb,84.2,11000,und_wr,58.9,10000,und_qb,57,9000,fav_te,31.2,8200,und_wr,29.1,7200,49900,265.9,3,3,32
49,3.5,fav_wr,13200,11.2,und_rb,53,9800,fav_qb,56.4,9400,fav_te,39.8,7400,und_wr,37.3,5400,fav_d,14.3,4200,49400,212,4,2,33
49,3.5,fav_wr,13200,11.2,und_rb,53,9800,fav_qb,56.4,9400,und_qb,60.4,9200,und_wr,37.3,5400,und_te,11.6,3000,50000,229.9,2,4,34
49,3.5,fav_te,11100,9.3,und_rb,53,9800,fav_qb,56.4,9400,und_qb,60.4,9200,und_wr,37.3,5400,fav_k,17.9,4600,49500,234.3,3,3,35
49,3.5,fav_qb,14100,8.8,und_rb,47.2,9800,fav_wr,47,8800,fav_te,41,7400,und_wr,34.3,5400,fav_wr,30.7,4000,49500,209,4,2,36
49,3.5,fav_te,11100,7,und_rb,52.4,9800,fav_qb,60.6,9400,und_qb,63.4,9200,fav_wr,42.1,8800,fav_rb,7.4,1400,49700,232.9,4,2,37
49,3.5,fav_te,11100,9.1,und_rb,51,9800,fav_qb,64.2,9400,fav_wr,38.3,8800,und_wr,37.7,5400,und_k,16.2,5000,49500,216.5,3,3,38
49,3.5,und_rb,14700,9.5,fav_qb,60.2,9400,und_qb,63.8,9200,fav_wr,40.8,8800,und_wr,37.7,5400,fav_rb,7,1400,48900,219,3,3,39
49,3.5,und_rb,14700,9.5,fav_qb,60.2,9400,fav_te,41.3,7400,fav_wr,40.8,8800,und_wr,37.7,5400,und_rb,21.5,3400,49100,211,3,3,40
49,3.5,fav_wr,13200,9.5,fav_qb,60.2,9400,und_qb,63.8,9200,fav_te,41.3,7400,und_wr,31.4,7000,und_te,12.4,3000,49200,218.6,3,3,41
49,3.5,fav_qb,14100,12.4,und_qb,61.9,9200,fav_wr,39.2,8800,fav_te,41.3,7400,und_wr,36,5400,fav_k,19.6,4600,49500,210.4,3,3,42
44.5,5,fav_qb,16500,9.9,fav_te,66.3,8600,und_wr,35.8,8000,fav_rb,35.8,8000,fav_wr,17.7,2800,fav_k,30.1,5400,49300,195.6,5,2,43
44.5,5,fav_wr,4200,0.8,und_rb,77.7,11400,und_qb,31.2,9600,fav_wr,29.7,9000,und_wr,35.8,8000,fav_rb,47.8,7400,49600,223,3,4,44
44.5,5,und_qb,14400,4,fav_qb,72.4,11000,fav_te,66.3,8600,fav_rb,47.8,7400,fav_k,30.1,5400,fav_wr,17.7,2800,49600,238.3,6,1,45
44.5,5,fav_te,12900,15.8,fav_qb,72.4,11000,und_qb,31.2,9600,und_wr,35.8,8000,fav_k,30.1,5400,fav_wr,17.7,2800,49700,203,5,2,46
44.5,5,fav_rb,11100,10.7,und_rb,74.1,11400,fav_qb,65.7,11000,und_wr,33.3,8000,fav_k,30.1,5400,fav_wr,17.7,2800,49700,231.6,5,2,47
44.5,5,fav_wr,4200,1.5,und_rb,74.1,11400,fav_qb,65.7,11000,fav_te,66.5,8600,fav_k,30.1,5400,und_wr,33.3,8000,48600,271.2,5,2,48
44.5,5,und_qb,14400,4.4,und_rb,74.1,11400,und_wr,33.3,8000,fav_rb,46.5,7400,fav_k,32.6,5400,fav_wr,18.5,2800,49400,209.4,3,3,49
44.5,5,und_wr,12000,6.3,und_rb,71.4,11400,fav_qb,69,11000,fav_rb,46.1,7400,fav_k,32.9,5400,fav_wr,17.3,2800,50000,243,5,2,50
44.5,5,fav_wr,4200,1.5,und_rb,71.4,11400,fav_te,61.5,8600,fav_rb,46.1,7400,und_wr,39.8,8000,fav_wr,35,9000,48600,255.3,5,2,51
44.5,5,fav_wr,4200,1.3,und_rb,77.5,11400,und_qb,34.3,9600,fav_wr,28.6,9000,und_wr,35.8,8000,fav_rb,47.6,7400,49600,225.1,3,3,52
44.5,5,und_wr,12000,7.4,und_rb,77.5,11400,und_qb,34.3,9600,fav_k,31.6,5400,fav_wr,15.6,2800,fav_rb,47.6,7400,48600,214,3,3,53
44.5,5,und_rb,17100,20.8,fav_te,67.2,8600,und_wr,35.8,8000,fav_k,31.6,5400,fav_wr,15.6,2800,fav_rb,47.6,7400,49300,218.6,4,2,54
44.5,5,fav_wr,4200,0.6,fav_qb,68.8,11000,und_qb,30.1,9600,fav_wr,29.1,9000,und_wr,41.9,8000,fav_rb,44.8,7400,49200,215.3,4,2,55
44.5,5,fav_wr,4200,0.6,fav_qb,68.8,11000,und_wr,30.3,10000,fav_te,67.4,8600,und_wr,41.9,8000,fav_rb,44.8,7400,49200,253.8,4,2,56
42,2,und_wr,13800,8.2,und_rb,73.9,11000,fav_wr,44.4,9600,fav_qb,53.5,9000,fav_d,25.7,3400,und_wr,14.9,3000,49800,220.6,3,3,57
42,2,fav_d,5100,4.4,und_rb,73.9,11000,fav_wr,44.4,9600,fav_qb,53.5,9000,fav_wr,34.1,9800,und_k,32.2,5200,49700,242.5,4,2,58
42,2,fav_qb,13500,7,fav_rb,9.7,4400,fav_wr,44.4,9600,fav_d,25.7,3400,fav_wr,34.1,9800,und_wr,30.9,9200,49900,151.8,5,1,59
42,2,fav_wr,14400,9.3,fav_wr,33.7,9800,und_wr,31.8,9200,fav_qb,60.8,9000,fav_d,27.6,3400,und_wr,15.8,3000,48800,179,4,2,60
42,2,fav_wr,14700,5.7,fav_wr,43.8,9600,und_wr,31.8,9200,fav_qb,60.8,9000,fav_d,27.6,3400,und_wr,15.8,3000,48900,185.5,4,2,61
42,2,fav_wr,14400,6.7,und_qb,46.5,10000,fav_wr,36,9800,fav_qb,56.2,9000,fav_d,28.8,3400,und_wr,16.6,3000,49600,190.8,4,2,62
42,2,fav_qb,13500,6.3,fav_wr,49.5,9600,fav_wr,35.8,9800,und_wr,32.2,9200,fav_d,24.6,3400,und_wr,16,3000,48500,164.4,4,2,63
42,2,fav_wr,14400,9.3,und_rb,70.5,11000,fav_wr,35.8,9800,fav_qb,56.4,9000,fav_d,24.6,3400,und_rb,6.1,2000,49600,202.7,4,2,64
42,2,fav_wr,14400,8.6,und_rb,70.1,11000,und_wr,34.7,9200,fav_qb,51.6,9000,fav_d,27.2,3400,und_wr,18.5,3000,50000,210.7,3,3,65
42,2,fav_wr,14400,11.4,und_rb,69.9,11000,fav_wr,35,9800,fav_qb,56,9000,fav_d,27.2,3400,und_te,9.3,1600,49200,208.8,4,2,66
42,2,fav_d,5100,2.3,und_rb,69,11000,fav_wr,37,9800,fav_wr,47.6,9600,und_wr,34.1,9200,und_k,34.5,5200,49900,224.5,3,3,67
47,5.5,fav_wr,17400,14.1,fav_qb,63.6,10000,fav_wr,20,6200,und_wr,13.5,5600,fav_d,18.9,5200,und_k,17.1,4800,49200,147.2,3,3,68
47,5.5,fav_wr,17400,14.1,fav_qb,63.6,10000,fav_rb,66.1,9600,und_wr,56.8,8000,und_d,8.4,3600,und_te,1.5,1400,50000,210.5,3,3,69
47,5.5,fav_wr,17400,14.1,fav_qb,63.6,10000,fav_d,18.9,5200,und_wr,56.8,8000,und_d,8.4,3600,fav_k,27.8,5000,49200,189.6,3,3,70
47,5.5,fav_wr,17400,14.1,fav_qb,63.6,10000,fav_wr,22.3,6200,und_k,16.4,4800,und_d,10.5,3600,und_wr,22.3,6200,48200,149.2,3,3,71
47,5.5,fav_qb,15000,8.2,fav_wr,69,11600,fav_rb,66.3,9600,fav_wr,22.3,6200,und_wr,11.4,5600,fav_te,4.2,2000,50000,181.4,5,1,72
47,5.5,fav_qb,15000,8.2,fav_wr,69,11600,fav_rb,66.3,9600,fav_wr,22.3,6200,fav_wr,18.7,4000,und_d,10.5,3600,50000,195,5,1,73
47,5.5,fav_wr,17400,17.7,fav_qb,63,10000,fav_rb,66.3,9600,fav_wr,22.3,6200,und_d,10.5,3600,und_wr,19.4,3000,49800,199.2,4,2,74
47,5.5,fav_wr,17400,17.7,fav_qb,63,10000,und_wr,57.7,8000,fav_wr,22.3,6200,und_d,10.5,3600,und_k,16.4,4800,50000,187.6,3,3,75
47,5.5,fav_wr,17400,17.7,fav_qb,63,10000,fav_rb,66.3,9600,fav_wr,18.7,4000,und_d,10.5,3600,fav_d,21.3,5200,49800,197.5,5,1,76
47,5.5,fav_qb,15000,9.5,fav_wr,67.8,11600,und_rb,36.6,10600,fav_te,27.8,6600,und_d,8.4,3600,fav_te,4.4,2000,49400,154.5,4,2,77
47,5.5,und_k,7200,0.4,fav_wr,67.8,11600,fav_qb,60,10000,fav_rb,68,9600,und_d,8.4,3600,und_wr,56.4,8000,50000,261,3,3,78
47,5.5,fav_qb,15000,11.4,fav_wr,69.9,11600,und_wr,53.7,8000,fav_wr,19.8,6200,fav_d,18.5,5200,fav_wr,16.6,4000,50000,189.9,5,1,79
47,5.5,fav_wr,17400,15.8,fav_rb,65.7,9600,und_wr,53.7,8000,fav_wr,19.8,6200,und_d,6.1,3600,fav_d,18.5,5200,50000,179.6,4,2,80
47,5.5,fav_rb,14400,17.1,fav_wr,69.9,11600,fav_qb,62.3,10000,und_wr,53.7,8000,fav_wr,16.6,4000,fav_te,3.6,2000,50000,223.2,5,1,81
47,5.5,fav_wr,17400,16.4,fav_qb,59.4,10000,und_wr,59.6,8000,fav_wr,17.3,6200,und_k,17.7,4800,und_d,10.1,3600,50000,180.5,3,3,82
47,5.5,fav_wr,9300,1.9,fav_qb,59.4,10000,fav_wr,68.2,11600,fav_rb,61,9600,und_k,17.7,4800,und_d,10.1,3600,48900,218.3,4,2,83
47,5.5,fav_d,7800,3.8,fav_qb,59.4,10000,fav_wr,68.2,11600,fav_rb,61,9600,fav_wr,17.3,6200,und_d,10.1,3600,48800,219.8,5,1,84
47,5.5,und_rb,15900,9.1,fav_qb,57.9,10000,fav_wr,66.5,11600,fav_wr,21.3,6200,und_d,10.1,3600,fav_te,5,2000,49300,169.9,4,2,85
45.5,9,fav_qb,15000,17.3,fav_rb,68,9800,fav_te,67.8,8800,und_te,44.4,8400,fav_wr,30.3,7000,und_wr,14.3,1000,50000,242.1,4,2,86
45.5,9,fav_rb,14700,13.9,fav_qb,80.2,10000,fav_te,67.8,8800,und_te,44.4,8400,fav_wr,30.3,7000,und_wr,14.3,1000,49900,250.9,4,2,87
45.5,9,fav_wr,10500,4.6,fav_qb,80.2,10000,fav_te,67.8,8800,und_qb,66.5,9600,fav_rb,68,9800,und_wr,14.3,1000,49700,301.4,4,2,88
45.5,9,fav_te,13200,10.9,fav_qb,80.2,10000,und_te,50.9,8400,fav_wr,35.2,7000,fav_rb,68,9800,und_wr,14.3,1000,49400,259.5,4,2,89
45.5,9,fav_wr,10500,5.9,fav_qb,75.2,10000,fav_te,64.2,8800,fav_wr,3.2,1600,fav_rb,67.6,9800,und_te,51.8,8400,49100,267.9,5,1,90
52.5,6,und_wr,16200,12.4,fav_qb,84,11400,und_qb,60.4,10400,fav_wr,12.6,5800,fav_te,52.2,4200,fav_te,31.2,600,48600,252.8,4,2,91
52.5,6,und_qb,15600,8.2,fav_qb,84,11400,und_wr,65.5,10800,und_rb,28.4,9000,und_te,8.8,1600,und_wr,5.5,1200,49600,200.4,1,5,92
52.5,6,fav_qb,17100,21.1,und_qb,60.4,10400,und_wr,65.5,10800,und_rb,28.4,9000,und_te,8.8,1600,fav_te,31.2,600,49500,215.4,2,4,93
52.5,6,und_wr,16200,14.7,fav_qb,84.2,11400,und_qb,65,10400,fav_wr,12.2,5800,fav_te,47.4,4200,und_te,10.5,1600,49600,234,3,3,94
52.5,6,fav_qb,17100,19.6,und_wr,64.8,10800,und_qb,65,10400,fav_wr,12.2,5800,fav_te,47.4,4200,und_te,10.5,1600,49900,219.5,3,3,95
52.5,6,fav_te,6300,9.3,fav_qb,84.2,11400,und_wr,64.8,10800,und_qb,65,10400,und_rb,27.8,9000,und_te,10.5,1600,49500,261.6,2,4,96
52.5,6,und_wr,16200,14.3,fav_qb,81.7,11400,und_qb,61.3,10400,fav_k,29.5,5400,fav_te,48.2,4200,fav_te,8,1600,49200,243,3,3,97
52.5,6,und_wr,16200,14.3,fav_qb,80,11400,und_qb,62.5,10400,fav_wr,17.3,5800,fav_wr,5.5,3000,und_te,10.9,1600,48400,190.5,3,3,98
49.5,3.5,fav_wr,16500,15.4,und_rb,56,10800,fav_qb,55.6,9600,und_k,23.6,5200,fav_k,15.4,5000,und_wr,19.4,2600,49700,185.4,3,3,99
49.5,3.5,und_wr,3900,19.4,fav_wr,54.5,11000,und_rb,56,10800,und_qb,48.6,9800,fav_rb,49.3,9200,und_k,23.6,5200,49900,251.4,2,4,100
49.5,3.5,und_rb,16200,12.8,fav_wr,54.5,11000,und_qb,48.6,9800,fav_te,23.4,6200,und_d,9.3,3600,und_wr,19.4,2600,49400,168,2,4,101
49.5,3.5,fav_wr,16500,15.8,und_rb,48.4,10800,fav_qb,56.6,9600,fav_te,20.8,6200,fav_d,21.7,4000,und_wr,21.3,2600,49700,184.6,4,2,102
49.5,3.5,fav_te,9300,2.3,fav_wr,55,11000,fav_qb,56.6,9600,fav_rb,51.8,9200,fav_rb,40.8,8200,und_wr,21.3,2600,49900,227.8,5,1,103
49.5,3.5,fav_wr,16500,15.8,fav_qb,56.6,9600,fav_rb,51.8,9200,fav_te,20.8,6200,und_te,27.4,5600,und_wr,21.3,2600,49700,193.7,4,2,104
49.5,3.5,und_rb,16200,14.9,fav_wr,53.3,11000,fav_rb,37.9,8200,fav_te,22.5,6200,und_te,32.6,5600,und_wr,21.3,2600,49800,182.5,3,3,105
49.5,3.5,und_wr,3900,0.4,fav_wr,54.1,11000,und_rb,53.5,10800,fav_te,21.5,6200,und_wr,58.1,8800,fav_rb,50.5,9200,49900,238.1,3,3,106
49.5,3.5,und_rb,16200,15.4,und_qb,47.6,9800,fav_rb,39,8200,fav_te,22.1,6200,und_k,28.6,5200,und_wr,17.3,2600,48200,170,2,4,107
