Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Justin Jefferson (39940682),Justin Jefferson,39940682,CPT,16200,MIN@CHI 09/08/2025 08:15PM ET,MIN,19.07
WR,DJ Moore (39940683),DJ Moore,39940683,CPT,14400,MIN@CHI 09/08/2025 08:15PM ET,CHI,14.42
QB,Caleb Williams (39940684),Caleb Williams,39940684,CPT,13800,MIN@CHI 09/08/2025 08:15PM ET,CHI,16.33
QB,J.J. McCarthy (39940685),J.J. McCarthy,39940685,CPT,13500,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
RB,D'Andre Swift (39940686),D'Andre Swift,39940686,CPT,13200,MIN@CHI 09/08/2025 08:15PM ET,CHI,12.79
WR,Rome Odunze (39940687),Rome Odunze,39940687,CPT,12000,MIN@CHI 09/08/2025 08:15PM ET,CHI,8.94
RB,Aaron Jones Sr. (39940688),Aaron Jones Sr.,39940688,CPT,11100,MIN@CHI 09/08/2025 08:15PM ET,MIN,14.42
WR,Justin Jefferson (39940628),Justin Jefferson,39940628,FLEX,10800,MIN@CHI 09/08/2025 08:15PM ET,MIN,19.07
RB,Jordan Mason (39940689),Jordan Mason,39940689,CPT,10500,MIN@CHI 09/08/2025 08:15PM ET,MIN,10.42
TE,T.J. Hockenson (39940690),T.J. Hockenson,39940690,CPT,9900,MIN@CHI 09/08/2025 08:15PM ET,MIN,9.72
WR,DJ Moore (39940629),DJ Moore,39940629,FLEX,9600,MIN@CHI 09/08/2025 08:15PM ET,CHI,14.42
QB,Caleb Williams (39940630),Caleb Williams,39940630,FLEX,9200,MIN@CHI 09/08/2025 08:15PM ET,CHI,16.33
QB,J.J. McCarthy (39940631),J.J. McCarthy,39940631,FLEX,9000,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
QB,Tyson Bagent (39940691),Tyson Bagent,39940691,CPT,9000,MIN@CHI 09/08/2025 08:15PM ET,CHI,-0.06
QB,Carson Wentz (39940692),Carson Wentz,39940692,CPT,9000,MIN@CHI 09/08/2025 08:15PM ET,MIN,1.57
QB,Case Keenum (39940693),Case Keenum,39940693,CPT,9000,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
QB,Max Brosmer (39940694),Max Brosmer,39940694,CPT,9000,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
RB,D'Andre Swift (39940632),D'Andre Swift,39940632,FLEX,8800,MIN@CHI 09/08/2025 08:15PM ET,CHI,12.79
TE,Colston Loveland (39940695),Colston Loveland,39940695,CPT,8700,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
DST,Vikings  (39940696),Vikings,39940696,CPT,8100,MIN@CHI 09/08/2025 08:15PM ET,MIN,9.11
WR,Rome Odunze (39940633),Rome Odunze,39940633,FLEX,8000,MIN@CHI 09/08/2025 08:15PM ET,CHI,8.94
K,Will Reichard (39940697),Will Reichard,39940697,CPT,7500,MIN@CHI 09/08/2025 08:15PM ET,MIN,9.57
RB,Aaron Jones Sr. (39940634),Aaron Jones Sr.,39940634,FLEX,7400,MIN@CHI 09/08/2025 08:15PM ET,MIN,14.42
K,Cairo Santos (39940698),Cairo Santos,39940698,CPT,7200,MIN@CHI 09/08/2025 08:15PM ET,CHI,6.41
RB,Jordan Mason (39940635),Jordan Mason,39940635,FLEX,7000,MIN@CHI 09/08/2025 08:15PM ET,MIN,10.42
WR,Luther Burden III (39940699),Luther Burden III,39940699,CPT,6900,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,T.J. Hockenson (39940636),T.J. Hockenson,39940636,FLEX,6600,MIN@CHI 09/08/2025 08:15PM ET,MIN,9.72
WR,Adam Thielen (39940700),Adam Thielen,39940700,CPT,6600,MIN@CHI 09/08/2025 08:15PM ET,MIN,14.55
QB,Tyson Bagent (39940637),Tyson Bagent,39940637,FLEX,6000,MIN@CHI 09/08/2025 08:15PM ET,CHI,-0.06
QB,Carson Wentz (39940638),Carson Wentz,39940638,FLEX,6000,MIN@CHI 09/08/2025 08:15PM ET,MIN,1.57
QB,Case Keenum (39940639),Case Keenum,39940639,FLEX,6000,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
QB,Max Brosmer (39940640),Max Brosmer,39940640,FLEX,6000,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Cole Kmet (39940701),Cole Kmet,39940701,CPT,6000,MIN@CHI 09/08/2025 08:15PM ET,CHI,7.08
TE,Colston Loveland (39940641),Colston Loveland,39940641,FLEX,5800,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
DST,Vikings  (39940642),Vikings,39940642,FLEX,5400,MIN@CHI 09/08/2025 08:15PM ET,MIN,9.11
WR,Jalen Nailor (39940702),Jalen Nailor,39940702,CPT,5400,MIN@CHI 09/08/2025 08:15PM ET,MIN,6.13
DST,Bears  (39940703),Bears,39940703,CPT,5100,MIN@CHI 09/08/2025 08:15PM ET,CHI,7.12
K,Will Reichard (39940643),Will Reichard,39940643,FLEX,5000,MIN@CHI 09/08/2025 08:15PM ET,MIN,9.57
K,Cairo Santos (39940644),Cairo Santos,39940644,FLEX,4800,MIN@CHI 09/08/2025 08:15PM ET,CHI,6.41
WR,Luther Burden III (39940645),Luther Burden III,39940645,FLEX,4600,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
RB,Roschon Johnson (39940704),Roschon Johnson,39940704,CPT,4500,MIN@CHI 09/08/2025 08:15PM ET,CHI,5.53
WR,Adam Thielen (39940646),Adam Thielen,39940646,FLEX,4400,MIN@CHI 09/08/2025 08:15PM ET,MIN,14.55
RB,Kyle Monangai (39940705),Kyle Monangai,39940705,CPT,4200,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Cole Kmet (39940647),Cole Kmet,39940647,FLEX,4000,MIN@CHI 09/08/2025 08:15PM ET,CHI,7.08
WR,Jalen Nailor (39940648),Jalen Nailor,39940648,FLEX,3600,MIN@CHI 09/08/2025 08:15PM ET,MIN,6.13
RB,Ty Chandler (39940706),Ty Chandler,39940706,CPT,3600,MIN@CHI 09/08/2025 08:15PM ET,MIN,1.58
DST,Bears  (39940649),Bears,39940649,FLEX,3400,MIN@CHI 09/08/2025 08:15PM ET,CHI,7.12
RB,Roschon Johnson (39940650),Roschon Johnson,39940650,FLEX,3000,MIN@CHI 09/08/2025 08:15PM ET,CHI,5.53
WR,Olamide Zaccheaus (39940707),Olamide Zaccheaus,39940707,CPT,3000,MIN@CHI 09/08/2025 08:15PM ET,CHI,6.34
RB,Kyle Monangai (39940651),Kyle Monangai,39940651,FLEX,2800,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
RB,Ty Chandler (39940652),Ty Chandler,39940652,FLEX,2400,MIN@CHI 09/08/2025 08:15PM ET,MIN,1.58
TE,Josh Oliver (39940708),Josh Oliver,39940708,CPT,2400,MIN@CHI 09/08/2025 08:15PM ET,MIN,4.21
WR,Olamide Zaccheaus (39940653),Olamide Zaccheaus,39940653,FLEX,2000,MIN@CHI 09/08/2025 08:15PM ET,CHI,6.34
TE,Ben Yurosek (39940709),Ben Yurosek,39940709,CPT,1800,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
TE,Josh Oliver (39940654),Josh Oliver,39940654,FLEX,1600,MIN@CHI 09/08/2025 08:15PM ET,MIN,4.21
WR,Jahdae Walker (39940710),Jahdae Walker,39940710,CPT,1500,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Ben Yurosek (39940655),Ben Yurosek,39940655,FLEX,1200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Tai Felton (39940711),Tai Felton,39940711,CPT,1200,MIN@CHI 09/08/2025 08:15PM ET,MIN,0
WR,Jahdae Walker (39940656),Jahdae Walker,39940656,FLEX,1000,MIN@CHI 09/08/2025 08:15PM ET,CHI,0
TE,Durham Smythe (39940712),Durham Smythe,39940712,CPT,900,MIN@CHI 09/08/2025 08:15PM ET,CHI,0.84
