Player,Pos,Team,Salary,FLEX Own,CPT Own,Total Own,FLEX Rate,CPT Rate,Total Rate,CPT Lev,Total Lev
Caleb Williams,QB,CHI,"$9,200",57.00%,19.00%,76.00%,55.40%,20.30%,75.60%,1.30%,-0.40%
J.J. McCarthy,QB,MIN,"$9,000",60.00%,14.00%,74.00%,53.90%,13.60%,67.50%,-0.40%,-6.50%
Justin Jefferson,WR,MIN,"$10,800",39.00%,19.00%,58.00%,35.70%,12.80%,48.50%,-6.20%,-9.50%
DJ Moore,WR,CHI,"$9,600",39.00%,14.00%,53.00%,36.50%,10.50%,47.00%,-3.50%,-6.00%
D'Andre Swift,RB,CHI,"$8,800",34.00%,7.00%,41.00%,37.40%,9.20%,46.60%,2.20%,5.60%
Aaron Jones Sr.,RB,MIN,"$7,400",43.00%,12.00%,55.00%,37.00%,8.50%,45.40%,-3.50%,-9.60%
Adam Thielen,WR,MIN,"$4,400",21.00%,2.00%,23.00%,33.00%,6.80%,39.90%,4.80%,16.90%
Rome Odunze,WR,CHI,"$8,000",32.00%,6.00%,38.00%,30.30%,6.90%,37.10%,0.90%,-0.90%
Cairo Santos,K,CHI,"$4,800",16.00%,1.00%,17.00%,25.10%,0.60%,25.70%,-0.40%,8.70%
Olamide Zaccheaus,WR,CHI,"$2,000",26.00%,1.00%,27.00%,21.90%,0.90%,22.80%,-0.10%,-4.20%
T.J. Hockenson,TE,MIN,"$6,600",29.00%,4.00%,33.00%,19.10%,2.50%,21.50%,-1.50%,-11.50%
Colston Loveland,TE,CHI,"$5,800",18.00%,0.00%,18.00%,17.50%,1.60%,19.10%,1.60%,1.10%
Minnesota Vikings,DST,MIN,"$5,400",9.00%,0.00%,9.00%,16.30%,1.50%,17.90%,1.50%,8.90%
Jordan Mason,RB,MIN,"$7,000",16.00%,0.00%,16.00%,14.70%,1.90%,16.60%,1.90%,0.60%
Jalen Nailor,WR,MIN,"$3,600",7.00%,0.00%,7.00%,14.90%,1.10%,16.00%,1.10%,9.00%
Cole Kmet,TE,CHI,"$4,000",10.00%,0.00%,10.00%,11.90%,0.50%,12.40%,0.50%,2.40%
Chicago Bears,DST,CHI,"$3,400",12.00%,0.00%,12.00%,11.50%,0.50%,12.00%,0.50%,0.00%
Will Reichard,K,MIN,"$5,000",18.00%,1.00%,19.00%,8.80%,0.10%,8.90%,-0.90%,-10.10%
Kyle Monangai,RB,CHI,"$2,800",9.00%,0.00%,9.00%,6.70%,0.10%,6.80%,0.10%,-2.20%
Josh Oliver,TE,MIN,"$1,600",5.00%,0.00%,5.00%,5.70%,0.10%,5.80%,0.10%,0.80%
Luther Burden III,WR,CHI,"$4,600",3.90%,0.10%,4.00%,3.90%,0.10%,4.00%,0.00%,0.00%
Tai Felton,WR,MIN,$800,1.00%,0.00%,1.00%,1.00%,0.00%,1.00%,0.00%,0.00%
Ty Chandler,RB,MIN,"$2,400",1.00%,0.00%,1.00%,1.00%,0.00%,1.00%,0.00%,0.00%
Myles Price,WR,MIN,$200,0.40%,0.00%,0.40%,0.40%,0.00%,0.40%,0.00%,0.00%
Durham Smythe,TE,CHI,$600,0.40%,0.00%,0.40%,0.40%,0.00%,0.40%,0.00%,0.00%
