"player","position","team","p000","p005","p010","p015","p020","p025","p030","p035","p040","p045","p050","p055","p060","p065","p070","p075","p080","p085","p090","p095","p100"
"Lamar Jackson","QB","BAL","3.76","10.08","12.6","14.8","16.16","17.52","19","20.26","21.66","23.24","24.6","25.98","27.6","29.02","30.7","32.14","34.36","36.82","40.62","44.64","73.98"
"Jayden Daniels","QB","WAS","3","10.38","12.12","13.84","15.34","16.64","17.92","19.04","20.26","21.26","22.66","23.72","24.88","26.26","27.68","29.22","30.82","32.92","35.48","39.28","57.96"
"Joe Burrow","QB","CIN","-0.06","8.2","10.66","12.68","14.16","15.6","16.96","18.66","19.78","20.94","22.24","23.64","24.84","26.62","28.52","29.96","32.04","34.16","36.94","41.48","64.66"
"Christian McCaffrey","RB","SF","1.3","9","11.5","13.3","14.7","15.9","17.2","18.4","19.4","20.5","21.7","23.1","24.4","25.7","26.9","28.6","29.9","32","34.5","38.3","64.3"
"J.J. McCarthy","QB","MIN","1.38","7.34","9.5","11.52","13.24","14.56","15.6","17.06","18.42","19.96","21.68","23.2","24.84","26.56","28.08","29.54","31.62","33.52","36.68","41.26","61.44"
"Jalen Hurts","QB","PHI","2.82","8.68","10.88","12.5","13.9","15.18","16.32","17.5","18.94","20.02","21.18","22.46","23.5","24.54","25.78","27.42","29.26","31.12","33.38","37.34","52.84"
"Justin Jefferson","WR","MIN","0","4.8","7","8.8","10.3","12","13.7","15.3","17.2","18.9","20.5","22","23.8","26","28.2","30.5","32.9","35.7","39.5","45","76.1"
"Bo Nix","QB","DEN","1.8","8.78","10.38","11.9","13.22","14.34","15.36","16.58","17.6","18.98","20.28","21.24","22.68","23.84","25.24","26.68","28.42","29.92","32.52","36.72","52.24"
"Trevor Lawrence","QB","JAX","2.34","8.12","10.04","11.66","13.14","14.64","15.46","16.64","17.52","18.94","20.22","21.38","22.26","23.82","24.98","26.54","28.22","30.5","33.66","36.92","62.24"
"Josh Allen","QB","BUF","3.44","8.18","10.06","11.84","13.18","14.64","15.88","16.94","18","18.94","20.1","21.02","22.2","23.54","24.88","26.16","28.12","30.24","32.96","36.32","54.72"
"Drake London","WR","ATL","0","5.3","7.6","9.2","10.8","12","13.3","14.4","15.9","17.9","19.8","21.4","22.8","24.2","25.2","27.3","29.3","31.9","34.8","41.1","63.6"
"Kyler Murray","QB","ARI","1.38","7.32","10","11.66","13.02","14.22","15.3","16.34","17.54","18.74","19.72","20.8","21.96","23.38","24.96","26.58","28.28","30.1","32.06","36.06","47.46"
"Caleb Williams","QB","CHI","3.74","8.62","10.54","11.78","12.92","14.36","15.32","16.56","17.58","18.56","19.48","20.62","21.62","22.66","23.9","25.4","27.08","28.38","31","34.6","50.56"
"Dak Prescott","QB","DAL","0.3","5.98","8.22","10.26","11.88","13.26","14.4","15.74","16.88","18.14","19.4","20.78","22.12","23.34","24.62","26.06","27.94","30.32","32.84","36.12","55.36"
"Justin Fields","QB","NYJ","2","8.58","10.48","11.94","13.36","14.64","15.56","16.44","17.3","18.26","19.34","20.36","21.58","22.68","23.56","24.72","26.3","28.88","31.2","35.04","54.98"
"Geno Smith","QB","LV","0.76","7.4","9.88","11.44","12.58","13.7","14.86","15.88","16.84","18.22","19.26","20.6","22","23.18","24.7","26.28","27.8","29.42","31.68","35.86","53.94"
"Justin Herbert","QB","LAC","2.6","7.88","9.74","11.14","12.54","13.9","14.8","15.74","16.9","18.04","19.22","20.3","21.18","22.5","23.88","25.28","27.44","29.44","32","36.26","61.6"
"C.J. Stroud","QB","HOU","2.42","7.5","9.4","11.08","12.42","14.16","15.04","15.96","17.14","18.28","19.16","20.3","21.54","22.8","24","25.4","27.62","29.46","31.42","35.6","60.88"
"De'Von Achane","RB","MIA","0.1","7.9","9.7","11.1","12.3","13.3","14.6","15.6","16.9","17.8","19","20.1","21.4","22.7","24.1","25.7","27.2","29.9","32.2","35.6","77.9"
"Nico Collins","WR","HOU","0","4.9","7.6","9","10.4","11.8","12.8","13.9","15.4","17","18.9","20.8","22.5","24.3","26.2","28","30.2","32.2","36","41.5","62.6"
"Jahmyr Gibbs","RB","DET","1","7.1","9.2","10.7","11.9","13.2","14.4","15.4","16.4","17.6","18.7","19.8","21","22.1","23.4","25.1","26.7","28.7","32","35.8","59.5"
"James Conner","RB","ARI","1.6","7.7","9.3","10.9","12.1","13.3","14.3","15.2","16.3","17.2","18.5","19.4","21.1","22.5","24.2","25.6","27","29.7","32.1","36.8","54.2"
