RTS ID,player,position,team,salary,rushAtts,rushYds,rushTDs,recvTgts,recvRec,recYds,recTDs,passAtts,passComp,passYds,passTDs,ints,Proj Own,projected points
100389,Justin Jefferson,WR,MIN,10800,0.3,1.7,0.01,8.4,5.3,75.7,0.59,0,0,0,0,0,0.39,17.5
101561,DJ Moore,WR,CHI,9600,0.7,4.6,0.03,8.8,6.3,66.3,0.36,0,0,0,0,0,0.39,16.4
110995,Caleb Williams,QB,CHI,9200,4.7,25.3,0.22,0,0,0,0,35.8,24.5,276.1,1.42,0.8,0.57,21
111024,J.J. McCarthy,QB,MIN,9000,3.6,17.4,0.14,0,0,0,0,29.5,19.9,250.9,1.61,0.6,0.6,19.5
102443,D'Andre Swift,RB,CHI,8800,14.6,64,0.39,3.5,2.9,28,0.07,0,0,0,0,0,0.34,15.3
111044,Rome Odunze,WR,CHI,8000,0.2,1.5,0.01,7.2,4.2,63.9,0.29,0,0,0,0,0,0.32,13.2
102252,Aaron Jones Sr.,RB,MIN,7400,13.3,63.9,0.33,2.9,2.4,19.2,0.15,0,0,0,0,0,0.43,14.1
105084,Jordan Mason,RB,MIN,7000,8.8,48.6,0.26,1.1,0.8,6.3,0.03,0,0,0,0,0,0.16,8.3
102397,T.J. Hockenson,TE,MIN,6600,0,0,0,4.8,3.4,43.2,0.19,0,0,0,0,0,0.29,9.1
161950,Colston Loveland,TE,CHI,5800,0,0,0,5,3.3,36.6,0.2,0,0,0,0,0,0.18,8.4
20,Minnesota Vikings,DST,MIN,5400,0,0,0,0,0,0,0,0,0,0,0,0,0.09,7.1
111454,Will Reichard,K,MIN,5000,0,0,0,0,0,0,0,0,0,0,0,0,0.18,7
102125,Cairo Santos,K,CHI,4800,0,0,0,0,0,0,0,0,0,0,0,0,0.16,9.1
162081,Luther Burden III,WR,CHI,4600,0.2,1.5,0.01,1.9,1.1,15.3,0.08,0,0,0,0,0,0.038,3.4
100794,Adam Thielen,WR,MIN,4400,0.3,1.7,0,6,3.9,53,0.28,0,0,0,0,0,0.21,11.5
102323,Cole Kmet,TE,CHI,4000,0,0,0,3.4,2.4,24.9,0.17,0,0,0,0,0,0.1,6
104737,Jalen Nailor,WR,MIN,3600,0,0,0,3.3,2,29,0.2,0,0,0,0,0,0.07,6.2
6,Chicago Bears,DST,CHI,3400,0,0,0,0,0,0,0,0,0,0,0,0,0.12,5
162232,Kyle Monangai,RB,CHI,2800,3.9,16.9,0.12,1.3,0.9,7.5,0.03,0,0,0,0,0,0.09,4.4
104986,Ty Chandler,RB,MIN,2400,1.4,5.9,0.02,0.6,0.4,3.4,0.01,0,0,0,0,0,0.01,1.6
101544,Olamide Zaccheaus,WR,CHI,2000,0,0,0,4.1,3,31.2,0.16,0,0,0,0,0,0.26,7.2
102884,Josh Oliver,TE,MIN,1600,0,0,0,1.6,1.2,14.4,0.09,0,0,0,0,0,0.05,3.2
162117,Tai Felton,WR,MIN,800,0,0,0,0.6,0.3,4.6,0.02,0,0,0,0,0,0.01,1
102554,Durham Smythe,TE,CHI,600,0,0,0,0.4,0.3,2.4,0.01,0,0,0,0,0,0.004,0.6
162643,Myles Price,WR,MIN,200,0,0,0,0.3,0.1,2,0.01,0,0,0,0,0,0.004,0.4
