User,Pts,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS,Player,Team,POS
plustin (9),340.26,Josh Allen,BUF,QB,Devin Singletary,BUF,RB,James Conner,ARI,RB,Leonard Fournette,TB,RB,A.J. Green,ARI,WR,CeeDee Lamb,DAL,WR,Christian Kirk,ARI,WR,Cyril Grayson,TB,WR,Gabriel Davis,BUF,WR,Mike Evans,TB,WR,Dawson Knox,BUF,TE,Travis Kelce,KC,TE
Loman147 (13),325.16,Jimmy Garoppolo,SF,QB,Josh Allen,BUF,QB,Chase Edmonds,ARI,RB,Devin Singletary,BUF,RB,Elijah Mitchell,SF,RB,Byron Pringle,KC,WR,Cedrick Wilson,DAL,WR,Deebo Samuel,SF,WR,Gabriel Davis,BUF,WR,Mike Evans,TB,WR,George Kittle,SF,TE,Travis Kelce,KC,TE
Eaglezzz (53),320.56,Josh Allen,BUF,QB,Devin Singletary,BUF,RB,James Conner,ARI,RB,Josh Jacobs,LV,RB,Sony Michel,LAR,RB,Cole Beasley,BUF,WR,DeVonta Smith,PHI,WR,Gabriel Davis,BUF,WR,Mike Evans,TB,WR,Van Jefferson,LAR,WR,Dawson Knox,BUF,TE,Travis Kelce,KC,TE
aandt (6),318.26,Josh Allen,BUF,QB,Damien Harris,NE,RB,Leonard Fournette,TB,RB,Tony Pollard,DAL,RB,Christian Kirk,ARI,WR,Cole Beasley,BUF,WR,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Mike Evans,TB,WR,Tyler Boyd,CIN,WR,Dawson Knox,BUF,TE,Travis Kelce,KC,TE
plustin (39),317.48,Patrick Mahomes,KC,QB,Cam Akers,LAR,RB,Devin Singletary,BUF,RB,Leonard Fournette,TB,RB,A.J. Green,ARI,WR,Diontae Johnson,PIT,WR,Gabriel Davis,BUF,WR,Mike Evans,TB,WR,Tyreek Hill,KC,WR,Van Jefferson,LAR,WR,Tyler Higbee,LAR,TE,Zach Ertz,ARI,TE
OUTFISHING (9),314.38,Josh Allen,BUF,QB,Matthew Stafford,LAR,QB,Devin Singletary,BUF,RB,Josh Jacobs,LV,RB,Leonard Fournette,TB,RB,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Gabriel Davis,BUF,WR,Tyler Boyd,CIN,WR,Van Jefferson,LAR,WR,Dawson Knox,BUF,TE,George Kittle,SF,TE
plustin (20),314.08,Josh Allen,BUF,QB,Devin Singletary,BUF,RB,Leonard Fournette,TB,RB,Sony Michel,LAR,RB,Amari Cooper,DAL,WR,Cedrick Wilson,DAL,WR,Cole Beasley,BUF,WR,Cooper Kupp,LAR,WR,Gabriel Davis,BUF,WR,Van Jefferson,LAR,WR,Dawson Knox,BUF,TE,Tyler Higbee,LAR,TE
Brewercory5 (2),312.08,Josh Allen,BUF,QB,James Conner,ARI,RB,Leonard Fournette,TB,RB,Ronald Jones,TB,RB,Cedrick Wilson,DAL,WR,Cole Beasley,BUF,WR,Gabriel Davis,BUF,WR,Marquez Valdes-Scantling,GB,WR,Mike Evans,TB,WR,Tyreek Hill,KC,WR,Dawson Knox,BUF,TE,Marcedes Lewis,GB,TE
redeemedwarriors (72),309.28,Patrick Mahomes,KC,QB,Aaron Jones,GB,RB,Clyde Edwards-Helaire,KC,RB,Devin Singletary,BUF,RB,Tony Pollard,DAL,RB,Byron Pringle,KC,WR,Cedrick Wilson,DAL,WR,CeeDee Lamb,DAL,WR,Gabriel Davis,BUF,WR,Tyler Boyd,CIN,WR,Tyreek Hill,KC,WR,C.J. Uzomah,CIN,TE
Berettajames (19),308.18,Josh Allen,BUF,QB,Ryan Tannehill,TEN,QB,AJ Dillon,GB,RB,Elijah Mitchell,SF,RB,James Conner,ARI,RB,Emmanuel Sanders,BUF,WR,Gabriel Davis,BUF,WR,Marquez Valdes-Scantling,GB,WR,Mike Evans,TB,WR,Tyreek Hill,KC,WR,Dawson Knox,BUF,TE,Rob Gronkowski,TB,TE
bricker312 (25),307.26,Jalen Hurts,PHI,QB,Josh Allen,BUF,QB,Cam Akers,LAR,RB,Clyde Edwards-Helaire,KC,RB,Devin Singletary,BUF,RB,Leonard Fournette,TB,RB,Amari Cooper,DAL,WR,CeeDee Lamb,DAL,WR,Cole Beasley,BUF,WR,Gabriel Davis,BUF,WR,Tee Higgins,CIN,WR,Travis Kelce,KC,TE
