Game,OVER_UNDER,SPREAD,FAV_HOME, OVER, UNDER, FAV_COVER, UND_COVER,FAV_QB_YDS,FAV_QB_YDS_LINE, FAV_QB_COM,FAV_QB_COM_LINE, UND_QB_YDS,UND_QB_YDS_LINE, UND_QB_COM,UND_QB_COM_LINE, FAV_RB_ATT,FAV_RB_ATT_LINE, FAV_RB_YDS,FAV_RB_YDS_LINE, UND_RB_ATT,UND_RB_ATT_LINE, UND_RB_YDS,UND_RB_YDS, FAV_WR1_REC,FAV_WR1_REC_LINE, FAV_WR1_YDS,FAV_WR1_YDS_LINE, UND_WR1_REC,UND_WR1_REC_LINE, UND_WR1_YDS,UND_WR1_YDS_LINE, FAV_WR2_REC,FAV_WR2_REC_LINE, FAV_WR2_YDS,FAV_WR2_YDS_LINE, UND_WR2_REC,UND_WR2_REC_LINE, UND_WR2_YDS,UND_WR2_YDS_LINE
BUF16_PIT23_W1_2021,48.5,6.5,1,0,1,0,1,0,284.5,1,24.5,0,266.5,0,25.5,1,8.5,1,32.5,1,14.5,0,58.5,1,7.5,0,89.5,1,5.5,1,58.5,1,4.5,1,50.5,0,4.5,0,49.5
CAR19_NYJ14_W1_2021,44.5,4.5,1,0,1,1,0,1,250.5,1,22.5,1,232.5,0,20.5,1,18.5,1,73.5,0,7.5,0,27.5,1,4.5,1,59.5,1,4.5,1,54.5,0,4.5,1,51.5,1,3.5,0,37.5
ATL6_PHI32_W1_2021,47.5,3.5,1,0,1,0,1,0,295.5,0,24.5,1,245.5,1,20.5,1,12.5,1,45.5,0,15.5,1,64.5,0,5.5,0,89.5,1,3.5,1,43.5,0,4.5,0,46.5,1,3.5,1,42.5
KAN33_CLE29_W1_2021,52.5,6.5,1,1,0,0,1,1,312.5,1,26.5,1,262.5,0,22.5,1,11.5,0,48.5,1,13.5,1,71.5,1,6.5,1,88.5,0,5.5,1,57.5,0,7.5,0,82.5,1,5.5,1,57.5
GNB3_NOR38_W1_2021,50.5,4.5,0,0,1,0,1,0,272.5,0,24.5,0,252.5,0,21.5,0,14.5,0,60.5,0,14.5,0,61.5,0,7.5,0,88.5,0,5.5,0,46.5,0,3.5,0,37.5,0,3.5,0,45.5
NWE16_MIA17_W1_2021,44.5,2.5,1,0,1,0,1,0,232.5,0,19.5,0,234.5,0,21.5,1,14.5,1,68.5,0,10.5,1,43.5,1,3.5,0,49.5,0,3.5,1,46.5,1,2.5,1,27.5,0,3.5,0,36.5
DEN27_NYG13_W1_2021,42.5,2.5,0,0,1,1,0,1,247.5,1,22.5,1,221.5,1,18.5,1,12.5,1,47.5,0,14.5,0,61.5,1,3.5,1,48.5,1,4.5,1,49.5,1,4.5,1,50.5,1,3.5,1,41.5
MIN24_CIN27_W1_2021,47.5,3.5,0,1,0,0,1,1,256.5,1,21.5,0,261.5,0,23.5,1,21.5,0,97.5,1,15.5,1,65.5,1,4.5,1,58.5,1,4.5,1,59.5,0,5.5,0,75.5,1,3.5,1,47.5
SEA28_IND16_W1_2021,48.5,2.5,0,0,1,1,0,0,268.5,0,24.5,1,243.5,1,21.5,1,14.5,1,57.5,1,15.5,0,67.5,0,5.5,0,74.5,0,4.5,0,48.5,0,5.5,1,67.5,0,3.5,1,40.5
SFR41_DET33_W1_2021,45.5,7.5,0,1,0,1,0,1,225.5,0,20.5,1,222.5,1,20.5,1,15.5,1,64.5,1,10.5,0,43.5,1,4.5,1,46.5,1,4.5,1,45.5,0,5.5,1,67.5,0,4.5,1,37.5
WAS16_LAC20_W1_2021,44.5,0.5,1,0,1,0,1,0,262.5,0,22.5,1,262.5,1,24.5,1,13.5,1,63.5,1,10.5,1,46.5,0,5.5,0,71.5,1,5.5,1,67.5,0,3.5,0,45.5,1,3.5,1,38.5
HOU37_JAX21_W1_2021,44.5,0,0,1,0,1,0,1,211.5,1,18.5,1,246.5,1,21.5,1,9.5,1,37.5,0,16.5,0,66.5,1,4.5,1,58.5,0,4.5,1,56.5,0,3.5,1,37.5,1,4.5,1,49.5
BAL38_CIN3_W17_2020,44.5,-11.5,0,0,1,1,0,0,195.5,0,16.5,0,216.5,0,20.5,0,14.5,1,70.5,1,7.5,1,39.5,0,4.5,0,52.5,0,4.5,0,54.5,1,3.5,1,40.5,0,3.5,0,43.5
CLE24_PIT22_W17_2020,42.5,-7,1,1,0,0,1,0,246.5,0,20.5,1,210.5,1,19.5,0,14.5,1,72.5,0,9.5,0,42.5,1,4.5,0,58.5,1,5.5,1,58.5,0,3.5,1,48.5,1,5.5,1,48.5
DAL19_NYG23_W17_2020,47.5,-2.5,0,0,1,0,1,0,250.5,1,22.5,1,209.5,0,18.5,0,16.5,0,64.5,0,11.5,1,48.5,1,4.5,0,53.5,1,5.5,1,57.5,1,4.5,0,52.5,0,3.5,0,41.5
TAM44_ATL27_W17_2020,50.5,-6,1,1,0,1,0,1,302.5,1,25.5,0,280.5,1,23.5,1,11.5,1,49.5,0,9.5,0,33.5,1,4.5,1,51.5,1,6.5,0,87.5,0,4.5,0,66.5,1,4.5,1,52.5
GNB35_CHI16_W17_2020,50.5,-5.5,0,1,0,1,0,0,292.5,0,25.5,1,250.5,1,23.5,0,10.5,0,63.5,1,14.5,0,77.5,0,7.5,0,89.5,0,5.5,0,75.5,0,2.5,1,24.5,1,3.5,1,37.5
TEN41_HOU38_W17_2020,56,-7.5,0,1,0,0,1,0,256.5,0,22.5,1,293.5,1,23.5,1,22.5,1,123.5,1,12.5,1,66.5,1,4.5,1,66.5,1,4.5,1,71.5,1,4.5,0,61.5,1,3.5,1,53.5
IND28_JAX14_W17_2020,49.5,-13.5,1,0,1,1,0,0,261.5,0,23.5,1,231.5,1,20.5,1,19.5,1,85.5,1,12.5,0,53.5,0,4.5,0,56.5,1,4.5,1,46.5,0,3.5,0,37.5,1,3.5,1,36.5
