"Name","Team","Position","Salary","Projection","CPT Salary","CPT Projection"
"Browns","CLE","DST","7600","7.5","11400","11.3"
"Jets","NYJ","DST","7600","7.5","11400","11.3"
"Dorian Thompson-Robinson","CLE","QB","7600","7.2","11400","10.8"
"Israel Abanikanda","NYJ","RB","7600","7.0","11400","10.5"
"Kellen Mond","CLE","QB","7600","6.2","11400","9.2"
"Travis Dye","NYJ","RB","7600","6.1","11400","9.2"
"John Kelly Jr.","CLE","RB","7600","5.4","11400","8.1"
"Alex Erickson","NYJ","WR","7600","5.3","11400","8.0"
"Cedric Tillman","CLE","WR","7600","5.3","11400","7.9"
"Daylen Baldwin","CLE","WR","7600","5.3","11400","7.9"
"Hassan Hall","CLE","RB","7600","5.2","11400","7.9"
"Chris Streveler","NYJ","QB","7600","5.2","11400","7.7"
"Malik Taylor","NYJ","WR","7600","5.1","11400","7.7"
"Greg Zuerlein","NYJ","K","7600","5.0","11400","7.5"
"Jason Brownlee","NYJ","WR","7600","5.0","11400","7.4"
"Damarea Crockett","NYJ","RB","7600","5.0","11400","7.6"
"Cade York","CLE","K","7600","5.0","11400","7.5"
"David Bell","CLE","WR","7600","4.8","11400","7.1"
"Demetric Felton","CLE","RB","7600","4.7","11400","7.1"
"Tim Boyle","NYJ","QB","7600","4.7","11400","7.0"
"Thomas Greaney","CLE","TE","7600","4.6","11400","6.9"
"Anthony Schwartz","CLE","WR","7600","4.6","11400","6.9"
"Xavier Gipson","NYJ","WR","7600","4.5","11400","6.7"
"Zach Wilson","NYJ","QB","7600","4.5","11400","6.7"
"Austin Watkins Jr.","CLE","WR","7600","4.5","11400","6.8"
"T.J. Luther","NYJ","WR","7600","4.5","11400","6.7"
"Jerome Kapp","NYJ","WR","7600","4.5","11400","6.7"
"Ra'Shaun Henry","CLE","WR","7600","3.9","11400","5.9"
"Irvin Charles","NYJ","WR","7600","3.8","11400","5.8"
"Zack Kuntz","NYJ","TE","7600","3.8","11400","5.7"
"Nate McCrary","CLE","RB","7600","3.3","11400","4.9"
"Kenny Yeboah","NYJ","TE","7600","3.2","11400","4.8"
"Zaire Mitchell-Paden","CLE","TE","7600","3.2","11400","4.7"
"E.J. Jenkins","NYJ","TE","7600","2.2","11400","3.3"
"Mike Harley Jr.","CLE","WR","7600","1.8","11400","2.8"
"Nick Chubb","CLE","RB","7600","0.0","11400","0.0"
"Donovan Peoples-Jones","CLE","WR","7600","0.0","11400","0.0"
"Jakeem Grant Sr.","CLE","WR","7600","0.0","11400","0.0"
"Amari Cooper","CLE","WR","7600","0.0","11400","0.0"
"Zonovan Knight","NYJ","RB","7600","0.0","11400","0.0"
"Michael Carter","NYJ","RB","7600","0.0","11400","0.0"
"Deshaun Watson","CLE","QB","7600","0.0","11400","0.0"
"Jordan Akins","CLE","TE","7600","0.0","11400","0.0"
"David Njoku","CLE","TE","7600","0.0","11400","0.0"
"Tyler Conklin","NYJ","TE","7600","0.0","11400","0.0"
"Mecole Hardman Jr.","NYJ","WR","7600","0.0","11400","0.0"
"Corey Davis","NYJ","WR","7600","0.0","11400","0.0"
"Joshua Dobbs","CLE","QB","7600","0.0","11400","0.0"
"Allen Lazard","NYJ","WR","7600","0.0","11400","0.0"
"Aaron Rodgers","NYJ","QB","7600","0.0","11400","0.0"
"Marquise Goodwin","CLE","WR","7600","0.0","11400","0.0"
"Breece Hall","NYJ","RB","7600","0.0","11400","0.0"
"Garrett Wilson","NYJ","WR","7600","0.0","11400","0.0"
"Jerome Ford","CLE","RB","7600","0.0","11400","0.0"
"Jeremy Ruckert","NYJ","TE","7600","0.0","11400","0.0"
"Jaelon Darden","CLE","WR","7600","0.0","11400","0.0"
"Michael Woods II","CLE","WR","7600","0.0","11400","0.0"
"Harrison Bryant","CLE","TE","7600","0.0","11400","0.0"
"C.J. Uzomah","NYJ","TE","7600","0.0","11400","0.0"
"Randall Cobb","NYJ","WR","7600","0.0","11400","0.0"
"Elijah Moore","CLE","WR","7600","0.0","11400","0.0"
"Nick Bawden","NYJ","RB","7600","0.0","11400","0.0"
"Diontae Spencer","NYJ","WR","7600","0.0","11400","0.0"
