"Name","Team","Position","Salary","Projection","CPT Salary","CPT Projection"
"Jalen Hurts","PHI","QB","7600","0.0","11400","0.0"
"Greg Ward","PHI","WR","7600","4.4","11400","6.6"
"Brady Russell","PHI","TE","7600","0.8","11400","1.1"
"Kennedy Brooks","PHI","RB","7600","5.5","11400","8.2"
"Thomas Greaney","CLE","TE","7600","3.2","11400","4.8"
"Tyree Jackson","PHI","TE","7600","2.3","11400","3.4"
"Devon Allen","PHI","WR","7600","3.6","11400","5.4"
"Quez Watkins","PHI","WR","7600","0.0","11400","0.0"
"Elijah Moore","CLE","WR","7600","0.0","11400","0.0"
"Michael Woods II","CLE","WR","7600","0.0","11400","0.0"
"Joshua Dobbs","CLE","QB","7600","0.0","11400","0.0"
"Deshaun Watson","CLE","QB","7600","0.0","11400","0.0"
"D'Andre Swift","PHI","RB","7600","0.0","11400","0.0"
"Marcus Mariota","PHI","QB","7600","4.3","11400","6.5"
"Kenneth Gainwell","PHI","RB","7600","1.7","11400","2.6"
"Dallas Goedert","PHI","TE","7600","0.0","11400","0.0"
"A.J. Brown","PHI","WR","7600","0.0","11400","0.0"
"Rashaad Penny","PHI","RB","7600","4.3","11400","6.4"
"David Njoku","CLE","TE","7600","0.0","11400","0.0"
"Nick Chubb","CLE","RB","7600","0.0","11400","0.0"
"Donovan Peoples-Jones","CLE","WR","7600","0.0","11400","0.0"
"Eagles","PHI","DST","7600","7.5","11400","11.3"
"Jordan Akins","CLE","TE","7600","0.0","11400","0.0"
"DeVonta Smith","PHI","WR","7600","0.0","11400","0.0"
"Jake Elliott","PHI","K","7600","5.0","11400","7.5"
"Amari Cooper","CLE","WR","7600","0.0","11400","0.0"
"Cade York","CLE","K","7600","5.0","11400","7.5"
"Olamide Zaccheaus","PHI","WR","7600","0.0","11400","0.0"
"Browns","CLE","DST","7600","7.5","11400","11.3"
"Miller Forristall","CLE","TE","7600","3.5","11400","5.3"
"Britain Covey","PHI","WR","7600","0.0","11400","0.0"
"Dorian Thompson-Robinson","CLE","QB","7600","7.4","11400","11.0"
"Jakeem Grant Sr.","CLE","WR","7600","0.0","11400","0.0"
"Tanner McKee","PHI","QB","7600","6.2","11400","9.3"
"Kellen Mond","CLE","QB","7600","6.4","11400","9.5"
"Ian Book","PHI","QB","7600","3.5","11400","5.2"
"Jerome Ford","CLE","RB","7600","0.0","11400","0.0"
"Jaelon Darden","CLE","WR","7600","0.0","11400","0.0"
"Demetric Felton","CLE","RB","7600","7.1","11400","10.6"
"John Kelly Jr.","CLE","RB","7600","6.0","11400","8.9"
"Grant Calcaterra","PHI","TE","7600","2.1","11400","3.2"
"Trey Sermon","PHI","RB","7600","5.6","11400","8.4"
"Jack Stoll","PHI","TE","7600","1.9","11400","2.8"
"Dan Arnold","PHI","TE","7600","2.9","11400","4.3"
"Anthony Schwartz","CLE","WR","7600","4.5","11400","6.8"
"David Bell","CLE","WR","7600","5.8","11400","8.7"
"Harrison Bryant","CLE","TE","7600","0.0","11400","0.0"
"Boston Scott","PHI","RB","7600","1.8","11400","2.7"
"Tyrie Cleveland","PHI","WR","7600","5.3","11400","7.9"
"Cedric Tillman","CLE","WR","7600","5.8","11400","8.7"
"Zaire Mitchell-Paden","CLE","TE","7600","3.2","11400","4.8"
"Hassan Hall","CLE","RB","7600","2.9","11400","4.4"
"Charleston Rambo","PHI","WR","7600","0.0","11400","0.0"
"Jalen Wayne","CLE","WR","7600","3.4","11400","5.1"
"Johnny King","PHI","WR","7600","4.0","11400","6.0"
"Austin Watkins Jr.","CLE","WR","7600","4.5","11400","6.7"
"Joseph Ngata","PHI","WR","7600","5.3","11400","7.9"
"Mike Harley Jr.","CLE","WR","7600","3.6","11400","5.4"
"Jadon Haselwood","PHI","WR","7600","4.6","11400","7.0"
"Deon Cain","PHI","WR","7600","0.0","11400","0.0"
"Marquise Goodwin","CLE","WR","7600","0.0","11400","0.0"
