"Player","Team","Opponent","Position","DK Points","DKSalary","FD Points","FDSalary","DKSlateID","FDSlateID","Slate"
"Cardinals","ARI","DEN","DST","7.5","5500","7.5","6000","28891076","92651-12546","Main"
"Falcons","ATL","MIA","DST","7.5","5500","7.5","6000","28891084","92651-12525","Main"
"Bengals","CIN","GB","DST","7.5","5500","7.5","6000","28891078","92651-12528","Main"
"Browns","CLE","WAS","DST","7.5","5500","7.5","6000","28891075","92651-12529","Main"
"Broncos","DEN","ARI","DST","7.5","5500","7.5","6000","28891077","92651-12531","Main"
"Lions","DET","NYG","DST","7.5","5500","7.5","6000","28891082","92651-12532","Main"
"Packers","GB","CIN","DST","7.5","5500","7.5","6000","28891085","92651-12533","Main"
"Dolphins","MIA","ATL","DST","7.5","5500","7.5","6000","28891083","92651-12539","Main"
"Giants","NYG","DET","DST","7.5","5500","7.5","6000","28891086","92651-12543","Main"
"Steelers","PIT","TB","DST","7.5","5500","7.5","6000","28891081","92651-12547","Main"
"Buccaneers","TB","PIT","DST","7.5","5500","7.5","6000","28891080","92651-12551","Main"
"Commanders","WAS","CLE","DST","7.5",,"7.5",,,,"Other"
"Adrian Martinez","DET","NYG","QB","7.4","5500","7.0","6000","28890452","92651-90981","Main"
"Skylar Thompson","MIA","ATL","QB","7.4","5500","7.0","6000","28890439","92651-69294","Main"
"Tommy DeVito","NYG","DET","QB","7.0","5500","6.9","6000","28890442","92651-94748","Main"
"Taylor Heinicke","ATL","MIA","QB","6.7","5500","6.5","6000","28890427","92651-53331","Main"
"Nate Sudfeld","DET","NYG","QB","6.7","5500","6.6","6000","28890435","92651-27801","Main"
"Jake Fromm","WAS","CLE","QB","6.7","5500","6.6","6000","28890444","92651-91639","Main"
"Jashaun Corbin","NYG","DET","RB","6.6","5500","4.8","6000","28890581","92651-94864","Main"
"Mike White","MIA","ATL","QB","6.4","5500","6.1","6000","28890430","92651-40534","Main"
"John Kelly Jr.","CLE","WAS","RB","6.3","5500","5.9","6000","28890537","92651-63479","Main"
"Demetric Felton Jr.","CLE","WAS","RB","6.2","5500","5.3","6000","28890519","92651-70282","Main"
"Sean Clifford","GB","CIN","QB","6.0","5500","5.8","6000","28890436","92651-86200","Main"
"Emari Demercado","ARI","DEN","RB","5.8","5500","4.8","6000","28890595","92651-94579","Main"
"Mohamed Ibrahim","DET","NYG","RB","5.8","5500","4.8","6000","28890583","92651-85881","Main"
"Tyler Goodson","GB","CIN","RB","5.8","5500","4.6","6000","28890569","92651-105648","Main"
"Tyrod Taylor","NYG","DET","QB","5.8","5500","5.6","6000","28890429","92651-14377","Main"
"Eric Gray","NYG","DET","RB","5.8","5500","4.8","6000","28890513","92651-102928","Main"
"Jarrett Stidham","DEN","ARI","QB","5.7","5500","5.0","6000","28890428","92651-60947","Main"
"Baker Mayfield","TB","PIT","QB","5.7","5500","5.4","6000","28890424","92651-41535","Main"
"Carlos Washington Jr.","ATL","MIA","RB","5.5","5500","4.6","6000","28890541","92651-174148","Main"
"Myles Gaskin","MIA","ATL","RB","5.3","5500","5.2","6000","28890539","92651-60930","Main"
"Erik Ezukanma","MIA","ATL","WR","5.3","5500","3.2","6000","28890773","92651-86543","Main"
"Logan Woodside","ATL","MIA","QB","5.1","5500","5.1","6000","28890440","92651-45259","Main"
"Jermar Jefferson","DET","NYG","RB","5.1","5500","4.5","6000","28890559","92651-93023","Main"
"Alex McGough","GB","CIN","QB","5.1","5500","5.0","6000","28890446","92651-54507","Main"
"Anthony McFarland","PIT","TB","RB","5.1","5500","4.1","6000","28890529","92651-88277","Main"
"Ben DiNucci","DEN","ARI","QB","5.0","5500","4.7","6000","28890449","92651-63469","Main"
"Patrick Taylor","GB","CIN","RB","5.0","5500","4.4","6000","28890523","92651-72627","Main"
"De'Von Achane","MIA","ATL","RB","5.0","5500","4.1","6000","28890521","92651-138820","Main"
"Salvon Ahmed","MIA","ATL","RB","5.0","5500","4.9","6000","28890565","92651-86780","Main"
"Younghoe Koo","ATL","MIA","K","5.0",,"5.0",,,,"Other"
"Cade York","CLE","WAS","K","5.0",,"5.0",,,,"Other"
"Reid Sinnett","CIN","GB","QB","4.9","5500","5.1","6000","28890455","92651-130269","Main"
"Tyler Badie","DEN","ARI","RB","4.9","5500","4.1","6000","28890549","92651-94887","Main"
"Denzel Mims","DET","NYG","WR","4.8","5500","3.5","6000","28890743","92651-72453","Main"
"Ty'Son Williams","ARI","DEN","RB","4.7","5500","4.0","6000","28890547","92651-60977","Main"
"Chase Brown","CIN","GB","RB","4.7","5500","3.9","6000","28890503","92651-89493","Main"
"Calvin Tyler Jr.","CIN","GB","RB","4.7","5500","3.9","6000","28890593","92651-93002","Main"
"Jacob Saylors","CIN","GB","RB","4.7","5500","3.9","6000","28890571","92651-185827","Main"
