Salary,Player,Proj_Own,Volatility,ID
10800,Patrick Cantlay,24.93,4.89,29094740
13400,Scottie Scheffler,23.41,7.04,29094735
13000,Rory Mcilroy,22.26,3.81,29094736
8100,Keegan Bradley,21.51,9.25,29094750
12500,Viktor Hovland,21.39,3.99,29094737
6900,Tyrell Hatton,20.72,11.27,29094757
11600,Jon Rahm,19.53,5.67,29094738
8800,Tommy Fleetwood,15.62,6.18,29094747
10500,Xander Schauffele,14.45,6.75,29094741
7500,Tony Finau,14.41,4.98,29094754
10900,Max Homa,13.05,3.64,29094739
5200,Adam Schenk,12.95,5.24,29094763
8300,Russell Henley,12.85,3.46,29094750
10000,Matt Fitzpatrick,6.39,1.39,29094742
9700,Lucas Glover,7.77,8.34,29094743
9500,Brian Harman,8.29,4.21,29094744
9100,Wyndham Clark,8.59,0.33,29094745
9000,Rickie Fowler,7.7,4.12,29094746
8500,Sungjae Im,7.28,4.56,29094748
8300,Russell Henley,12.85,3.46,29094749
7900,Tom Kim,6.85,6.18,29094751
7900,Corey Conners,6.63,4.97,29094752
7700,Collin Morikawa,8.48,1.62,29094753
6700,Jordan Spieth,6.89,3.87,29094758
6500,Taylor Moore,5.91,4.45,29094759
6100,Sam Burns,6.96,2.6,29094760
5700,Emiliano Grillo,12.76,8.45,29094761
5400,Sepp Straka,6.63,4.44,29094762
7400,Jason Day,4.68,1.66,29094755
7200,Si Woo Kim,10.18,1.24,29094756
5000,Nick Taylor,9.93,2.3,29094764
