comebackzinc (16),183.96,Josh Allen;BUF;QB,Aaron Jones;GB;RB,Leonard Fournette;TB;RB,Zack Moss;BUF;RB,Brandon Aiyuk;SF;WR,Gabriel Davis;BUF;WR,Mike Evans;TB;WR,Randall Cobb;GB;WR,George Kittle;SF;TE,Tyler Higbee;LAR;TE,
Brownie2211,179.62,Patrick Mahomes;KC;QB,Clyde Edwards-Helaire;KC;RB,D'Onta Foreman;TEN;RB,Jerick McKinnon;KC;RB,A.J. Brown;TEN;WR,Gabriel Davis;BUF;WR,Marquez Valdes-Scantling;GB;WR,Mike Evans;TB;WR,C.J. Uzomah;CIN;TE,Travis Kelce;KC;TE,
Brewercory5 (9),173.36,Josh Allen;BUF;QB,Cam Akers;LAR;RB,Joe Mixon;CIN;RB,Leonard Fournette;TB;RB,Cole Beasley;BUF;WR,Emmanuel Sanders;BUF;WR,Gabriel Davis;BUF;WR,Tee Higgins;CIN;WR,Tyler Johnson;TB;WR,Rob Gronkowski;TB;TE,
Brewercory5 (23),173.16,Josh Allen;BUF;QB,Aaron Jones;GB;RB,Leonard Fournette;TB;RB,Emmanuel Sanders;BUF;WR,Gabriel Davis;BUF;WR,Isaiah McKenzie;BUF;WR,Odell Beckham;LAR;WR,Randall Cobb;GB;WR,Van Jefferson;LAR;WR,Rob Gronkowski;TB;TE,
VEGASDFS (13),172.36,Josh Allen;BUF;QB,Ryan Tannehill;TEN;QB,Leonard Fournette;TB;RB,Sony Michel;LAR;RB,Cole Beasley;BUF;WR,Gabriel Davis;BUF;WR,Julio Jones;TEN;WR,Mike Evans;TB;WR,Tyler Johnson;TB;WR,Rob Gronkowski;TB;TE,
comebackzinc (2),168.86,Jimmy Garoppolo;SF;QB,Josh Allen;BUF;QB,Aaron Jones;GB;RB,Derrick Henry;TEN;RB,Leonard Fournette;TB;RB,Cole Beasley;BUF;WR,Gabriel Davis;BUF;WR,Randall Cobb;GB;WR,Dawson Knox;BUF;TE,Tyler Higbee;LAR;TE,
imcclure,168.74,Matthew Stafford;LAR;QB,Joe Mixon;CIN;RB,Leonard Fournette;TB;RB,Sony Michel;LAR;RB,Cooper Kupp;LAR;WR,Gabriel Davis;BUF;WR,Ja'Marr Chase;CIN;WR,Odell Beckham;LAR;WR,Van Jefferson;LAR;WR,Cameron Brate;TB;TE,
fasman247 (11),166.36,Josh Allen;BUF;QB,Tom Brady;TB;QB,AJ Dillon;GB;RB,Aaron Jones;GB;RB,D'Onta Foreman;TEN;RB,Leonard Fournette;TB;RB,Gabriel Davis;BUF;WR,Tyler Johnson;TB;WR,C.J. Uzomah;CIN;TE,George Kittle;SF;TE,
DMC72 (11),166.06,Josh Allen;BUF;QB,Elijah Mitchell;SF;RB,Giovani Bernard;TB;RB,Leonard Fournette;TB;RB,Cooper Kupp;LAR;WR,Emmanuel Sanders;BUF;WR,Gabriel Davis;BUF;WR,Isaiah McKenzie;BUF;WR,Stefon Diggs;BUF;WR,Dawson Knox;BUF;TE,
Rotobowser,165.62,Patrick Mahomes;KC;QB,AJ Dillon;GB;RB,Aaron Jones;GB;RB,Leonard Fournette;TB;RB,Byron Pringle;KC;WR,Gabriel Davis;BUF;WR,Jauan Jennings;SF;WR,Tyler Boyd;CIN;WR,Tyler Johnson;TB;WR,Cameron Brate;TB;TE,
sophiagrace (2),165.32,Patrick Mahomes;KC;QB,Derrick Gore;KC;RB,Leonard Fournette;TB;RB,Sony Michel;LAR;RB,Gabriel Davis;BUF;WR,Ja'Marr Chase;CIN;WR,Marquez Valdes-Scantling;GB;WR,Odell Beckham;LAR;WR,Tyler Boyd;CIN;WR,Rob Gronkowski;TB;TE,
train18,163.72,Patrick Mahomes;KC;QB,AJ Dillon;GB;RB,Giovani Bernard;TB;RB,Jerick McKinnon;KC;RB,Demarcus Robinson;KC;WR,Gabriel Davis;BUF;WR,Odell Beckham;LAR;WR,Randall Cobb;GB;WR,Tyreek Hill;KC;WR,C.J. Uzomah;CIN;TE,
comebackzinc (22),162.96,Josh Allen;BUF;QB,Elijah Mitchell;SF;RB,Joe Mixon;CIN;RB,Zack Moss;BUF;RB,Brandon Aiyuk;SF;WR,Cole Beasley;BUF;WR,Emmanuel Sanders;BUF;WR,Gabriel Davis;BUF;WR,Mike Evans;TB;WR,Rob Gronkowski;TB;TE,
derektreybig (3),162.86,Josh Allen;BUF;QB,Darrel Williams;KC;RB,Leonard Fournette;TB;RB,Brandon Aiyuk;SF;WR,Cole Beasley;BUF;WR,Emmanuel Sanders;BUF;WR,Gabriel Davis;BUF;WR,Stefon Diggs;BUF;WR,Tee Higgins;CIN;WR,Rob Gronkowski;TB;TE,
plustin (27),161.46,Josh Allen;BUF;QB,Aaron Jones;GB;RB,Ke'Shawn Vaughn;TB;RB,Emmanuel Sanders;BUF;WR,Equanimeous St. Brown;GB;WR,Gabriel Davis;BUF;WR,Mike Evans;TB;WR,Tee Higgins;CIN;WR,Van Jefferson;LAR;WR,Dawson Knox;BUF;TE,
Brewercory5 (22),159.14,Matthew Stafford;LAR;QB,Derrick Henry;TEN;RB,A.J. Brown;TEN;WR,Cooper Kupp;LAR;WR,Gabriel Davis;BUF;WR,Julio Jones;TEN;WR,Nick Westbrook-Ikhine;TEN;WR,Tyler Johnson;TB;WR,Van Jefferson;LAR;WR,Tyler Higbee;LAR;TE,
DoomKrew (4),158.22,Patrick Mahomes;KC;QB,AJ Dillon;GB;RB,D'Onta Foreman;TEN;RB,Elijah Mitchell;SF;RB,Byron Pringle;KC;WR,Gabriel Davis;BUF;WR,Mecole Hardman;KC;WR,Tyreek Hill;KC;WR,George Kittle;SF;TE,Marcedes Lewis;GB;TE,
comebackzinc (4),157.96,Josh Allen;BUF;QB,Devin Singletary;BUF;RB,Leonard Fournette;TB;RB,Brandon Aiyuk;SF;WR,Cole Beasley;BUF;WR,Emmanuel Sanders;BUF;WR,Gabriel Davis;BUF;WR,Stefon Diggs;BUF;WR,Dawson Knox;BUF;TE,Tyler Higbee;LAR;TE,
Trod926,157.06,Tom Brady;TB;QB,D'Onta Foreman;TEN;RB,Leonard Fournette;TB;RB,Brandon Aiyuk;SF;WR,Cooper Kupp;LAR;WR,Gabriel Davis;BUF;WR,Mike Evans;TB;WR,Tyler Johnson;TB;WR,Dawson Knox;BUF;TE,O.J. Howard;TB;TE,
