date,numEntries
2022-05-02,1492
2022-05-03,4987
2022-05-04,7065
2022-05-05,8754
2022-05-06,10387
2022-05-07,12270
2022-05-08,13767
2022-05-09,15376
2022-05-10,16811
2022-05-11,18321
2022-05-12,19896
2022-05-13,21692
2022-05-14,23474
2022-05-15,25106
2022-05-16,26615
2022-05-17,28186
2022-05-18,29636
2022-05-19,30802
2022-05-20,32264
2022-05-21,33808
2022-05-22,35461
2022-05-23,37090
2022-05-24,38695
2022-05-25,40146
2022-05-26,41668
2022-05-27,42559
2022-05-28,43524
2022-05-29,44347
2022-05-30,45114
2022-05-31,46049
2022-06-01,46841
2022-06-02,47684
2022-06-03,48625
2022-06-04,49329
2022-06-05,50082
2022-06-06,51599
2022-06-07,52507
2022-06-08,53498
2022-06-09,54576
2022-06-10,55520
2022-06-11,56468
2022-06-12,58302
2022-06-13,60718
2022-06-14,62826
2022-06-15,65141
2022-06-16,67302
2022-06-17,69788
2022-06-18,71899
2022-06-19,74064
2022-06-20,76350
2022-06-21,78675
2022-06-22,81203
2022-06-23,83598
2022-06-24,85131
2022-06-25,86615
2022-06-26,88223
2022-06-27,89933
2022-06-28,91509
2022-06-29,93205
2022-06-30,95295
2022-07-01,97917
2022-07-02,100651
2022-07-03,103160
2022-07-04,105839
2022-07-05,108488
2022-07-06,111131
2022-07-07,113906
2022-07-08,116919
2022-07-09,118520
2022-07-10,120107
2022-07-11,121896
2022-07-12,123241
2022-07-13,124835
2022-07-14,126471
2022-07-15,128261
2022-07-16,130104
2022-07-17,132316
2022-07-18,136238
2022-07-19,139891
2022-07-20,143616
2022-07-21,147356
2022-07-22,151056
2022-07-23,154795
2022-07-24,158013
2022-07-25,162354
2022-07-26,166540
2022-07-27,170887
2022-07-28,175181
2022-07-29,179809
2022-07-30,184570
2022-07-31,189097
2022-08-01,194553
2022-08-02,197670
2022-08-03,200562
2022-08-04,203543
2022-08-05,206595
2022-08-06,209658
2022-08-07,212937
2022-08-08,216787
2022-08-09,220232
2022-08-10,223917
2022-08-11,227447
2022-08-12,232510
2022-08-13,238731
2022-08-14,244863
2022-08-15,252086
2022-08-16,258621
2022-08-17,264255
2022-08-18,270439
2022-08-19,277596
2022-08-20,284837
2022-08-21,292033
2022-08-22,299720
2022-08-23,305662
2022-08-24,314072
2022-08-25,322152
2022-08-26,330342
2022-08-27,338624
2022-08-28,347051
2022-08-29,357128
2022-08-30,364247
2022-08-31,374086
2022-09-01,384277
2022-09-02,394344
2022-09-03,404559
2022-09-04,414753
2022-09-05,427206
2022-09-06,436028
2022-09-07,446294
2022-09-08,451200
2022-09-09,451200
